Key,Text,Tooltip,English,Source,OverrideByKey,MappedByPattern,MappedByText,Vanilla,Leiwai,Procrastinator,PikaMan,Mtu,File
building_chains_override_description_hv_subtown_danyang,丹阳人以奋勇著称。陶谦整备军队，训练有素。,True,The people of Danyang have a reputation for bravery. Tao Qian has turned them into a well-trained army.,MappedByText,,,丹阳人以奋勇著称。陶谦整备军队，训练有素。,,,丹阳人以奋勇著称。陶谦整备军队，训练有素。,,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_garrison,巡守卫队在此地域巡逻，骚扰敌军。,True,Vigilantes patrol the region and harass enemy armies.,MappedByText,,,巡守卫队在此地域巡逻，骚扰敌军。,,,巡守卫队在此地域巡逻，骚扰敌军。,地方巡卫军建筑序列描述,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_garrison_sun_jian,名门大家所拥有的庄园。,True,The estates of powerful and wealthy families.,MappedByText,,,名门大家所拥有的庄园。,,,名门大家所拥有的庄园。,地方豪强建筑序列描述,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_han_small_farm,完善管理本地货物，回收废弃物品。,True,Manage local products more thoroughly and convert wasted materials into stockpiles.,MappedByText,,,完善管理本地货物，回收废弃物品。,,,完善管理本地货物，回收废弃物品,,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_nanman,部落猎人可为我们提供额外的食物。,True,Tribal hunters can provide us with additional food.,MappedByText,,,部落猎人可为我们提供额外的食物。,,,部落猎人可为我方提供额外的食物。,,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_nanman_outpost,与南境蛮人交易的场所。,True,A place to trade with the natives.,MappedByText,,,与南境蛮人交易的场所。,,,与南境蛮人交易的场所。,,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_qiang,这些部落不愿归顺朝廷，但却愿意提供军事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",Procrastinator,,,,,,这些部落不愿归顺朝廷，但却愿意提供军事援助。,这些部落不愿归化，但愿意提供军事援助。,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_shanyue,这些部落不愿归顺朝廷，但却愿意提供军事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",Procrastinator,,,,,,这些部落不愿归顺朝廷，但却愿意提供军事援助。,这些部落不愿归化，但愿意提供军事援助。,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_wuhuan,这些部落不愿归顺朝廷，但却愿意提供军事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",Procrastinator,,,,,,这些部落不愿归顺朝廷，但却愿意提供军事援助。,这些部落不愿归化，但愿意提供军事援助。,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_xiongnu,这些部落不愿归顺朝廷，但却愿意提供军事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",Procrastinator,,,,,,这些部落不愿归顺朝廷，但却愿意提供军事援助。,这些部落不愿归化，但愿意提供军事援助。,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_ytr,要开始一段新的征途，人们需要先熟悉路径。,False,At the beginning of a new journey all must learn the new way.,Vanilla,,,,要开始一段新的征途，人们需要先熟悉路径。,,要开始一段新的征途，人们需要先熟悉路径。,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_confucius_01,孔子学院,True,Confucius Institute,OverrideByKey,孔子学院,,孔子学院序列,,,孔子学院,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_danyang_01,丹阳部队军营,True,Danyang Troop Barrack,MappedByText,,,丹阳部队军营,,,丹阳军兵营,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_danyang_02,丹阳部队营寨,True,Danyang Troop Encampment,OverrideByKey,丹阳部队营寨,,,,,丹阳军营寨,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_garrison_01,重门军哨站,True,Vigilante Posts,PikaMan,,,,,,重门军哨站,重门军哨站,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_garrison_02,重门军营地,True,Vigilante Barracks,PikaMan,,,,,,重门军营地,重门军营地,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_garrison_sun_jian_01,士族庭院,True,Local Noble's Household,Procrastinator,,,,,,士族庭院,地主庭院,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_garrison_sun_jian_02,士族田庄,True,Local Noble's Manor,Procrastinator,,,,,,士族田庄,巨贾庄园,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_nanman_outpost_01,南蛮市肆,True,Nanman-Han Trading Post,OverrideByKey,南蛮市肆,,南境市肆序列,,,南蛮市肆,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_nanman_shikar_01,狩猎区,True,Hunting Area,OverrideByKey,狩猎区,,狩猎区序列,,,狩猎区,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_qiang_00,羌人散户,True,Scattered Qiang Community,PikaMan,,,,,,羌人散户,羌人散户,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_qiang_01,羌人聚落,True,Qiang Tribal Camp,PikaMan,,,,,,羌人聚落,羌人聚落,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_qiang_02,羌人村庄,True,Qiang Tribal Herd,PikaMan,,,,,,羌人村庄,羌人村庄,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_shanyue_00,山越营地,True,Scattered Shanyue Community,PikaMan,,,,,,山越营地,山越营地,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_shanyue_01,山越聚落,True,Shanyue Tribal Herd,PikaMan,,,,,,山越聚落,山越聚落,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_shanyue_02,山越集镇,True,Shanyue Tribal Town,PikaMan,,,,,,山越集镇,山越集镇,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_small_farm_01,储备站,True,Stockpile Storage ,MappedByText,,,储备站,,,储备站,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_small_farm_02,仓廪,True,Warehouse,Vanilla,,,,仓廪,,仓廪,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_small_farm_03,大型仓库,True,Large Warehouse,MappedByText,,,大型仓库,,,大型仓库,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_wuhuan_00,东胡散户,True,Scattered Wuhuan Community,Procrastinator,,,,,,东胡散户,乌桓散户,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_wuhuan_01,东胡聚落,True,Wuhuan Tribal Camp,Procrastinator,,,,,,东胡聚落,乌桓聚落,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_wuhuan_02,东胡村庄,True,Wuhuan Tribal Herd,Procrastinator,,,,,,东胡村庄,乌桓村庄,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_xiongnu_00,匈奴散户,True,Scattered Xiongnu Community,PikaMan,,,,,,匈奴散户,匈奴散户,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_xiongnu_01,匈奴聚落,True,Xiongnu Tribal Camp,PikaMan,,,,,,匈奴聚落,匈奴聚落,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_xiongnu_02,匈奴村庄,True,Xiongnu Tribal Herd,PikaMan,,,,,,匈奴村庄,匈奴村庄,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_yellow_turban_synad_01,太平小庙,False,Yellow Turban Lodge,MappedByText,,,太平小庙,,,太平小庙,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_yellow_turban_synad_02,太平朝堂,False,Yellow Turban Hall,MappedByText,,,太平朝堂,,,太平朝堂,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_yellow_turban_synad_03,太平圣殿,False,Yellow Turban Synod,MappedByText,,,太平圣殿,,,太平圣殿,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_confucius_01,长描述,True,long_description,MappedByText,,,长描述,,,长描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_danyang_01,长描述,True,long_description,MappedByText,,,长描述,,,长描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_danyang_02,长描述,True,long_description,MappedByText,,,长描述,,,长描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_01,长描述,True,long_description,MappedByText,,,长描述,,,长描述,长描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_02,长描述,True,long_description,MappedByText,,,长描述,,,长描述,长描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_sun_jian_01,长描述,True,long_description,MappedByText,,,长描述,,,长描述,长描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_sun_jian_02,长描述,True,long_description,MappedByText,,,长描述,,,长描述,长描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_ytr_01,长描述,True,long_description,MappedByText,,,长描述,,,长描述,长描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_ytr_02,长描述,True,long_description,MappedByText,,,长描述,,,长描述,长描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_han_small_farm_01,长描述,True,long_description,MappedByText,,,长描述,,,长描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_han_small_farm_02,长描述,True,long_description,MappedByText,,,长描述,,,长描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_han_small_farm_03,长描述,True,long_description,MappedByText,,,长描述,,,长描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_nanman_outpost_01,长描述,True,long_description,MappedByText,,,长描述,,,长描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_nanman_shikar_01,长描述,True,long_description,MappedByText,,,长描述,,,长描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_qiang_01,长描述,True,qiang_01_long_description,PikaMan,,,,,,长描述,长描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_qiang_02,长描述,True,qiang_02_long_description,PikaMan,,,,,,长描述,长描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_shanyue_01,山越部落与汉人习俗不同，他们并不习惯于居住在高屋建瓴的城镇当中，而是习惯于住在帐篷里。他们并不是游牧民族，而是以农业为生，过着田园牧歌一般的生活。\\n\\n帐篷既能满足山越之民们的生活需求，也能让他们有效地为来自北部日益严重的入侵威胁作好准备。,True,"Being a tribal people, the Shanyue are unused to the urban and decadent cities of the Han and prefer a life in encamped in the wilderness. Although not nomadic, the hill tribes are nevertheless a more pastoral, agricultural peoples. \\n\\n From their camps, they can both tend to their needs as a people and prepare themselves, militarily, for the ever-present and increasing threat of invasion from the North.",Vanilla,,,,山越部落与汉人习俗不同，他们并不习惯于居住在高屋建瓴的城镇当中，而是习惯于住在帐篷里。他们并不是游牧民族，而是以农业为生，过着田园牧歌一般的生活。\\n\\n帐篷既能满足山越之民们的生活需求，也能让他们有效地为来自北部日益严重的入侵威胁作好准备。,,山越部落与汉人习俗不同，他们并不习惯于居住在高屋建瓴的城镇当中，而是习惯于住在帐篷里。他们并不是游牧民族，而是以农业为生，过着田园牧歌一般的生活。\\n\\n帐篷既能满足山越之民们的生活需求，也能让他们有效地为来自北部日益严重的入侵威胁作好准备。,山越部落与汉人习俗不同，他们并不习惯于居住在高屋建瓴的城镇当中，而是习惯于住在帐篷里。他们并不是游牧民族，而是以农业为生，过着田园牧歌一般的生活。\\n\\n帐篷既能满足山越之民们的生活需求，也能让他们有效地为来自北部日益严重的入侵威胁作好准备。,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_shanyue_02,江南一带长久以来一直是山越之民的故乡，他们对这片土地怀有深厚的感情。如今野心勃勃的诸侯们要蚕食他们祖辈所居之地，他们必须拿起武器，以奋战保卫故土。\\n\\n山越之民比汉人更熟悉江南的丘陵地形，他们将自己的堡垒建立在群山中最险要的地方。他们可以在远离天灾人祸的地方安居乐业。,True,"The Southlands have long been the home of the Shanyue tribes, and it is their ardent hope that it always will be. This is the truth by which they live, and one they must fight to protect as warlords begin to encroach. \\n\\n The Shanyue know the hills of the South better than any, and amidst the striking scenery, their fortresses rise: places to live and grow, away from both the extremities of the elements and the eyes of the enemy.",PikaMan,,,,,,江南一带长久以来一直是山越之民的故乡，他们对这片土地怀有深厚的感情。如今野心勃勃的诸侯们要蚕食他们祖辈所居之地，他们必须拿起武器，以奋战保卫故土。\\n\\n山越之民比汉人更熟悉江南的丘陵地形，他们将自己的堡垒建立在群山中最险要的地方。他们可以在远离天灾人祸的地方安居乐业。,江南一带长久以来一直是山越之民的故乡，他们对这片土地怀有深厚的感情。如今野心勃勃的诸侯们要蚕食他们祖辈所居之地，他们必须拿起武器，以奋战保卫故土。\\n\\n山越之民比汉人更熟悉江南的丘陵地形，他们将自己的堡垒建立在群山中最险要的地方。他们可以在远离天灾人祸的地方安居乐业。,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_wuhuan_01,长描述,True,wuhuan_01_long_description,PikaMan,,,,,,长描述,长描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_wuhuan_02,长描述,True,wuhuan_02_long_description,PikaMan,,,,,,长描述,长描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_xiongnu_01,长描述,True,xiongnu_01_long_description,PikaMan,,,,,,长描述,长描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_xiongnu_02,长描述,True,xiongnu_02_long_description,PikaMan,,,,,,长描述,长描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_yellow_turban_synad_01,长描述,False,long_description,MappedByText,,,长描述,,,长描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_yellow_turban_synad_02,长描述,False,long_description,MappedByText,,,长描述,,,长描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_yellow_turban_synad_03,长描述,False,long_description,MappedByText,,,长描述,,,长描述,,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_confucius_01,短描述,True,short_description,MappedByText,,,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_danyang_01,短描述,True,short_description,MappedByText,,,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_danyang_02,短描述,True,short_description,MappedByText,,,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_01,短描述,True,short_description,MappedByText,,,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_02,短描述,True,short_description,MappedByText,,,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_sun_jian_01,短描述,True,short_description,MappedByText,,,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_sun_jian_02,短描述,True,short_description,MappedByText,,,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_ytr_01,短描述,True,short_description,MappedByText,,,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_ytr_02,短描述,True,short_description,MappedByText,,,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_han_small_farm_01,短描述,True,short_description,MappedByText,,,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_han_small_farm_02,短描述,True,short_description,MappedByText,,,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_han_small_farm_03,短描述,True,short_description,MappedByText,,,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_nanman_outpost_01,短描述,True,short_description,MappedByText,,,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_nanman_shikar_01,短描述,True,short_description,MappedByText,,,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang,羌人部落序列,True,Qiang Tribe,Procrastinator,,,,,,羌人部落序列,羌人部落,,hv_TEXT_building.loc.tsv
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_shanyue,山越部落序列,True,Shanyue Tribe,Procrastinator,,,,,,山越部落序列,山越部落,,hv_TEXT_building.loc.tsv
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_subtown,附加建筑,True,Attached Building,PikaMan,,,,,,附加建筑,附加建筑,,hv_TEXT_building.loc.tsv
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan,东胡部落序列,True,Wuhuan Tribe,Procrastinator,,,,,,东胡部落序列,乌桓部落,,hv_TEXT_building.loc.tsv
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_xiongnu,匈奴部落序列,True,Xiongnu Tribe,Procrastinator,,,,,,匈奴部落序列,匈奴部落,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_qiang_01,短描述,True,qiang_01_short_description,PikaMan,,,,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_qiang_02,短描述,True,qiang_02_short_description,PikaMan,,,,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_shanyue_01,「此为我祖辈所居之地，尔等无权强取豪夺！」,True,"This is our land, our home, our history. You cannot have it!",Vanilla,,,,「此为我祖辈所居之地，尔等无权强取豪夺！」,,「此为我祖辈所居之地，尔等无权强取豪夺！」,「此为我祖辈所居之地，尔等无权强取豪夺！」,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_shanyue_02,山越之民虽然筑起了围墙，实际上却只想过太平日子。,True,"Although their palisade walls are an unfortunate necessity, the Shanyue seek only to live in peace.",Vanilla,,,,山越之民虽然筑起了围墙，实际上却只想过太平日子。,,为了过上太平的日子，越民不得不在其住处筑起高墙。,山越之民虽然筑起了围墙，实际上却只想过太平日子。,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_wuhuan_01,短描述,True,wuhuan_01_short_description,PikaMan,,,,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_wuhuan_02,短描述,True,wuhuan_02_short_description,PikaMan,,,,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_xiongnu_01,短描述,True,xiongnu_01_short_description,PikaMan,,,,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_xiongnu_02,短描述,True,xiongnu_02_short_description,PikaMan,,,,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_yellow_turban_synad_01,短描述,False,short_description,MappedByText,,,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_yellow_turban_synad_02,短描述,False,short_description,MappedByText,,,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_yellow_turban_synad_03,短描述,False,short_description,MappedByText,,,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_nanman,南蛮填地序列,False,Nanman Infill Development ,MappedByText,,,南蛮填地序列,,,南蛮填地序列,,,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_qiang,游牧民族序列,True,Nomad,Procrastinator,,,,,,游牧民族序列,游牧民族,,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_shanyue,宗部序列,True,Zong Bu,MappedByText,,,宗部序列,,,宗布,宗布,,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_bandit,匪患序列,True,Banditry,MappedByText,,,匪患序列,匪患,,匪患序列,,,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_confucius,孔子学院序列,True,Confucius Institute,MappedByText,,,孔子学院序列,,,孔子学院序列,,,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_han,填地开发序列,True,Infill Development ,MappedByText,,,填地开发序列,,,填地开发序列,附加发展,,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_wuhuan,游牧民族序列,True,Nomad,Procrastinator,,,,,,游牧民族序列,游牧民族,,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_xiongnu,游牧民族序列,True,Nomad,Procrastinator,,,,,,游牧民族序列,游牧民族,,hv_TEXT_building.loc.tsv
campaign_effect_scopes_localised_text_character_to_force_own_when_commanding,[[col:scope_description]]（指挥时自军队）[[/col]],True,[[col:scope_description]](own army when commanding)[[/col]],MappedByText,,,[[col:scope_description]]（指挥时自军队）[[/col]],,,[[col:scope_description]]（指挥时我方军队）[[/col]],,,hv_TEXT_effect_scope.loc.tsv
campaign_effect_scopes_localised_text_hv_effect_scope_character_to_character_enemy_regionwide,[[col:scope_description]]（本{{tr:map_region}}内的敌军）[[/col]],True,[[col:scope_description]](enemies in local {{tr:map_region}})[[/col]],MappedByText,,,[[col:scope_description]]（本{{tr:map_region}}内的敌军）[[/col]],[[col:scope_description]]（所在{{tr:map_region}}中敌方）[[/col]],,[[col:scope_description]]（{{tr:map_region}}内的敌军）[[/col]],,,hv_TEXT_effect_scope.loc.tsv
campaign_effect_scopes_localised_text_hv_effect_scope_character_to_character_own_forcewide_when_commanding,[[col:scope_description]]（指挥时自军队）[[/col]],True,[[col:scope_description]](own army when commanding)[[/col]],MappedByText,,,[[col:scope_description]]（指挥时自军队）[[/col]],,,[[col:scope_description]]（指挥时我方军队）[[/col]],,,hv_TEXT_effect_scope.loc.tsv
campaign_effect_scopes_localised_text_hv_effect_scope_character_to_faction_leader,[[col:scope_description]]（派系领袖）[[/col]],True,[[col:scope_description]](faction leader)[[/col]],MappedByText,,,[[col:scope_description]]（派系领袖）[[/col]],,,[[col:scope_description]]（派系领袖）[[/col]],,,hv_TEXT_effect_scope.loc.tsv
campaign_effect_scopes_localised_text_hv_effect_scope_region_to_character_own_in_adjacent_regions_all_owners,[[col:scope_description]]（临近{{tr:map_provinces}}）[[/col]],True,[[col:scope_description]](adjacent {{tr:map_provinces}})[[/col]],Vanilla,,,,[[col:scope_description]]（临近{{tr:map_provinces}}）[[/col]],,,,,hv_TEXT_effect_scope.loc.tsv
