English,MappedZhcn,SourceZhcn,VanillaZhcn,IascusZhcn,ProcrastinatorZhcn,DiffZhcn,DiffZhtw,MappedZhtw,SourceZhtw,VanillaZhtw,IascusZhtw,ProcrastinatorZhtw,SkillKey
Martial expertise from hard work. Practice. Preparation. Endless repetition.,习技艺，服劳苦，勤习无休懈，方可弓马娴熟。,Vanilla,习技艺，服劳苦，勤习无休懈，方可弓马娴熟。,习技艺，服劳苦，勤习无休懈，方可弓马娴熟。,习技艺，服劳苦，勤习无休懈，方可弓马娴熟。,False,True,高強武藝來自勤練。必須孜孜不倦、未雨綢繆、千錘百鍊。,Vanilla,高強武藝來自勤練。必須孜孜不倦、未雨綢繆、千錘百鍊。,高強武藝來自勤練。必須孜孜不倦、未雨綢繆、千錘百鍊。,習技藝，服勞苦，勤習無休懈，方可弓馬嫺熟。,hv_skill_non_deployable_metal_1_description
Instinct,本能,MappedByPattern,,本能,本能,False,False,本能,MappedByPattern,,本能,本能,hv_skill_non_deployable_fire_2_name
"Concentrate on the moment: fight, don't think. Use your instincts.",专注当下：切勿迟疑，但斩前敌。,Vanilla,专注当下：切勿迟疑，但斩前敌。,专注当下：切勿迟疑，但斩前敌。,专注当下：切勿迟疑，但斩前敌。,False,True,專注於當下：只管戰鬥，無須思考。活用直覺。,Vanilla,專注於當下：只管戰鬥，無須思考。活用直覺。,專注於當下：只管戰鬥，無須思考。活用直覺。,專注當下：切勿遲疑，但斬前敵。,hv_skill_non_deployable_fire_2_description
Instinct,本能,MappedByPattern,,本能,本能,False,False,本能,MappedByPattern,,本能,本能,hv_skill_non_deployable_fire_1_name
"Concentrate on the moment: fight, don't think. Use your instincts.",专注当下：切勿迟疑，但斩前敌。,Vanilla,专注当下：切勿迟疑，但斩前敌。,专注当下：切勿迟疑，但斩前敌。,专注当下：切勿迟疑，但斩前敌。,False,True,專注於當下：只管戰鬥，無須思考。活用直覺。,Vanilla,專注於當下：只管戰鬥，無須思考。活用直覺。,專注於當下：只管戰鬥，無須思考。活用直覺。,專注當下：切勿遲疑，但斬前敵。,hv_skill_non_deployable_fire_1_description
Authority,权威,MappedByPattern,,权威,权威,False,False,權威,MappedByPattern,,權威,權威,hv_skill_non_deployable_earth_2_name
The responsibility that comes with authority should not be taken lightly.,位尊则必担重任，任重则不能轻举。,Vanilla,位尊则必担重任，任重则不能轻举。,位尊则必担重任，任重则不能轻举。,位尊则必担重任，任重则不能轻举。,False,True,權威帶來的責任絕不能等閒視之。,Vanilla,權威帶來的責任絕不能等閒視之。,權威帶來的責任絕不能等閒視之。,位尊則必擔重任，任重則不能輕舉。,hv_skill_non_deployable_earth_2_description
Authority,权威,MappedByPattern,,权威,权威,False,False,權威,MappedByPattern,,權威,權威,hv_skill_non_deployable_earth_1_name
The responsibility that comes with authority should not be taken lightly.,位尊则必担重任，任重则不能轻举。,Vanilla,位尊则必担重任，任重则不能轻举。,位尊则必担重任，任重则不能轻举。,位尊则必担重任，任重则不能轻举。,False,True,權威帶來的責任絕不能等閒視之。,Vanilla,權威帶來的責任絕不能等閒視之。,權威帶來的責任絕不能等閒視之。,位尊則必擔重任，任重則不能輕舉。,hv_skill_non_deployable_earth_1_description
City Recovery,城市复兴,MappedByPattern,,城市复兴,城市复兴,False,False,城市復興,MappedByPattern,,城市復興,城市復興,hv_skill_non_deployable_06_name
All must take up their tools and participate in the enormous effort of rebuilding society.,所有人都必须拿起工具，参与到重建社会的大业中去。,Procrastinator,,所有人都必须拿起工具，参与到重建社会的大业中去。,所有人都必须拿起工具，参与到重建社会的大业中去。,False,False,所有人都必須拿起工具，參與到重建社會的大業中去。,Procrastinator,,眾人皆需拿起工具，參與重建江山社稷的龐大工作。,所有人都必須拿起工具，參與到重建社會的大業中去。,hv_skill_non_deployable_06_description
Inspection,审查,MappedByPattern,,审查,审查,False,False,審查,MappedByPattern,,審查,審查,hv_skill_non_deployable_05_name
This is the basic way to correct corruption.,清除腐败以此为本。,MappedByPattern,,清楚腐败以此为本。,清楚腐败以此为本。,True,True,清除腐敗以此爲本。,MappedByPattern,,清除腐敗以此爲本。,清楚腐敗以此爲本。,hv_skill_non_deployable_05_description
Prevention,预防,MappedByPattern,,预防,预防,False,False,預防,MappedByPattern,,預防,預防,hv_skill_non_deployable_04_name
Prevention is better than cure.,防患于未然。,Procrastinator,,防患于未然。,防患于未然。,False,False,防患於未然。,Procrastinator,,防患於未然。,防患於未然。,hv_skill_non_deployable_04_description
Agronomy,农艺,MappedByPattern,,农艺,农艺,False,False,農藝,MappedByPattern,,農藝,農藝,hv_skill_non_deployable_03_name
Those who toil the land require more utilitarian approaches.,辛苦劳作的农民们需要的却是更为实用的建筑。,MappedByPattern,,辛苦劳作的农民们需要的却是更为实用的建筑。,辛苦劳作的农民们需要的却是更为实用的建筑。,False,True,耕田的人需要的是更為務實的做法。,MappedByPattern,,耕田的人需要的是更為務實的做法。,辛苦勞作的農民們需要的卻是更爲實用的建築。,hv_skill_non_deployable_03_description
Herald,先驱,MappedByPattern,,先驱,先驱,False,False,先驅,MappedByPattern,,先驅,先驅,hv_skill_non_deployable_02_name
A noble messenger.,一名高贵的信使。,Procrastinator,,一名高贵的信使。,一名高贵的信使。,False,False,一名高貴的信使。,Procrastinator,,一名高貴的信使。,一名高貴的信使。,hv_skill_non_deployable_02_description
Stylism,文学,MappedByPattern,,文学,文学,False,False,文學,MappedByPattern,,文學,文學,hv_skill_non_deployable_01_name
An excellent writing skill.,拥有优秀的文笔。,Procrastinator,,优秀的写作能力。,拥有优秀的文笔。,False,False,擁有優秀的文筆。,Procrastinator,,優秀的寫作能力。,擁有優秀的文筆。,hv_skill_non_deployable_01_description
Understanding,理解,Vanilla,理解,理解,理解,False,True,將心比心,Vanilla,將心比心,將心比心,理解,hv_skill_emperor_understanding_name
"What you do not wish upon yourself, extend not to others.",己所不欲，勿施于人,Vanilla,己所不欲，勿施于人,己所不欲，勿施于人,己所不欲，勿施于人,False,True,己所不欲，勿施於人。,Vanilla,己所不欲，勿施於人。,己所不欲，勿施於人。,己所不欲，勿施於人,hv_skill_emperor_understanding_description
Stability,坚定,Vanilla,坚定,坚定,坚定,False,True,穩重如山,Vanilla,穩重如山,穩重如山,堅定,hv_skill_emperor_stability_name
The pillar is strongest at its base.,柱石不倒，在其根基厚实,Vanilla,柱石不倒，在其根基厚实,柱石不倒，在其根基厚实,柱石不倒，在其根基厚实,False,True,柱之堅韌，以根基為最。,Vanilla,柱之堅韌，以根基為最。,柱之堅韌，以根基為最。,柱石不倒，在其根基厚實,hv_skill_emperor_stability_description
Reach,志远,Vanilla,志远,志远,志远,False,True,有志竟成,Vanilla,有志竟成,有志竟成,志遠,hv_skill_emperor_reach_name
"With no knowledge of what cannot be done, you will accomplish great things.",心怀克服万难之决意，方可成就大事,Vanilla,心怀克服万难之决意，方可成就大事,心怀克服万难之决意，方可成就大事,心怀克服万难之决意，方可成就大事,False,True,不知其不可為而為者，當能成就大事。,Vanilla,不知其不可為而為者，當能成就大事。,不知其不可為而為者，當能成就大事。,心懷克服萬難之決意，方可成就大事,hv_skill_emperor_reach_description
Nobility,龙髓,MappedByPattern,高尚,高尚,龙髓,False,False,龍髓,MappedByPattern,高尚風範,高尚風範,龍髓,hv_skill_emperor_nobility_name
"Virtue cannot be acquired, only nurtured.",美德并非天成，只可造就,Vanilla,美德并非天成，只可造就,美德并非天成，只可造就,美德并非天成，只可造就,False,True,修德非一蹴可幾，須時刻培養。,Vanilla,修德非一蹴可幾，須時刻培養。,修德非一蹴可幾，須時刻培養。,美德並非天成，只可造就,hv_skill_emperor_nobility_description
Flexibility,屈伸,Vanilla,屈伸,屈伸,屈伸,False,True,無往不適,Vanilla,無往不適,無往不適,屈伸,hv_skill_emperor_flexibility_name
"Like the weather, one's fortune may change by the evening.",天有不测风云，人有旦夕祸福,Vanilla,天有不测风云，人有旦夕祸福,天有不测风云，人有旦夕祸福,天有不测风云，人有旦夕祸福,False,True,天有不測風雲，人有旦夕禍福。,Vanilla,天有不測風雲，人有旦夕禍福。,天有不測風雲，人有旦夕禍福。,天有不測風雲，人有旦夕禍福,hv_skill_emperor_flexibility_description
Diligence,勤勉,Vanilla,勤勉,勤勉,勤勉,False,True,勤奮努力,Vanilla,勤奮努力,勤奮努力,勤勉,hv_skill_emperor_dilligence_name
The industrious need no orders to galvanise them into action.,勤奋的人，无需任何指引便可行动起来,Vanilla,勤奋的人，无需任何指引便可行动起来,勤奋的人，无需任何指引便可行动起来,勤奋的人，无需任何指引便可行动起来,False,True,勤勉之人不需命令也會行動。,Vanilla,勤勉之人不需命令也會行動。,勤勉之人不需命令也會行動。,勤奮的人，無需任何指引便可行動起來,hv_skill_emperor_dilligence_description
Clarity,聪颖,Vanilla,聪颖,聪颖,聪颖,False,True,清楚透徹,Vanilla,清楚透徹,清楚透徹,聰穎,hv_skill_emperor_clarity_name
Coherence in thought and speech brings clear advantage.,巧言善辩会带来显著的优势,Vanilla,巧言善辩会带来显著的优势,巧言善辩会带来显著的优势,巧言善辩会带来显著的优势,False,True,心口一致，無往不利。,Vanilla,心口一致，無往不利。,心口一致，無往不利。,巧言善辯會帶來顯著的優勢,hv_skill_emperor_clarity_description
Abundance,富足,Vanilla,富足,富足,富足,False,True,充盈豐沛,Vanilla,充盈豐沛,充盈豐沛,富足,hv_skill_emperor_abundance_name
Give a man a fish and you feed him for a day. Teach him to fish and you feed him for a lifetime.,授人以鱼，不如授人以渔,Vanilla,授人以鱼，不如授人以渔,授人以鱼，不如授人以渔,授人以鱼，不如授人以渔,False,True,授人以魚不如教之以漁。,Vanilla,授人以魚不如教之以漁。,授人以魚不如教之以漁。,授人以魚，不如授人以漁,hv_skill_emperor_abundance_description
Zhou the Youth,美周郎,MappedByPattern,,美周郎,周郎,True,True,美周郎,MappedByPattern,,美周郎,周郎,hv_skill_ability_zhou_the_youth_cunning_name
Zhou Yu's zeal is enough to inspire others.,「性度恢廓，实奇才也。」,Procrastinator,,周瑜的情操足以激励他人。,「性度恢廓，实奇才也。」,False,False,「性度恢廓，實奇才也。」,Procrastinator,,周瑜的情操足以激勵他人。,「性度恢廓，實奇才也。」,hv_skill_ability_zhou_the_youth_cunning_description
Sweeping Arc,弧光斩,MappedByPattern,弧光斩,,,True,True,橫掃千軍,MappedByPattern,橫掃千軍,,,hv_skill_ability_youzansen_resolve_name
Cut down enemies by making an arc with a blade,使出一记弧形挥砍杀伤敌人,MappedByPattern,,,,True,True,使出一記弧形揮砍殺傷敵人,MappedByPattern,,,,hv_skill_ability_youzansen_resolve_description
Sweeping Arc,弧光斩,MappedByPattern,弧光斩,,,True,True,橫掃千軍,MappedByPattern,橫掃千軍,,,hv_skill_ability_youzansen_instinct_name
Cut down enemies by making an arc with a blade,使出一记弧形挥砍杀伤敌人,MappedByPattern,,,,True,True,使出一記弧形揮砍殺傷敵人,MappedByPattern,,,,hv_skill_ability_youzansen_instinct_description
Sweeping Arc,弧光斩,MappedByPattern,弧光斩,,,True,True,橫掃千軍,MappedByPattern,橫掃千軍,,,hv_skill_ability_youzansen_expertise_name
Cut down enemies by making an arc with a blade,使出一记弧形挥砍杀伤敌人,MappedByPattern,,,,True,True,使出一記弧形揮砍殺傷敵人,MappedByPattern,,,,hv_skill_ability_youzansen_expertise_description
Xiezhi Roar,獬豸之吼,MappedByPattern,獬豸之吼,獬豸之吼,獬豸,True,True,獬豸咆嘯,MappedByPattern,獬豸咆嘯,獬豸咆嘯,獬豸,hv_skill_ability_xiezhi_roar_resolve_name
"The warrior flies into a rage, embodying the mighty Xiezhi, a mythical creature of great power.  ",勇士怒发冲冠，若獬豸附身，勇不可当。,MappedByPattern,,勇士大发雷霆，犹如神话中强大神兽獬豸的体现。,勇士大发雷霆，犹如神话中的神兽獬豸。,True,True,勇士大發雷霆，猶如神話中強大神獸獬豸的體現。,MappedByPattern,,勇士大發雷霆，猶如神話中強大神獸獬豸的體現。  ,勇士大發雷霆，猶如神話中的神獸獬豸。,hv_skill_ability_xiezhi_roar_resolve_description
Courage of Eastern Wu,英武,MappedByPattern,,东吴之勇,英武,False,True,東吳之勇,MappedByPattern,,東吳之勇,英武,hv_skill_ability_wu_brave_name
Poets will sing about today.,今日之战将流芳百世。,Procrastinator,,诗人会为此日做歌。,今日之战将流芳百世。,False,False,今日之戰將流芳百世。,Procrastinator,,詩人會爲此日做歌。,今日之戰將流芳百世。,hv_skill_ability_wu_brave_description
Wolf,恶狼,MappedByPattern,,战狼,恶狼,False,False,惡狼,MappedByPattern,,戰狼,惡狼,hv_skill_ability_wolf_resolve_name
Carefully approach and go for the throat.,恶狼谨慎出击，直奔咽喉。,MappedByPattern,,谨慎向前，紧咬其咽喉。,恶狼出击，紧咬咽喉。,True,True,惡狼謹慎出擊，直奔咽喉。,MappedByPattern,,謹慎向前，緊咬其咽喉。,惡狼出擊，緊咬咽喉。,hv_skill_ability_wolf_resolve_description
Wolf,恶狼,MappedByPattern,,战狼,恶狼,False,False,惡狼,MappedByPattern,,戰狼,惡狼,hv_skill_ability_wolf_cunning_name
Carefully approach and go for the throat.,恶狼谨慎出击，直奔咽喉。,MappedByPattern,,谨慎向前，紧咬其咽喉。,恶狼出击，紧咬咽喉。,True,True,惡狼謹慎出擊，直奔咽喉。,MappedByPattern,,謹慎向前，緊咬其咽喉。,惡狼出擊，緊咬咽喉。,hv_skill_ability_wolf_cunning_description
Wisdom of the Waterfall,飞泉之智,MappedByPattern,,飞泉之智,远瞩,True,True,飛泉之智,MappedByPattern,,飛泉之智,遠矚,hv_skill_ability_wisdom_of_the_waterfall_veteran_name
It is the bear's teeth that the salmon faces at the end of the falls.,鲑鱼游至瀑底，等待的却是熊的牙齿。,MappedByPattern,,鲑鱼在瀑布尽头时所面对的就是熊的牙齿。,层出高瞻之论，真乃奇才也。,True,True,鮭魚游至瀑底，等待的卻是熊的牙齒。,MappedByPattern,,鮭魚在瀑布盡頭時所面對的就是熊的牙齒。,層出高瞻之論，真乃奇才也。,hv_skill_ability_wisdom_of_the_waterfall_veteran_description
Wisdom of the Waterfall,飞泉之智,MappedByPattern,,飞泉之智,远瞩,True,True,飛泉之智,MappedByPattern,,飛泉之智,遠矚,hv_skill_ability_wisdom_of_the_waterfall_cunning_name
It is the bear's teeth that the salmon faces at the end of the falls.,鲑鱼游至瀑底，等待的却是熊的牙齿。,MappedByPattern,,鲑鱼在瀑布尽头时所面对的就是熊的牙齿。,层出高瞻之论，真乃奇才也。,True,True,鮭魚游至瀑底，等待的卻是熊的牙齒。,MappedByPattern,,鮭魚在瀑布盡頭時所面對的就是熊的牙齒。,層出高瞻之論，真乃奇才也。,hv_skill_ability_wisdom_of_the_waterfall_cunning_description
Wisdom of the Waterfall,飞泉之智,MappedByPattern,,飞泉之智,远瞩,True,True,飛泉之智,MappedByPattern,,飛泉之智,遠矚,hv_skill_ability_wisdom_of_the_waterfall_authority_name
It is the bear's teeth that the salmon faces at the end of the falls.,鲑鱼游至瀑底，等待的却是熊的牙齿。,MappedByPattern,,鲑鱼在瀑布尽头时所面对的就是熊的牙齿。,层出高瞻之论，真乃奇才也。,True,True,鮭魚游至瀑底，等待的卻是熊的牙齒。,MappedByPattern,,鮭魚在瀑布盡頭時所面對的就是熊的牙齒。,層出高瞻之論，真乃奇才也。,hv_skill_ability_wisdom_of_the_waterfall_authority_description
Wisdom of the River,水圣,Vanilla,水圣,水圣,水圣,False,True,河之智慧,Vanilla,河之智慧,河之智慧,水聖,hv_skill_ability_wisdom_of_the_river_veteran_name
Knowledge of the enemy weakens their defences.,知敌表里，则彼难守，我易攻,Vanilla,知敌表里，则彼难守，我易攻,知敌表里，则彼难守，我易攻,知敌表里，则彼难守，我易攻,False,True,了解敵人，就能減弱他們的防禦。,Vanilla,了解敵人，就能減弱他們的防禦。,了解敵人，就能減弱他們的防禦。,知敵表裏，則彼難守，我易攻,hv_skill_ability_wisdom_of_the_river_veteran_description
Wisdom of the River,水圣,Vanilla,水圣,水圣,水圣,False,True,河之智慧,Vanilla,河之智慧,河之智慧,水聖,hv_skill_ability_wisdom_of_the_river_cunning_name
Knowledge of the enemy weakens their defences.,知敌表里，则彼难守，我易攻,Vanilla,知敌表里，则彼难守，我易攻,知敌表里，则彼难守，我易攻,知敌表里，则彼难守，我易攻。,True,True,了解敵人，就能減弱他們的防禦。,Vanilla,了解敵人，就能減弱他們的防禦。,了解敵人，就能減弱他們的防禦。,知敵表裏，則彼難守，我易攻。,hv_skill_ability_wisdom_of_the_river_cunning_description
Wisdom of the River,水圣,Vanilla,水圣,水圣,水圣,False,True,河之智慧,Vanilla,河之智慧,河之智慧,水聖,hv_skill_ability_wisdom_of_the_river_authority_name
Knowledge of the enemy weakens their defences.,知敌表里，则彼难守，我易攻,Vanilla,知敌表里，则彼难守，我易攻,知敌表里，则彼难守，我易攻,知敌表里，则彼难守，我易攻。,True,True,了解敵人，就能減弱他們的防禦。,Vanilla,了解敵人，就能減弱他們的防禦。,了解敵人，就能減弱他們的防禦。,知敵表裏，則彼難守，我易攻。,hv_skill_ability_wisdom_of_the_river_authority_description
Wildfire Raider,猛火袭掠,Vanilla,猛火袭掠,猛火袭掠,烈火,True,True,野火劫匪,Vanilla,野火劫匪,野火劫匪,烈火,hv_skill_ability_wildfire_instinct_name
"Gan Ning moves ever faster, as fire spreads through the forest.",甘宁疾冲之势，如野火飞掠林梢,Vanilla,甘宁疾冲之势，如野火飞掠林梢,甘宁疾冲之势，如野火飞掠林梢,甘宁疾冲之势，如野火飞掠林梢,False,True,甘寧有如燎原野火，動作越發迅捷。,Vanilla,甘寧有如燎原野火，動作越發迅捷。,甘寧有如燎原野火，動作越發迅捷。,甘寧疾衝之勢，如野火飛掠林梢,hv_skill_ability_wildfire_instinct_description
Whitewater,习谋,Vanilla,习谋,习谋,习谋,False,True,激流湧升,Vanilla,激流湧升,激流湧升,習謀,hv_skill_ability_whitewater_cunning_name
This legendary presence gives enemies pause.,此人谋略通神，足令敌踌躇待毙,Vanilla,此人谋略通神，足令敌踌躇待毙,此人谋略通神，足令敌踌躇待毙,此人谋略通神，足令敌踌躇待毙。,True,True,此人的傳奇風采使敵人望而卻步。,Vanilla,此人的傳奇風采使敵人望而卻步。,此人的傳奇風采使敵人望而卻步。,此人謀略通神，足令敵躊躇待斃。,hv_skill_ability_whitewater_cunning_description
Way of the Wind,风道,Vanilla,风道,风道,风道,False,True,預測風向,Vanilla,預測風向,預測風向,風道,hv_skill_ability_way_of_the_wind_cunning_name
Zhuge Liang predicts the wind through study of the world.,卧龙饱谙天文地理，风向去留亦可观之,Vanilla,卧龙饱谙天文地理，风向去留亦可观之,卧龙饱谙天文地理，风向去留亦可观之,卧龙饱谙天文地理，风向去留亦可观之。,True,True,諸葛亮對自然萬物觀察細微而能預知風向。,Vanilla,諸葛亮對自然萬物觀察細微而能預知風向。,諸葛亮對自然萬物觀察細微而能預知風向。,臥龍飽諳天文地理，風向去留亦可觀之。,hv_skill_ability_way_of_the_wind_cunning_description
Warning Shot,射缨,Vanilla,射缨,射缨,射缨,False,True,警告射擊,Vanilla,警告射擊,警告射擊,射纓,hv_skill_ability_warning_shot_expertise_name
The enemy knows the next shot will not miss.,「这下一箭，射的就是汝之心窝！」,Vanilla,「这下一箭，射的就是汝之心窝！」,「这下一箭，射的就是汝之心窝！」,「这下一箭，射的就是汝之心窝！」,False,True,敵人深知下一箭必不失準。,Vanilla,敵人深知下一箭必不失準。,敵人深知下一箭必不失準。,「這下一箭，射的就是汝之心窩！」,hv_skill_ability_warning_shot_expertise_description
Warning Shot,射缨,Vanilla,射缨,射缨,射缨,False,True,警告射擊,Vanilla,警告射擊,警告射擊,射纓,hv_skill_ability_warning_shot_cunning_name
The enemy knows the next shot will not miss.,「这下一箭，射的就是汝之心窝！」,Vanilla,「这下一箭，射的就是汝之心窝！」,「这下一箭，射的就是汝之心窝！」,「这下一箭，射的就是汝之心窝！」,False,True,敵人深知下一箭必不失準。,Vanilla,敵人深知下一箭必不失準。,敵人深知下一箭必不失準。,「這下一箭，射的就是汝之心窩！」,hv_skill_ability_warning_shot_cunning_description
Vengeance,睚眦,Vanilla,睚眦,睚眦,睚眦,False,True,有仇必報,Vanilla,有仇必報,有仇必報,睚眥,hv_skill_ability_vengeance_resolve_name
"Xiahou Dun fights best in the thick of it, but may lose his composure.",夏侯惇能借此愈战愈勇，但会因此丧失理智,Vanilla,夏侯惇能借此愈战愈勇，但会因此丧失理智,夏侯惇能借此愈战愈勇，但会因此丧失理智,夏侯惇能借此愈战愈勇，但会因此丧失理智。,True,True,夏侯惇在情況危急時反而能發揮最強實力，不過他也容易因此失去理智。,Vanilla,夏侯惇在情況危急時反而能發揮最強實力，不過他也容易因此失去理智。,夏侯惇在情況危急時反而能發揮最強實力，不過他也容易因此失去理智。,夏侯惇能借此愈戰愈勇，但會因此喪失理智。,hv_skill_ability_vengeance_resolve_description
Veil of Darkness,莫测,MappedByPattern,,黑暗面纱,莫测,False,True,黑暗之幕,MappedByPattern,,黑暗面紗,莫測,hv_skill_ability_veil_of_darkness_cunning_name
Unease spreads among the enemy ranks.,诡秘莫测，令人胆寒。,Procrastinator,,未知的焦虑于敌方里蔓延。,诡秘莫测，令人胆寒。,False,False,詭祕莫測，令人膽寒。,Procrastinator,,未知的焦慮於敵方裡蔓延。,詭祕莫測，令人膽寒。,hv_skill_ability_veil_of_darkness_cunning_description
Unyielding Earth,坚土,Vanilla,坚土,坚土,坚土,False,True,不屈之土,Vanilla,不屈之土,不屈之土,堅土,hv_skill_ability_unyielding_earth_authority_name
Nature itself provides a shield for its warriors.,法自然，如佩坚盾，御阻猛攻。,Vanilla,法自然，如佩坚盾，御阻猛攻。,法自然，如佩坚盾，御阻猛攻。,法自然，如佩坚盾，御阻猛攻。,False,True,大地為它的戰士們提供屏障。,Vanilla,大地為它的戰士們提供屏障。,大地為它的戰士們提供屏障。,法自然，如佩堅盾，御阻猛攻。,hv_skill_ability_unyielding_earth_authority_description
Unstoppable,横行,MappedByPattern,横行,横行,横行,False,True,無人可擋,MappedByPattern,無人可擋,無人可擋,橫行,hv_skill_ability_unstoppable_resolve_name
His relentless attack makes foes cower before him!,他武艺天下绝伦，敌众闻之胆战心惊,MappedByPattern,云长武艺天下绝伦，敌众闻之胆战心惊,云长武艺天下绝伦，敌众闻之胆战心惊,云长武艺天下绝伦，敌众闻之胆战心惊。,True,True,他無止息的瘋狂攻勢令敵人心驚膽寒！,MappedByPattern,他無止息的瘋狂攻勢令敵人心驚膽寒！,他無止息的瘋狂攻勢令敵人心驚膽寒！,雲長武藝天下絕倫，敵衆聞之膽戰心驚。,hv_skill_ability_unstoppable_resolve_description
Undying Vow,守誓,Vanilla,守誓,守誓,守誓,False,True,誓死不屈,Vanilla,誓死不屈,誓死不屈,守誓,hv_skill_ability_undying_vow_instinct_name
"To the very bitter end and beyond, if possible, to the very last breath, they will be constant and unswerving.",此人视死如归，奋战至血尽身死。,MappedByPattern,周泰及义亲视死如归，奋战至血尽身死。,周泰及义亲视死如归，奋战至血尽身死。,周泰及义亲视死如归，奋战至血尽身死。,True,True,直到最後的最後，如果可以的話，甚至直到最後一口氣，此人都會穩守陣地、絕不低頭。,MappedByPattern,直到最後的最後，如果可以的話，甚至直到最後一口氣，此人都會穩守陣地、絕不低頭。,直到最後的最後，如果可以的話，甚至直到最後一口氣，此人都會穩守陣地、絕不低頭。,周泰及義親視死如歸，奮戰至血盡身死。,hv_skill_ability_undying_vow_instinct_description
