Text,Count,Mapped by text,Mapped by pattern,File
A warrior will only fight at their best when they are sure-footed.,1,,,text/_hvo/hv_TEXT_skills_skill_ability_name_desc.loc
A yellow turban warband has invaded your territory. You must defeat them.,1,有黄巾军侵入主公领地，须从速讨敌。,,text/_hvo/hv_TEXT_events.loc
Ability: A Secret Plan,1,,技能：一条密计,text/_hvo/hv_TEXT_effects_skills.loc
Ability: A Storm of Swords,2,,技能：剑刃风暴,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: Adamant Resolve,1,,技能：不屈,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Analyse Weakness,1,,技能：看破,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Anti-Cavalry Tactics,3,,技能：反骑兵战术,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: Assemble,2,,技能：集结,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: Binding Fury,1,,技能：聚怒,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Blade Breaker,1,,技能：断刃,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Blade Mastery,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Blazing Roar,1,,技能：怒吼,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Blazing Saddles,1,,技能：绝尘,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Bloody Fury,1,,技能：血怒,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Brawl,1,,技能：殴打,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Brute Power,1,,技能：愈战愈怒,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Burning Soul,1,,技能：炎魂,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Commanding Shout,2,,技能：训令,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: Condemn,1,,技能：声讨,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Condemned Howl,1,,技能：狂啸,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Courage of Eastern Wu,1,,技能：东吴之勇,text/_hvo/hv_TEXT_skills_skill_ability_wu_brave.loc
Ability: Cruel Command,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Cry of the Forest,1,,技能：林啸,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Desperate Cry,1,,技能：绝号,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Devastating Roar,1,,技能：狂号,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Disorientate,1,,技能：蛊惑,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Distant Courage,1,,技能：坚毅,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Disturb,1,,技能：搅扰,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Dong Zhuo's Command,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Earth-shattering Strike,1,,技能：裂地,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Earthen Rampart,1,,技能：壁垒,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: Elemental Vigour,1,,技能：龙胆,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Eviscerate,1,,技能：剔骨,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Exemplar,1,,技能：楷模,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Favourable Skies,1,,技能：天时,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Fire Control,2,,技能：火控,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: Flame Breathing,1,,技能：吐火,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Flames of the Phoenix,2,,技能：炎凤,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: Fleet-footed,3,,技能：疾行,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: Flower of the Battlefield,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Foresight,1,,技能：远见,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Forest Strider,1,,技能：森林适性,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: From the Ashes,1,,技能：涅槃重生,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Frontline Observation,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Ghost of the woods,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: God of War,1,,技能：武圣,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Hail of Arrows,1,,技能：箭雨,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Hamstring,1,,技能：断筋,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Heart Seeker,1,,技能：觅心,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Heavenly Grace,1,,技能：天人之姿,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Imperious_presence,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Impetuous Charge,1,,技能：横冲,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Indomitable Warrior,1,,技能：无畏之士,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Inner Fire,1,,技能：炽心,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Inner Vitality,2,,技能：内在活力,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: Inspiring Surge,1,,技能：激浪,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: Inspiring Words,1,,技能：鼓舞,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Internal Blaze,1,,技能：心火,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Into the Breach,3,,技能：突围,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: Inward Focus,1,,技能：内凝,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Judgement,1,,技能：慎断,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Kingmaker,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Knowledge of the Body,1,,技能：体识,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Knowledge of the Mind,1,,技能：心识,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Knowledge of the Spirit,1,,技能：神识,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Make Calm Down,1,,技能：镇静,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Mark Target,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Mettlesome Advance,1,,技能：突飞猛进,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Mortal Strike,1,,技能：致命一击,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Mountains,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Nature's Ally,3,,,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: Oil Pot,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: One with Heaven,2,,技能：天遁,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: One with the Land,2,,技能：地遁,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: One with the People,2,,技能：人遁,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: Overwhelmming,1,,技能：压倒之势,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Poison-wind,1,,技能：毒风,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Poisoned Blade,1,,技能：毒刃,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Preach,1,,技能：布道,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Quickfire,1,,技能：霹雳,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Rage of Lü Bu,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Reckless Strike,1,,技能：孟浪,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Reign of Terror,1,,技能：怖惧,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Resolve of the Righteous,1,,技能：贞义,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Restore,1,,技能：回复,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Roar of the Beast,1,,技能：虎啸,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Royal Blood,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Scattering Blows,1,,技能：诛荡,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Second Chance,1,,技能：余烬复燃,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Show of Force,1,,技能：耀武,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Sight of the Dragon,1,,技能：龙睛,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Sinister Strike,1,,技能：险恶一击,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Smouldering Fury,1,,技能：愤懑,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Stalwart Defender,1,,技能：坚防,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Stength of the Land,1,,技能：地力,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Stone Bulwark,3,,技能：磐石,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: Striking Tide,1,,技能：刀浪澎湃,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Sundering Strike,1,,技能：裂斩,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Swallow,1,,技能：燕翔,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Swift Fingers,1,,技能：妙手,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Swift Steps,1,,技能：运步如飞,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Targeted Strikes,1,,技能：扬刃,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: Tempered Deflection,1,,技能：固守,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Tenacity of Steel,2,,技能：刚韧,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: The Dragon's Gaze,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: The weight on the shoulders,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Tracker,1,,技能：追踪,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Ability: Turning the Tide,1,,技能：力挽狂澜,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Undying Vow,1,,技能：守誓,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Unstoppable,1,,技能：横行,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Unyielding Earth,1,,技能：坚土,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Veil of Darkness,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Vengeance,1,,技能：睚眦,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Warning Shot,1,,技能：射缨,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Way of the Wind,1,,技能：风道,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: White Tiger,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Whitewater,1,,技能：习谋,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Wildfire Raider,1,,技能：猛火袭掠,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Wisdom of the River,1,,技能：水圣,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Wisdom of the Waterfall,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Wolf,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Ability: Zhou the Youth,1,,,text/_hvo/hv_TEXT_skills_skill_enable_effect.loc
Absent,1,缺席,,text/_ifo/ifo_text_TWEAK.loc
Abundance,1,,,text/_hvo/hv_TEXT_skills_basic.loc
Academic Advancement,1,学术进步,,text/_hvo/hv_TEXT_events.loc
Accept,3,,,text/_hvo/hv_TEXT_events.loc
Accumulating Wealth,6,,,text/_hvo/hv_TEXT_events.loc
Active Ability,3,,,text/_hvo/hv_TEXT_unit_abilities.loc
Active Buff,42,,,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Active Debuff,4,,,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Adamant Resolve,2,,,text/_hvo/hv_TEXT_skills_skill_skill_name_desc.loc
"After an epic struggle, you slay the enormous white tiger. Then, unexpectedly, the other tigers prostrate themselves as if submitting to your might! These white tigers don't seem to be ordinary beasts.",1,,,text/_hvo/hv_TEXT_events.loc
"After centuries, the old Han Dynasty has finally lost the Mandate of Heaven. Yet the people under heaven still suffer from the chaos of war brought by petty warlords and their false claims to the Mandate. My Lord, you must end this. China awaits a ruler who will bring unity and prosperity to the realm. How will you choose to rule the people of China?",1,,,text/_hvo/hv_TEXT_events_rules.loc
Against all odds,3,,,text/_hvo/hv_TEXT_unit_abilities.loc
Agitation,3,,,text/_hvo/hv_TEXT_unit_abilities_hit_effects.loc
Agronomy,1,农艺,,text/_hvo/z_dummy_hv_TEXT_non_deployable.loc
Aiming Fire,5,,,text/_hvo/hv_TEXT_unit_abilities.loc
All economic activities have been hampered by the minting of a new coin. We have no choice but to wait for merchants to adjust to the new standard.,1,所有的经济活动都因为新币的铸造而受到阻碍。我们别无选择，只能等待商人们适应新的标准。,,text/_hvo/hv_TEXT_events.loc
All must take up their tools and participate in the enormous effort of rebuilding society.,1,所有人都必须拿起工具，参与到重建社会的大业中去。,,text/_hvo/z_dummy_hv_TEXT_non_deployable.loc
"Although their palisade walls are an unfortunate necessity, the Shanyue seek only to live in peace.",1,,,text/_hvo/hv_TEXT_building.loc
Always surrounded by people.,1,周围总是很多人。,,text/_hvo/z_dummy_hv_TEXT_non_deployable.loc
"Amongst the hills of Jingchu, the unwary may find themselves tripped upon a caltrop, and slain by the man who laid it.",1,在荆楚的山中，粗心的人可能会被一把蒺藜绊倒，然后被放它的人杀死。 ,,text/_hvo/hv_TEXT_unit_desc.loc
An ancient chant that serves as a reminder that Heaven is with the virtuous.,1,,,text/_hvo/hv_TEXT_unit_abilities.loc
An excellent writing skill.,1,优秀的写作能力。,,text/_hvo/z_dummy_hv_TEXT_non_deployable.loc
"An illustrious lineage provides many swords, along with men willing to wield them.",1,显赫的血统可以使许多剑士愿意效命。 ,,text/_hvo/hv_TEXT_unit_desc.loc
An immovable mountain against the tide of the charge.,2,任由惊涛拍岸，我自不动如山。,,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
An imperial ancestral rite is being held...,2,正在举行皇家祭祀仪式……,,text/_ifo/ifo_text_TWEAK.loc
An inevitable rule to stabilize the turmoil.,2,严政方能定乱。,,text/_hvo/hv_TEXT_pooled_resource.loc
An outnumbered army will fight even harder. Skill trumps numbers.,2,,,text/_hvo/hv_TEXT_skills_skill_skill_name_desc.loc
Analyse Weakness,1,,,text/_hvo/hv_TEXT_skills_skill_skill_name_desc.loc
Anger pushes their limits.,1,愤怒把他们逼至极限。,,text/_hvo/hv_TEXT_unit_abilities.loc
Animal Handlers (Buqu),4,,驯兽师（部曲）,text/_hvo/hv_TEXT_unit_ui_group_t2.loc
Animal Handlers (Elite),5,,驯兽师（精锐）,text/_hvo/hv_TEXT_unit_ui_group_t3.loc
Animal Handlers (Militia),4,,驯兽师（民兵）,text/_hvo/hv_TEXT_unit_ui_group_t1.loc
Anti-Cavalry Tactics,14,反骑兵战术,,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
"Anti-Cavalry, Average Armour-Piercing Damage",27,反骑兵，穿甲伤害一般,,text/_hvo/hv_TEXT_unit_ui_group_VM.loc
"Anti-Cavalry, High Armour-Piercing Damage",6,反骑兵，穿甲伤害高,,text/_hvo/hv_TEXT_unit_ui_group_t1.loc
"Anti-Cavalry, High Armour-Piercing Damage, Break Enemy's Shield",4,反骑兵，穿甲伤害高，破盾,,text/_hvo/hv_TEXT_unit_ui_group_t1.loc
"Anti-Cavalry, Low Armour-Piercing Damage",19,反骑兵，穿甲伤害低,,text/_hvo/hv_TEXT_unit_ui_group_VM.loc
Archery Masters,1,,,text/_hvo/hv_TEXT_unit_text_replacements.loc
Argumentative and annoying scholars.,1,好辩又烦人的学者。,,text/_hvo/z_dummy_hv_TEXT_non_deployable.loc
Arm of the Supreme Peace,1,,,text/_hvo/hv_TEXT_unit_text_replacements.loc
"Armed with bow and sword, these disciplined riders enforce the will of their warlord.",1,佩戴剑弓，这些纪律严明的骑手执行他们主公的意志。,,text/_hvo/hv_TEXT_unit_desc.loc
"Armed with bow and sword, these hardy soldiers enforce the will of their warlord.",1,佩戴剑弓，这些硬朗的士兵执行他们主公的意志。,,text/_hvo/hv_TEXT_unit_desc.loc
Armour Breaker,3,,,text/_hvo/hv_TEXT_unit_abilities_hit_effects.loc
Armour broken.,1,,,text/_hvo/hv_TEXT_unit_abilities_hit_effects.loc
Armour protects precious warhorses from enemy projectiles.,2,,,text/_hvo/hv_TEXT_unit_abilities.loc
Army,3,,,text/_hvo/hv_TEXT_etc.loc
Army Reinforcement,1,军队补员,,text/_hvo/z_dummy_hv_TEXT_non_deployable.loc
Army of the Great Banner,1,集兵练卒,,text/_hvo/hv_TEXT_events.loc
Artillery,3,远程砲兵,,text/_hvo/hv_TEXT_unit_ui_group_t1.loc
Artillery (Buqu),1,,远程砲兵（部曲）,text/_hvo/hv_TEXT_unit_ui_group_t2_VM.loc
Artillery (Elite),1,,远程砲兵（精锐）,text/_hvo/hv_TEXT_unit_ui_group_t3_VM.loc
Artillery (Militia),1,,远程砲兵（民兵）,text/_hvo/hv_TEXT_unit_ui_group_t1_VM.loc
"As Sun Ce's strength rises, his grip on rationality weakens…",1,,,text/_hvo/hv_TEXT_skills_skill_skill_name_desc.loc
"As the Black Mountain bandits increase in number, the more brazen they become.",1,黑山匪徒之数与日俱增，其行为亦更加肆无忌惮。,,text/_hvo/hv_TEXT_frontend_features.loc
"As the enemy spots the blue turbans on the field, they know the hardest fighting is about to begin.",1,当敌人在战场上看到蓝色头巾时，他们就知道最艰苦的战斗即将开始。,,text/_hvo/hv_TEXT_unit_desc.loc
Assassination Attempt!,1,,,text/_ifo/ifo_text_TWEAK.loc
Assemble,12,集结,,text/_hvo/hv_TEXT_skills_skill_ability__historical.loc
Assignments,2,,,text/_hvo/hv_TEXT_pooled_resource.loc
At the beginning of a new journey all must learn the new way.,1,,,text/_hvo/hv_TEXT_building.loc
"At the head of charge they draw their spears, driving home with a righteous cry!",1,,,text/_hvo/hv_TEXT_unit_desc.loc
Attached Building,1,,,text/_hvo/hv_TEXT_building.loc
Attend,1,出席,,text/_ifo/ifo_text_TWEAK.loc
Authority,2,权威,,text/_hvo/z_dummy_hv_TEXT_non_deployable.loc
"Average Hit Rate, Average Armour-Piercing Damage",27,命中率一般，穿甲伤害一般,,text/_hvo/hv_TEXT_unit_ui_group_VM.loc
"Average Hit Rate, High Armour-Piercing Damage",32,命中率一般，穿甲伤害高,,text/_hvo/hv_TEXT_unit_ui_group_VM.loc
"Average Hit Rate, Multi-Role",25,命中率一般，多重角色,,text/_hvo/hv_TEXT_unit_ui_group_t1.loc
