English,MappedZhcn,SourceZhcn,VanillaZhcn,IascusZhcn,ProcrastinatorZhcn,PikaManZhcn,DiffZhcn,MappedZhtw,SourceZhtw,VanillaZhtw,IascusZhtw,ProcrastinatorZhtw,PikaManZhtw,DiffZhtw,SkillKey
The industrious need no orders to galvanise them into action.,勤奋的人，无需任何指引便可行动起来,Vanilla,勤奋的人，无需任何指引便可行动起来,勤奋的人，无需任何指引便可行动起来,勤奋的人，无需任何指引便可行动起来,,False,勤勉之人不需命令也會行動。,Vanilla,勤勉之人不需命令也會行動。,勤勉之人不需命令也會行動。,勤奮的人，無需任何指引便可行動起來,,True,hv_skill_emperor_dilligence_description
Clarity,聪颖,Vanilla,聪颖,聪颖,聪颖,,False,清楚透徹,Vanilla,清楚透徹,清楚透徹,聰穎,,True,hv_skill_emperor_clarity_name
Coherence in thought and speech brings clear advantage.,巧言善辩会带来显著的优势,Vanilla,巧言善辩会带来显著的优势,巧言善辩会带来显著的优势,巧言善辩会带来显著的优势,,False,心口一致，無往不利。,Vanilla,心口一致，無往不利。,心口一致，無往不利。,巧言善辯會帶來顯著的優勢,,True,hv_skill_emperor_clarity_description
Abundance,富足,Vanilla,富足,富足,富足,,False,充盈豐沛,Vanilla,充盈豐沛,充盈豐沛,富足,,True,hv_skill_emperor_abundance_name
Give a man a fish and you feed him for a day. Teach him to fish and you feed him for a lifetime.,授人以鱼，不如授人以渔,Vanilla,授人以鱼，不如授人以渔,授人以鱼，不如授人以渔,授人以鱼，不如授人以渔,,False,授人以魚不如教之以漁。,Vanilla,授人以魚不如教之以漁。,授人以魚不如教之以漁。,授人以魚，不如授人以漁,,True,hv_skill_emperor_abundance_description
First Characteristic,个性一,MappedByPattern,,特性一,个性一,,False,特性一,MappedByPattern,,特性一,個性一,,True,hv_skill_add_unlock_wood_name
Someone who stands out among the people.,超凡脱俗,MappedByText,,超凡脱俗,超凡脱俗,,False,超凡脫俗,MappedByText,,超凡脫俗,超凡脫俗,,False,hv_skill_add_unlock_wood_description
First Characteristic,个性一,MappedByPattern,,特性一,个性一,,False,特性一,MappedByPattern,,特性一,個性一,,True,hv_skill_add_unlock_water_name
Someone who stands out among the people.,超凡脱俗,MappedByText,,超凡脱俗,超凡脱俗,,False,超凡脫俗,MappedByText,,超凡脫俗,超凡脫俗,,False,hv_skill_add_unlock_water_description
First Characteristic,个性一,MappedByPattern,,特性一,个性一,,False,特性一,MappedByPattern,,特性一,個性一,,True,hv_skill_add_unlock_metal_name
Someone who stands out among the people.,超凡脱俗,MappedByText,,超凡脱俗,超凡脱俗,,False,超凡脫俗,MappedByText,,超凡脫俗,超凡脫俗,,False,hv_skill_add_unlock_metal_description
First Characteristic,个性一,MappedByPattern,,特性一,个性一,,False,特性一,MappedByPattern,,特性一,個性一,,True,hv_skill_add_unlock_fire_name
Someone who stands out among the people.,超凡脱俗,MappedByText,,超凡脱俗,超凡脱俗,,False,超凡脫俗,MappedByText,,超凡脫俗,超凡脫俗,,False,hv_skill_add_unlock_fire_description
First Characteristic,个性一,MappedByPattern,,特性一,个性一,,False,特性一,MappedByPattern,,特性一,個性一,,True,hv_skill_add_unlock_earth_name
Someone who stands out among the people.,超凡脱俗,MappedByText,,超凡脱俗,超凡脱俗,,False,超凡脫俗,MappedByText,,超凡脫俗,超凡脫俗,,False,hv_skill_add_unlock_earth_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_zhuge_liang_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_zhuge_liang_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_zhou_yu_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_zhou_yu_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_zhou_tai_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_zhou_tai_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_zheng_jiang_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_zheng_jiang_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_zhao_yun_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_zhao_yun_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_zhang_zhao_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_zhang_zhao_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_zhang_yan_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_zhang_yan_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_zhang_xun_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_zhang_xun_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_zhang_lu_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_zhang_lu_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_zhang_liao_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_zhang_liao_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_zhang_hong_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_zhang_hong_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_zhang_he_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_zhang_he_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_zhang_fei_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_zhang_fei_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_zhang_fang_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_zhang_fang_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_zhang_bao_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_zhang_bao_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_yue_jin_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_yue_jin_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_yuan_shu_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_yuan_shu_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_yuan_shao_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_yuan_shao_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_yuan_shang_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_yuan_shang_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_yuan_generic_earth_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_yuan_generic_earth_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_yu_jin_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_yu_jin_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_ytr_veteran_01_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_ytr_veteran_01_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_ytr_scholar_01_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_ytr_scholar_01_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_ytr_healer_01_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_ytr_healer_01_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_yan_yu_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_yan_yu_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_yan_xiang_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_yan_xiang_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_yan_liang_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_yan_liang_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_yan_baihu_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_yan_baihu_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_xun_yu_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_xun_yu_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_xun_you_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_xun_you_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_xu_shu_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_xu_shu_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_xu_huang_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_xu_huang_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_xu_chu_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_xu_chu_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_xiao_qiao_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_xiao_qiao_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_xiahou_yuan_4B_name
A remarkable talent.,才华横溢,MappedByText,,才华横溢,才华横溢,,False,才華橫溢,MappedByText,,才華橫溢,才華橫溢,,False,hv_skill_add_talent_xiahou_yuan_4B_description
Second Characteristic,个性二,MappedByPattern,,特性二,个性二,,False,特性二,MappedByPattern,,特性二,個性二,,True,hv_skill_add_talent_xiahou_dun_4B_name
