Text,Mapped,Count,Override (manual),Override (pattern),C1,Unit type,Unit name,Unit key,Old,File,Duplicated,zhtw
[[b]]%+n%[[/b]] construction cost (other ethnic groups),异民族建筑成本 [[b]]%+n%[[/b]],0,,异民族建筑成本 [[b]]%+n%[[/b]],异民族建筑成本,,,,,,False,True
[[b]]%+n%[[/b]] corruption,腐败 [[b]]%+n%[[/b]],0,,腐败 [[b]]%+n%[[/b]],腐败,,,,,,False,True
[[b]]%+n%[[/b]] damage resistance for {{tr:hv_unit_xian_chen_ying}},陷阵营的伤害抗性 [[b]]%+n%[[/b]],0,,陷阵营的伤害抗性 [[b]]%+n%[[/b]],陷阵营的伤害抗性,,,{{tr:hv_unit_xian_chen_ying}},,,False,True
[[b]]%+n%[[/b]] food production,粮食产量 [[b]]%+n%[[/b]],0,,粮食产量 [[b]]%+n%[[/b]],粮食产量,,,,,,False,True
[[b]]%+n%[[/b]] general's bodyguard size,将领卫队规模 [[b]]%+n%[[/b]],0,,将领卫队规模 [[b]]%+n%[[/b]],将领卫队规模,,,,,,False,True
[[b]]%+n%[[/b]] health,生命值 [[b]]%+n%[[/b]],0,,生命值 [[b]]%+n%[[/b]],生命值,,,,,,False,True
[[b]]%+n%[[/b]] health recovery for characters,人物生命值回复 [[b]]%+n%[[/b]],0,,人物生命值回复 [[b]]%+n%[[/b]],生命值回复,人物,,characters,,,False,True
[[b]]%+n%[[/b]] income from looting settlements and post-battle loot,战后掳掠收入 [[b]]%+n%[[/b]],0,,战后掳掠收入 [[b]]%+n%[[/b]],战后掳掠收入,,,,,,False,True
[[b]]%+n%[[/b]] mass for cavalry units,骑兵单位质量 [[b]]%+n%[[/b]],0,,骑兵单位质量 [[b]]%+n%[[/b]],单位质量,骑兵,骑兵,cavalry,,,False,True
[[b]]%+n%[[/b]] melee attack rate for black mountain bandit units,黑山匪徒近战攻击速率 [[b]]%+n%[[/b]],0,,黑山匪徒近战攻击速率 [[b]]%+n%[[/b]],近战攻击速率,黑山匪徒,,black mountain bandit,,,False,True
[[b]]%+n%[[/b]] melee attack rate for melee infantry,近战步兵近战攻击速率 [[b]]%+n%[[/b]],0,,近战步兵近战攻击速率 [[b]]%+n%[[/b]],近战攻击速率,近战步兵,,melee infantry,,,False,True
[[b]]%+n%[[/b]] missile block chance,远程格挡概率 [[b]]%+n%[[/b]],0,,远程格挡概率 [[b]]%+n%[[/b]],远程格挡概率,,,,,,False,True
[[b]]%+n%[[/b]] missile range,远程范围 [[b]]%+n%[[/b]],0,,远程范围 [[b]]%+n%[[/b]],远程范围,,,,,,False,True
[[b]]%+n%[[/b]] missile resistance for cavalry,骑兵远程抗性 [[b]]%+n%[[/b]],0,,骑兵远程抗性 [[b]]%+n%[[/b]],远程抗性,骑兵,骑兵,cavalry,,,False,True
[[b]]%+n%[[/b]] missile resistance for cavalry units,骑兵远程抗性 [[b]]%+n%[[/b]],0,,骑兵远程抗性 [[b]]%+n%[[/b]],远程抗性,骑兵,骑兵,cavalry,,,False,True
[[b]]%+n%[[/b]] missile resistance for infantry units,步兵远程抗性 [[b]]%+n%[[/b]],0,,步兵远程抗性 [[b]]%+n%[[/b]],远程抗性,步兵,,infantry,,,False,True
[[b]]%+n%[[/b]] missile resistance for spear units,矛兵远程抗性 [[b]]%+n%[[/b]],0,,矛兵远程抗性 [[b]]%+n%[[/b]],远程抗性,矛兵,,spear,,,False,True
[[b]]%+n%[[/b]] move speed for Buqu units,部曲部队移动速度 [[b]]%+n%[[/b]],0,,部曲部队移动速度 [[b]]%+n%[[/b]],部队移动速度,部曲,,Buqu,,,False,True
[[b]]%+n%[[/b]] move speed for Elite units,精锐部队移动速度 [[b]]%+n%[[/b]],0,,精锐部队移动速度 [[b]]%+n%[[/b]],部队移动速度,精锐,,Elite,,,False,True
[[b]]%+n%[[/b]] ranged block chance for all cavalry,所有骑兵远程格挡概率 [[b]]%+n%[[/b]],0,,所有骑兵远程格挡概率 [[b]]%+n%[[/b]],远程格挡概率,所有骑兵,,all cavalry,,,False,True
[[b]]%+n%[[/b]] ranged block chance for melee infantry,近战步兵远程格挡概率 [[b]]%+n%[[/b]],0,,近战步兵远程格挡概率 [[b]]%+n%[[/b]],远程格挡概率,近战步兵,,melee infantry,,,False,True
[[b]]%+n%[[/b]] ranged block chance for shock cavalry,冲击骑兵远程格挡概率 [[b]]%+n%[[/b]],0,,冲击骑兵远程格挡概率 [[b]]%+n%[[/b]],远程格挡概率,冲击骑兵,,shock cavalry,,,False,True
[[b]]%+n%[[/b]] recruitment cost for Buqu units,部曲部队招募费用 [[b]]%+n%[[/b]],0,,部曲部队招募费用 [[b]]%+n%[[/b]],部队招募费用,部曲,,Buqu,,,False,True
[[b]]%+n%[[/b]] recruitment cost for captain retinues,伯长部曲部队招募费用 [[b]]%+n%[[/b]],0,,伯长部曲部队招募费用 [[b]]%+n%[[/b]],部队招募费用,伯长部曲,,captain retinues,,,False,True
[[b]]%+n%[[/b]] recruitment cost for Elite units,精锐部队招募费用 [[b]]%+n%[[/b]],0,,精锐部队招募费用 [[b]]%+n%[[/b]],部队招募费用,精锐,,Elite,,,False,True
[[b]]%+n%[[/b]] recruitment cost for Nomad units,游牧部队招募费用 [[b]]%+n%[[/b]],0,,游牧部队招募费用 [[b]]%+n%[[/b]],部队招募费用,游牧,,Nomad,,,False,True
[[b]]%+n%[[/b]] recruitment cost for Royal Guard units,禁卫部队招募费用 [[b]]%+n%[[/b]],0,,禁卫部队招募费用 [[b]]%+n%[[/b]],部队招募费用,禁卫,,Royal Guard,,,False,True
[[b]]%+n%[[/b]] recruitment cost for Yue units,山越部队招募费用 [[b]]%+n%[[/b]],0,,山越部队招募费用 [[b]]%+n%[[/b]],部队招募费用,山越,,Yue,,,False,True
[[b]]%+n%[[/b]] redeployment cost,重新部署成本 [[b]]%+n%[[/b]],0,,重新部署成本 [[b]]%+n%[[/b]],重新部署成本,,,,,,False,True
[[b]]%+n%[[/b]] replenishment for black mountain bandit units,黑山匪徒部队补员速率 [[b]]%+n%[[/b]],0,,黑山匪徒部队补员速率 [[b]]%+n%[[/b]],部队补员速率,黑山匪徒,,black mountain bandit,,,False,True
[[b]]%+n%[[/b]] replenishment for Buqu units,部曲部队补员速率 [[b]]%+n%[[/b]],0,,部曲部队补员速率 [[b]]%+n%[[/b]],部队补员速率,部曲,,Buqu,,,False,True
[[b]]%+n%[[/b]] replenishment for cavalry units,骑兵部队补员速率 [[b]]%+n%[[/b]],0,,骑兵部队补员速率 [[b]]%+n%[[/b]],部队补员速率,骑兵,骑兵,cavalry,,,False,True
[[b]]%+n%[[/b]] replenishment for characters,人物部队补员速率 [[b]]%+n%[[/b]],0,,人物部队补员速率 [[b]]%+n%[[/b]],部队补员速率,人物,,characters,,,False,True
[[b]]%+n%[[/b]] replenishment for Danyang units,丹阳部队补员速率 [[b]]%+n%[[/b]],0,,丹阳部队补员速率 [[b]]%+n%[[/b]],部队补员速率,丹阳,,Danyang,,,False,True
[[b]]%+n%[[/b]] replenishment for Elite units,精锐部队补员速率 [[b]]%+n%[[/b]],0,,精锐部队补员速率 [[b]]%+n%[[/b]],部队补员速率,精锐,,Elite,,,False,True
[[b]]%+n%[[/b]] replenishment for Ironfist Cavalry,铁拳骑兵部队补员速率 [[b]]%+n%[[/b]],0,,铁拳骑兵部队补员速率 [[b]]%+n%[[/b]],部队补员速率,铁拳骑兵,,Ironfist Cavalry,,,False,True
[[b]]%+n%[[/b]] replenishment for Jingchu units,荆楚部队补员速率 [[b]]%+n%[[/b]],0,,荆楚部队补员速率 [[b]]%+n%[[/b]],部队补员速率,荆楚,,Jingchu,,,False,True
[[b]]%+n%[[/b]] replenishment for Militia units,民兵部队补员速率 [[b]]%+n%[[/b]],0,,民兵部队补员速率 [[b]]%+n%[[/b]],部队补员速率,民兵,,Militia,,,False,True
[[b]]%+n%[[/b]] replenishment for Nomad units,游牧部队补员速率 [[b]]%+n%[[/b]],0,,游牧部队补员速率 [[b]]%+n%[[/b]],部队补员速率,游牧,,Nomad,,,False,True
[[b]]%+n%[[/b]] replenishment for Royal Guard units,禁卫部队补员速率 [[b]]%+n%[[/b]],0,,禁卫部队补员速率 [[b]]%+n%[[/b]],部队补员速率,禁卫,,Royal Guard,,,False,True
[[b]]%+n%[[/b]] replenishment for the northern army units,北军部队补员速率 [[b]]%+n%[[/b]],0,,北军部队补员速率 [[b]]%+n%[[/b]],部队补员速率,北军,,the northern army,,,False,True
[[b]]%+n%[[/b]] replenishment for Xiliang units,西凉部队补员速率 [[b]]%+n%[[/b]],0,,西凉部队补员速率 [[b]]%+n%[[/b]],部队补员速率,西凉,,Xiliang,,,False,True
[[b]]%+n%[[/b]] replenishment for Yue units,山越部队补员速率 [[b]]%+n%[[/b]],0,,山越部队补员速率 [[b]]%+n%[[/b]],部队补员速率,山越,,Yue,,,False,True
[[b]]%+n%[[/b]] speed for melee cavalry,近战骑兵速度 [[b]]%+n%[[/b]],0,,近战骑兵速度 [[b]]%+n%[[/b]],速度,近战骑兵,,melee cavalry,,,False,True
[[b]]%+n%[[/b]] speed for ranged units,远程速度 [[b]]%+n%[[/b]],0,,远程速度 [[b]]%+n%[[/b]],速度,远程,,ranged,,,False,True
[[b]]%+n%[[/b]] trade influence,贸易影响力 [[b]]%+n%[[/b]],0,,贸易影响力 [[b]]%+n%[[/b]],贸易影响力,,,,,,False,True
[[b]]%+n%[[/b]] upkeep cost for captain retinues,伯长部曲维持费 [[b]]%+n%[[/b]],0,,伯长部曲维持费 [[b]]%+n%[[/b]],维持费,伯长部曲,,captain retinues,,,False,True
[[b]]%+n%[[/b]] upkeep for {{tr:hv_unit_xian_chen_ying}},部队维持费 [[b]]%+n%[[/b]],0,,部队维持费 [[b]]%+n%[[/b]],部队维持费,,,{{tr:hv_unit_xian_chen_ying}},,,False,True
[[b]]%+n%[[/b]] upkeep for black mountain bandit units,黑山匪徒部队维持费 [[b]]%+n%[[/b]],0,,黑山匪徒部队维持费 [[b]]%+n%[[/b]],部队维持费,黑山匪徒,,black mountain bandit,,,False,True
[[b]]%+n%[[/b]] upkeep for Buqu units,部曲部队维持费 [[b]]%+n%[[/b]],0,,部曲部队维持费 [[b]]%+n%[[/b]],部队维持费,部曲,,Buqu,,,False,True
[[b]]%+n%[[/b]] upkeep for Danyang units,丹阳部队维持费 [[b]]%+n%[[/b]],0,,丹阳部队维持费 [[b]]%+n%[[/b]],部队维持费,丹阳,,Danyang,,,False,True
[[b]]%+n%[[/b]] upkeep for Elite units,精锐部队维持费 [[b]]%+n%[[/b]],0,,精锐部队维持费 [[b]]%+n%[[/b]],部队维持费,精锐,,Elite,,,False,True
[[b]]%+n%[[/b]] upkeep for House Servant and Local Noble units,仆从与豪强部队维持费 [[b]]%+n%[[/b]],0,,仆从与豪强部队维持费 [[b]]%+n%[[/b]],部队维持费,仆从与豪强,,House Servant and Local Noble,,,False,True
[[b]]%+n%[[/b]] upkeep for Nomad units,游牧部队维持费 [[b]]%+n%[[/b]],0,,游牧部队维持费 [[b]]%+n%[[/b]],部队维持费,游牧,,Nomad,,,False,True
[[b]]%+n%[[/b]] upkeep for Royal Guard units,禁卫部队维持费 [[b]]%+n%[[/b]],0,,禁卫部队维持费 [[b]]%+n%[[/b]],部队维持费,禁卫,,Royal Guard,,,False,True
[[b]]%+n%[[/b]] upkeep for Yue units,山越部队维持费 [[b]]%+n%[[/b]],0,,山越部队维持费 [[b]]%+n%[[/b]],部队维持费,山越,,Yue,,,False,True
[[b]]%+n%[[/b]] weapon damage for polearm infantry,持戟步兵武器伤害 [[b]]%+n%[[/b]],0,,持戟步兵武器伤害 [[b]]%+n%[[/b]],武器伤害,持戟步兵,,polearm infantry,,,False,True
[[b]]%+n[[/b]] {{tr:public_order}},{{tr:public_order}} [[b]]%+n%[[/b]],0,,{{tr:public_order}} [[b]]%+n%[[/b]],{{tr:public_order}},,,,,,False,True
[[b]]%+n[[/b]] black mountain,黑山 [[b]]%+n[[/b]],0,,黑山 [[b]]%+n[[/b]],黑山,,,,,,False,True
[[b]]%+n[[/b]] charge bonus for {{tr:hv_unit_xian_chen_ying}},冲锋加成 [[b]]%+n[[/b]],0,,冲锋加成 [[b]]%+n[[/b]],冲锋加成,,,{{tr:hv_unit_xian_chen_ying}},,,False,True
[[b]]%+n[[/b]] charge bonus for cavalry,骑兵冲锋加成 [[b]]%+n[[/b]],0,,骑兵冲锋加成 [[b]]%+n[[/b]],冲锋加成,骑兵,骑兵,cavalry,,,False,True
[[b]]%+n[[/b]] charge bonus for Danyang units,丹阳冲锋加成 [[b]]%+n[[/b]],0,,丹阳冲锋加成 [[b]]%+n[[/b]],冲锋加成,丹阳,,Danyang,,,False,True
[[b]]%+n[[/b]] charge bonus for melee cavalry,近战骑兵冲锋加成 [[b]]%+n[[/b]],0,,近战骑兵冲锋加成 [[b]]%+n[[/b]],冲锋加成,近战骑兵,,melee cavalry,,,False,True
[[b]]%+n[[/b]] charge bonus for melee infantry,近战步兵冲锋加成 [[b]]%+n[[/b]],0,,近战步兵冲锋加成 [[b]]%+n[[/b]],冲锋加成,近战步兵,,melee infantry,,,False,True
[[b]]%+n[[/b]] charge bonus for Yue units,山越冲锋加成 [[b]]%+n[[/b]],0,,山越冲锋加成 [[b]]%+n[[/b]],冲锋加成,山越,,Yue,,,False,True
[[b]]%+n[[/b]] charge speed for melee infantry,近战步兵冲锋速度 [[b]]%+n[[/b]],0,,近战步兵冲锋速度 [[b]]%+n[[/b]],冲锋速度,近战步兵,,melee infantry,,,False,True
[[b]]%+n[[/b]] charge speed for shock cavalry,冲击骑兵冲锋速度 [[b]]%+n[[/b]],0,,冲击骑兵冲锋速度 [[b]]%+n[[/b]],冲锋速度,冲击骑兵,,shock cavalry,,,False,True
[[b]]%+n[[/b]] construction time,建造时间 [[b]]%+n[[/b]],0,,建造时间 [[b]]%+n[[/b]],建造时间,,,,,,False,True
[[b]]%+n[[/b]] diplomatic relation with all factions,与所有派系的外交关系 [[b]]%+n[[/b]],0,,与所有派系的外交关系 [[b]]%+n[[/b]],与所有派系的外交关系,,,,,,False,True
[[b]]%+n[[/b]] food distribution,粮食配给 [[b]]%+n[[/b]],0,,粮食配给 [[b]]%+n[[/b]],粮食配给,,,,,,False,True
[[b]]%+n[[/b]] hit bonus,命中率加成 [[b]]%+n[[/b]],0,,命中率加成 [[b]]%+n[[/b]],命中率加成,,,,,,False,True
[[b]]%+n[[/b]] horse breeding,养马 [[b]]%+n[[/b]],0,,养马 [[b]]%+n[[/b]],养马,,,,,,False,True
[[b]]%+n[[/b]] horse breeding per turn,每回合养马 [[b]]%+n[[/b]],0,,每回合养马 [[b]]%+n[[/b]],每回合养马,,,,,,False,True
[[b]]%+n[[/b]] melee evasion,近战闪避 [[b]]%+n[[/b]],0,,近战闪避 [[b]]%+n[[/b]],近战闪避,,,,,,False,True
[[b]]%+n[[/b]] melee evasion for Buqu units,部曲近战闪避 [[b]]%+n[[/b]],0,,部曲近战闪避 [[b]]%+n[[/b]],近战闪避,部曲,,Buqu,,,False,True
[[b]]%+n[[/b]] melee evasion for Militia units,民兵近战闪避 [[b]]%+n[[/b]],0,,民兵近战闪避 [[b]]%+n[[/b]],近战闪避,民兵,,Militia,,,False,True
[[b]]%+n[[/b]] melee evasion for shock cavalry,冲击骑兵近战闪避 [[b]]%+n[[/b]],0,,冲击骑兵近战闪避 [[b]]%+n[[/b]],近战闪避,冲击骑兵,,shock cavalry,,,False,True
[[b]]%+n[[/b]] melee evasion in enemy territory,近战闪避 [[b]]%+n[[/b]],0,,近战闪避 [[b]]%+n[[/b]],近战闪避,,,,,,False,True
[[b]]%+n[[/b]] melee evasion in own territory,近战闪避 [[b]]%+n[[/b]],0,,近战闪避 [[b]]%+n[[/b]],近战闪避,,,,,,False,True
[[b]]%+n[[/b]] melee hit bonus for Buqu units,部曲近战命中率 [[b]]%+n[[/b]],0,,部曲近战命中率 [[b]]%+n[[/b]],近战命中率,部曲,,Buqu,,,False,True
[[b]]%+n[[/b]] military supplies,军事物资补给 [[b]]%+n[[/b]],0,,军事物资补给 [[b]]%+n[[/b]],军事物资补给,,,,,,False,True
[[b]]%+n[[/b]] morale for black mountain bandit units,黑山匪徒部队士气 [[b]]%+n[[/b]],0,,黑山匪徒部队士气 [[b]]%+n[[/b]],部队士气,黑山匪徒,,black mountain bandit,,,False,True
[[b]]%+n[[/b]] morale for Buqu units,部曲部队士气 [[b]]%+n[[/b]],0,,部曲部队士气 [[b]]%+n[[/b]],部队士气,部曲,,Buqu,,,False,True
[[b]]%+n[[/b]] morale for Militia units,民兵部队士气 [[b]]%+n[[/b]],0,,民兵部队士气 [[b]]%+n[[/b]],部队士气,民兵,,Militia,,,False,True
[[b]]%+n[[/b]] morale for Nomad units,游牧部队士气 [[b]]%+n[[/b]],0,,游牧部队士气 [[b]]%+n[[/b]],部队士气,游牧,,Nomad,,,False,True
[[b]]%+n[[/b]] morale for Yue units,山越部队士气 [[b]]%+n[[/b]],0,,山越部队士气 [[b]]%+n[[/b]],部队士气,山越,,Yue,,,False,True
[[b]]%+n[[/b]] reserves ,储备 [[b]]%+n[[/b]],0,,储备 [[b]]%+n[[/b]],储备,,,,,,False,True
[[b]]%+n[[/b]] satisfaction for all characters,所有人物满意度 [[b]]%+n[[/b]],0,,所有人物满意度 [[b]]%+n[[/b]],满意度,所有人物,,all characters,,,False,True
[[b]]%+n[[/b]] starting rank for Buqu units,部曲起始等级 [[b]]%+n[[/b]],0,,部曲起始等级 [[b]]%+n[[/b]],起始等级,部曲,,Buqu,,,False,True
[[b]]%+n[[/b]] starting rank for Elite units,精锐起始等级 [[b]]%+n[[/b]],0,,精锐起始等级 [[b]]%+n[[/b]],起始等级,精锐,,Elite,,,False,True
[[b]]%+n[[/b]] starting rank for Militia units,民兵起始等级 [[b]]%+n[[/b]],0,,民兵起始等级 [[b]]%+n[[/b]],起始等级,民兵,,Militia,,,False,True
[[b]]%+n[[/b]] stratocracy per turn,每回合军政 [[b]]%+n[[/b]],0,,每回合军政 [[b]]%+n[[/b]],每回合军政,,,,,,False,True
[[b]]%+n[[/b]] unity,齐心 [[b]]%+n[[/b]],0,,齐心 [[b]]%+n[[/b]],齐心,,,,,,False,True
[[b]]Administrator[[/b]] is a position within your government. An administrator oversees the local government in a commandery and provides certain bonuses to these lands.,,0,,,,,,,,,False,True
"[[b]]ARMOUR[[/b]]\\n\\n Decreases standard melee, ranged and explosion damages. Doesn't help against armour-piercing damage.",[[b]]护甲[[/b]]\\n\\n减少单位受到的标准近战伤害、远程伤害以及爆炸伤害。无法防御穿甲伤害。,0,[[b]]护甲[[/b]]\\n\\n减少单位受到的标准近战伤害、远程伤害以及爆炸伤害。无法防御穿甲伤害。,,,,,,,,False,True
"[[b]]Bandits[[/b]]\\n[[col:scope_description]]Base army[[/col]]\\n\\n[[col:yellow]]Faction unique units[[/col]]\\n• {{tr:hv_unit_militia_black_mountain_outlaws}}\\n• {{tr:hv_unit_black_mountain_bandits}}\\n• {{tr:hv_unit_black_mountain_bandits_javelineer}}\\n\\n[[col:flavour]][[i]]When China fell into chaos, peasants and deserters fled to the mountains and returned as bandits.[[/col]][[/i]]",,0,,,,,,,,,False,True
"[[b]]Bandits[[/b]]\\n[[col:scope_description]]Base army[[/col]]\\n\\n[[col:yellow]]Faction unique units[[/col]]\\n• {{tr:hv_unit_militia_taishan_outlaws}}\\n• {{tr:hv_unit_taishan_phantoms}}\\n• {{tr:hv_unit_taishan_poison_wind}}\\n\\n[[col:flavour]][[i]]When China fell into chaos, peasants and deserters fled to the mountains and returned as bandits.[[/col]][[/i]]",,0,,,,,,,,,False,True
"[[b]]Bandits[[/b]]\\n[[col:scope_description]]Base army[[/col]]\\n\\n[[col:yellow]]Faction unique units[[/col]]\\n• {{tr:hv_unit_militia_white_tiger_outlaws}}\\n• {{tr:hv_unit_white_tiger_bandits}}\\n• {{tr:hv_unit_white_tiger_warriors}}\\n\\n[[col:flavour]][[i]]When China fell into chaos, peasants and deserters fled to the mountains and returned as bandits.[[/col]][[/i]]",,0,,,,,,,,,False,True
[[b]]Black Mountain[[/b]] is this faction's unique resource.\\n\\n[[i]][[col:flavour]] Black Mountain bandits exploit the chaos to bolster their numbers. [[/col]][[/i]],,0,,,,,,,,,False,True
[[b]]Black Mountain[[/b]] is this faction's unique resource.\\n\\n[[i]][[col:flavour]] Black Mountain bandits exploit the chaos to bolster their numbers. [[/col]][[/i]] \\n\\n [[b]]Opportunistic Alignment[[/b]]is this faction's unique feature.\\n\\n[[i]][[col:flavour]] There is an advantage in diplomatic relations with Yellow Turbans and  Your army will have the opportunity to fight when attacking.[[/col]],,0,,,,,,,,,False,True
[[b]]BONUS VS. CAVALRY[[/b]]\\n\\n Increases melee damage against cavalry.,[[b]]对抗骑兵加成[[/b]]\\n\\n提高对骑兵的近战伤害。,0,[[b]]对抗骑兵加成[[/b]]\\n\\n提高对骑兵的近战伤害。,,,,,,,,False,True
[[b]]BONUS VS. INFANTRY[[/b]]\\n\\n Increases melee damage against infantry.,[[b]]对抗步兵加成[[/b]]\\n\\n提高对步兵的近战伤害。,0,[[b]]对抗步兵加成[[/b]]\\n\\n提高对步兵的近战伤害。,,,,,,,,False,True
[[b]]Buqu[[/b]]\\n[[col:scope_description]]Base army[[/col]]\\n\\n[[col:yellow]]Faction unique units[[/col]]\\n• {{tr:3k_dlc07_unit_earth_tiger_cubs}}\\n • {{tr:hv_unit_tiger_and_leopard_cavalry}}\\n • {{tr:hv_unit_tiger_and_leopard_barded_cavalry}}\\n\\n[[col:flavour]][[i]]A warlord's private army. Well balanced and versatile.[[/col]][[/i]],,0,,,,,,,,,False,True
[[b]]Buqu[[/b]]\\n[[col:scope_description]]Base army[[/col]]\\n\\n[[col:yellow]]Faction unique units[[/col]]\\n• {{tr:3k_dlc07_unit_wood_dongzhoubing_defenders}}\\n• {{tr:3k_dlc07_unit_water_dongzhoubing_marksmen}}\\n\\n[[col:flavour]][[i]]A warlord's private army.Well balanced and versatile.[[/col]][[/i]],,0,,,,,,,,,False,True
[[b]]Buqu[[/b]]\\n[[col:scope_description]]Base army[[/col]]\\n\\n[[col:yellow]]Faction unique units[[/col]]\\n• {{tr:hv_unit_chen_spear_defenders}}\\n• {{tr:hv_unit_chen_crossbow_defenders}}\\n• {{tr:hv_unit_chen_rep_crossbow_defenders}}\\n• {{tr:hv_unit_chen_peacekeepers_halberd_infantry}}\\n• {{tr:hv_unit_chen_peacekeepers_crossbowmen}}\\n• {{tr:hv_unit_chen_royal_guard_cavalry}}\\n\\n[[col:flavour]][[i]]A warlord's private army. Well balanced and versatile.[[/col]][[/i]],,0,,,,,,,,,False,True
[[b]]Buqu[[/b]]\\n[[col:scope_description]]Base army[[/col]]\\n\\n[[col:yellow]]Faction unique units[[/col]]\\n• {{tr:hv_unit_guanxibing_swordsmen}}\\n• {{tr:hv_unit_guanxibing_spearmen}}\\n\\n[[col:flavour]][[i]]A warlord's private army.Well balanced and versatile.[[/col]][[/i]],,0,,,,,,,,,False,True
[[b]]Buqu[[/b]]\\n[[col:scope_description]]Base army[[/col]]\\n\\n[[col:yellow]]Faction unique units[[/col]]\\n• {{tr:hv_unit_jei_fan_infantry}}\\n• {{tr:hv_unit_blue_turban_infantry}}\\n\\n[[col:flavour]][[i]]A warlord's private army. Well balanced and versatile.[[/col]][[/i]],,0,,,,,,,,,False,True
[[b]]Buqu[[/b]]\\n[[col:scope_description]]Base army[[/col]]\\n\\n[[col:yellow]]Faction unique units[[/col]]\\n• {{tr:hv_unit_jianan_hand_ji_infantry}}\\n• {{tr:hv_unit_jianan_archers}}\\n• {{tr:hv_unit_jianan_crossbowmen_cavalry}}\\n• {{tr:hv_unit_jianan_crossbowmen}}\\n• {{tr:hv_unit_jianan_rep_crossbowmen}}\\n[[col:flavour]][[i]]A warlord's private army. Well balanced and versatile.[[/col]][[/i]],,0,,,,,,,,,False,True
