Key,Text,Tooltip,English,Override by key,Mapped by text,Vanilla,Exact,Eng-short,Source,Short Key,File
building_short_description_texts_short_description_hv_subtown_xiongnu_01,短描述,True,xiongnu_01_short_description,,,,短描述,,Exact,building_short_description_texts_short_description_hv_subtown_xiongnu,hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_xiongnu_02,短描述,True,xiongnu_02_short_description,,,,短描述,,Exact,building_short_description_texts_short_description_hv_subtown_xiongnu,hv_TEXT_building.loc
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_xiongnu,匈奴部落,True,Xiongnu Tribe,,,,匈奴部落,,Exact,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display,hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_xiongnu,遊牧民族,True,Nomad,,,,遊牧民族,,Exact,building_ui_groups_onscreen_name_hv_ui_building_group,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_shanyue_00,零散山越區,True,Scattered Shanyue Community,,,,零散山越區,,Exact,building_culture_variants_name_hv_subtown_shanyue,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_shanyue_01,山越部落群,True,Shanyue Tribal Herd,,,,山越部落群,,Exact,building_culture_variants_name_hv_subtown_shanyue,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_shanyue_02,山越部落鎮,True,Shanyue Tribal Town,,,,山越部落鎮,,Exact,building_culture_variants_name_hv_subtown_shanyue,hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_shanyue,山越部落,True,Shanyue Tribe,,,,山越部落,,Exact,building_chains_chain_tooltip_hv_subtown,hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_shanyue,山越部落,True,Shanyue Tribe,,,,山越部落,,Exact,building_chains_encyclopedia_name_hv_subtown,hv_TEXT_building.loc
building_chains_override_description_hv_subtown_shanyue,這些部落不願歸化，但願意提供軍事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",,,,這些部落不願歸化，但願意提供軍事援助。,,Exact,building_chains_override_description_hv_subtown,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_shanyue_01,山越人乃是部落民族，比較不習慣定居在漢人奢侈委靡的城邑中，而習慣在野外紮營度日。雖然這支山地部族並非遊牧民族，但仍較倚重農牧。\\n\\n此族人在紮營地既可自給自足，也能有效準備兵力，應對北方持續加重的入侵威脅。,True,"Being a tribal people, the Shanyue are unused to the urban and decadent cities of the Han and prefer a life in encamped in the wilderness. Although not nomadic, the hill tribes are nevertheless a more pastoral, agricultural peoples. \\n\\n From their camps, they can both tend to their needs as a people and prepare themselves, militarily, for the ever-present and increasing threat of invasion from the North.",,,山越人乃是部落民族，比較不習慣定居在漢人奢侈委靡的城邑中，而習慣在野外紮營度日。雖然這支山地部族並非遊牧民族，但仍較倚重農牧。\\n\\n此族人在紮營地既可自給自足，也能有效準備兵力，應對北方持續加重的入侵威脅。,山越人乃是部落民族，比較不習慣定居在漢人奢侈委靡的城邑中，而習慣在野外紮營度日。雖然這支山地部族並非遊牧民族，但仍較倚重農牧。\\n\\n此族人在紮營地既可自給自足，也能有效準備兵力，應對北方持續加重的入侵威脅。,,Vanilla,building_description_texts_long_description_hv_subtown_shanyue,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_shanyue_02,江南一直都是山越族人的家園，他們也希望今後維持不變。這便是他們生存意義所在的真理，也是在諸侯割據的時代，他們必須奮戰保護的傳統。\\n\\n山越人比誰都瞭解南方的山區，並在這嶙峋之地建起了堡壘城寨；這裡遠離殘酷的風雨、也遠離敵人的監視，是他們生活成長之地。,True,"The Southlands have long been the home of the Shanyue tribes, and it is their ardent hope that it always will be. This is the truth by which they live, and one they must fight to protect as warlords begin to encroach. \\n\\n The Shanyue know the hills of the South better than any, and amidst the striking scenery, their fortresses rise: places to live and grow, away from both the extremities of the elements and the eyes of the enemy.",,,,江南一直都是山越族人的家園，他們也希望今後維持不變。這便是他們生存意義所在的真理，也是在諸侯割據的時代，他們必須奮戰保護的傳統。\\n\\n山越人比誰都瞭解南方的山區，並在這嶙峋之地建起了堡壘城寨；這裡遠離殘酷的風雨、也遠離敵人的監視，是他們生活成長之地。,,Exact,building_description_texts_long_description_hv_subtown_shanyue,hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_shanyue_01,「此處乃我等地盤、我等家園、我等基業。斷不能讓你們奪走！」,True,"This is our land, our home, our history. You cannot have it!",,,「此處乃我等地盤、我等家園、我等基業。斷不能讓你們奪走！」,「此處乃我等地盤、我等家園、我等基業。斷不能讓你們奪走！」,,Vanilla,building_short_description_texts_short_description_hv_subtown_shanyue,hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_shanyue_02,雖然山越人不得不建起柵欄保護自己，但其實他們只想和平度日。,True,"Although their palisade walls are an unfortunate necessity, the Shanyue seek only to live in peace.",,,雖然山越人不得不建起柵欄保護自己，但其實他們只想和平度日。,雖然山越人不得不建起柵欄保護自己，但其實他們只想和平度日。,,Vanilla,building_short_description_texts_short_description_hv_subtown_shanyue,hv_TEXT_building.loc
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_shanyue,山越部落,True,Shanyue Tribe,,,,山越部落,,Exact,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display,hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_shanyue,宗布,True,Zong Bu,,,,宗布,,Exact,building_ui_groups_onscreen_name_hv_ui_building_group,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_garrison_sun_jian_01,地方豪強院,True,Local Noble's Household,,,,地方豪強院,,Exact,building_culture_variants_name_hv_subtown_garrison_sun_jian,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_garrison_sun_jian_02,地方豪強莊,True,Local Noble's Manor,,,,地方豪強莊,,Exact,building_culture_variants_name_hv_subtown_garrison_sun_jian,hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_garrison_sun_jian,[[col:flavour]]地方豪强莊園[[/col]],True,[[col:flavour]]Local Noble's Estate[[/col]],,[[col:flavour]]地方豪强莊園[[/col]],,地方豪強,,Mapped by text,building_chains_chain_tooltip_hv_subtown_garrison_sun,hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_garrison_sun_jian,地方豪强莊園,True,Local Noble's Estate,,地方豪强莊園,,地方豪強,,Mapped by text,building_chains_encyclopedia_name_hv_subtown_garrison_sun,hv_TEXT_building.loc
building_chains_override_description_hv_subtown_garrison_sun_jian,地方豪强的地產。,True,The estates of powerful and wealthy families.,,地方豪强的地產。,,地方豪強建築序列描述,,Mapped by text,building_chains_override_description_hv_subtown_garrison_sun,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_garrison_sun_jian_01,長描述,True,long_description,,,,長描述,,Exact,building_description_texts_long_description_hv_subtown_garrison_sun_jian,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_garrison_sun_jian_02,長描述,True,long_description,,,,長描述,,Exact,building_description_texts_long_description_hv_subtown_garrison_sun_jian,hv_TEXT_building.loc
building_description_texts_short_description_hv_subtown_garrison_sun_jian_01,短描述,True,short_description,,短描述,,短描述,,Mapped by text,building_description_texts_short_description_hv_subtown_garrison_sun_jian,hv_TEXT_building.loc
building_description_texts_short_description_hv_subtown_garrison_sun_jian_02,短描述,True,short_description,,短描述,,短描述,,Mapped by text,building_description_texts_short_description_hv_subtown_garrison_sun_jian,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_garrison_01,巡守衛隊哨站,True,Vigilante Posts,,,,巡守衛隊哨站,,Exact,building_culture_variants_name_hv_subtown_garrison,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_garrison_02,巡守衛隊軍營,True,Vigilante Barracks,,,,巡守衛隊軍營,,Exact,building_culture_variants_name_hv_subtown_garrison,hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_garrison,巡守衛隊,True,Vigilante ,,,,巡守衛隊,,Exact,building_chains_chain_tooltip_hv_subtown,hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_garrison,巡守衛隊,True,Vigilante ,,,,巡守衛隊,,Exact,building_chains_encyclopedia_name_hv_subtown,hv_TEXT_building.loc
building_chains_override_description_hv_subtown_garrison,巡守衛隊在此地域巡邏，騷擾敵軍。,True,Vigilantes patrol the region and harass enemy armies.,,巡守衛隊在此地域巡邏，騷擾敵軍。,,巡守衛隊建築序列描述,,Mapped by text,building_chains_override_description_hv_subtown,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_garrison_01,長描述,True,long_description,,,,長描述,,Exact,building_description_texts_long_description_hv_subtown_garrison,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_garrison_02,長描述,True,long_description,,,,長描述,,Exact,building_description_texts_long_description_hv_subtown_garrison,hv_TEXT_building.loc
building_description_texts_short_description_hv_subtown_garrison_01,短描述,True,short_description,,短描述,,短描述,,Mapped by text,building_description_texts_short_description_hv_subtown_garrison,hv_TEXT_building.loc
building_description_texts_short_description_hv_subtown_garrison_02,短描述,True,short_description,,短描述,,短描述,,Mapped by text,building_description_texts_short_description_hv_subtown_garrison,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_garrison_ytr_01,長描述,True,long_description,,,,長描述,,Exact,building_description_texts_long_description_hv_subtown_garrison_ytr,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_garrison_ytr_02,長描述,True,long_description,,,,長描述,,Exact,building_description_texts_long_description_hv_subtown_garrison_ytr,hv_TEXT_building.loc
building_description_texts_short_description_hv_subtown_garrison_ytr_01,短描述,True,short_description,,短描述,,短描述,,Mapped by text,building_description_texts_short_description_hv_subtown_garrison_ytr,hv_TEXT_building.loc
building_description_texts_short_description_hv_subtown_garrison_ytr_02,短描述,True,short_description,,短描述,,短描述,,Mapped by text,building_description_texts_short_description_hv_subtown_garrison_ytr,hv_TEXT_building.loc
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_subtown,附加建物,True,Attached Building,,,,附加建物,,Exact,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_danyang_01,丹陽部隊軍營,True,Danyang Troop Barrack,,丹陽部隊軍營,,,,Mapped by text,building_culture_variants_name_hv_subtown_danyang,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_danyang_02,丹陽部隊營寨,True,Danyang Troop Encampment,,丹陽部隊營寨,,,,Mapped by text,building_culture_variants_name_hv_subtown_danyang,hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_danyang,丹陽部隊據點,True,Danyang Troop Post,,丹陽部隊據點,,,,Mapped by text,building_chains_chain_tooltip_hv_subtown,hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_danyang,丹陽部隊據點,True,Danyang Troop Post,,丹陽部隊據點,,,,Mapped by text,building_chains_encyclopedia_name_hv_subtown,hv_TEXT_building.loc
building_chains_override_description_hv_subtown_danyang,丹陽人以奮勇著稱。陶謙整備軍隊，訓練有素。,True,The people of Danyang have a reputation for bravery. Tao Qian has turned them into a well-trained army.,,丹陽人以奮勇著稱。陶謙整備軍隊，訓練有素。,,,,Mapped by text,building_chains_override_description_hv_subtown,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_danyang_01,long_description,True,long_description,,,,,,Missing,building_description_texts_long_description_hv_subtown_danyang,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_danyang_02,long_description,True,long_description,,,,,,Missing,building_description_texts_long_description_hv_subtown_danyang,hv_TEXT_building.loc
building_description_texts_short_description_hv_subtown_danyang_01,短描述,True,short_description,,短描述,,,,Mapped by text,building_description_texts_short_description_hv_subtown_danyang,hv_TEXT_building.loc
building_description_texts_short_description_hv_subtown_danyang_02,短描述,True,short_description,,短描述,,,,Mapped by text,building_description_texts_short_description_hv_subtown_danyang,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_confucius_01,孔子學院,True,Confucius Institute,,孔子學院,,,,Mapped by text,building_culture_variants_name_hv_subtown_confucius,hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_confucius,孔子學院,True,Confucius Institute,,孔子學院,,,,Mapped by text,building_chains_chain_tooltip_hv_subtown,hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_confucius,孔子學院,True,Confucius Institute,,孔子學院,,,,Mapped by text,building_chains_encyclopedia_name_hv_subtown,hv_TEXT_building.loc
building_chains_override_description_hv_subtown_confucius,賢師高徒匯聚之所。,True,A place where great teachers and passionate students gather.,,賢師高徒匯聚之所。,,,,Mapped by text,building_chains_override_description_hv_subtown,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_confucius_01,long_description,True,long_description,,,,,,Missing,building_description_texts_long_description_hv_subtown_confucius,hv_TEXT_building.loc
building_description_texts_short_description_hv_subtown_confucius_01,短描述,True,short_description,,短描述,,,,Mapped by text,building_description_texts_short_description_hv_subtown_confucius,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_small_farm_01,儲備站,True,Stockpile Storage ,,儲備站,,,,Mapped by text,building_culture_variants_name_hv_subtown_small_farm,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_small_farm_02,倉庫,True,Warehouse,,,倉庫,,,Vanilla,building_culture_variants_name_hv_subtown_small_farm,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_small_farm_03,大型倉庫,True,Large Warehouse,,大型倉庫,,,,Mapped by text,building_culture_variants_name_hv_subtown_small_farm,hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_han_small_farm,補給管理,True,Supply Management,,補給管理,,,,Mapped by text,building_chains_chain_tooltip_hv_subtown_han_small,hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_han_small_farm,補給管理,True,Supply Management,,補給管理,,,,Mapped by text,building_chains_encyclopedia_name_hv_subtown_han_small,hv_TEXT_building.loc
building_chains_override_description_hv_subtown_han_small_farm,完善管理本地貨物，回收廢棄物品。,True,Manage local products more thoroughly and convert wasted materials into stockpiles.,,完善管理本地貨物，回收廢棄物品。,,,,Mapped by text,building_chains_override_description_hv_subtown_han_small,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_han_small_farm_01,long_description,True,long_description,,,,,,Missing,building_description_texts_long_description_hv_subtown_han_small_farm,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_han_small_farm_02,long_description,True,long_description,,,,,,Missing,building_description_texts_long_description_hv_subtown_han_small_farm,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_han_small_farm_03,long_description,True,long_description,,,,,,Missing,building_description_texts_long_description_hv_subtown_han_small_farm,hv_TEXT_building.loc
building_description_texts_short_description_hv_subtown_han_small_farm_01,短描述,True,short_description,,短描述,,,,Mapped by text,building_description_texts_short_description_hv_subtown_han_small_farm,hv_TEXT_building.loc
building_description_texts_short_description_hv_subtown_han_small_farm_02,短描述,True,short_description,,短描述,,,,Mapped by text,building_description_texts_short_description_hv_subtown_han_small_farm,hv_TEXT_building.loc
building_description_texts_short_description_hv_subtown_han_small_farm_03,短描述,True,short_description,,短描述,,,,Mapped by text,building_description_texts_short_description_hv_subtown_han_small_farm,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_nanman_shikar_01,狩獵區,True,Hunting Area,,狩獵區,,,,Mapped by text,building_culture_variants_name_hv_subtown_nanman_shikar,hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_nanman,狩獵區,True,Hunting Area,,狩獵區,,,,Mapped by text,building_chains_chain_tooltip_hv_subtown,hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_nanman,狩獵區,True,Hunting Area,,狩獵區,,,,Mapped by text,building_chains_encyclopedia_name_hv_subtown,hv_TEXT_building.loc
building_chains_override_description_hv_subtown_nanman,部落獵人可爲我們提供額外的食物。,True,Tribal hunters can provide us with additional food.,,部落獵人可爲我們提供額外的食物。,,,,Mapped by text,building_chains_override_description_hv_subtown,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_nanman_shikar_01,long_description,True,long_description,,,,,,Missing,building_description_texts_long_description_hv_subtown_nanman_shikar,hv_TEXT_building.loc
building_description_texts_short_description_hv_subtown_nanman_shikar_01,短描述,True,short_description,,短描述,,,,Mapped by text,building_description_texts_short_description_hv_subtown_nanman_shikar,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_nanman_outpost_01,南蠻交易所,True,Nanman-Han Trading Post,,南蠻交易所,,,,Mapped by text,building_culture_variants_name_hv_subtown_nanman_outpost,hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_nanman_outpost,南蠻交易所,True,Nanman-Han Trading Post,,南蠻交易所,,,,Mapped by text,building_chains_chain_tooltip_hv_subtown_nanman,hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_nanman_outpost,南蠻交易所,True,Nanman-Han Trading Post,,南蠻交易所,,,,Mapped by text,building_chains_encyclopedia_name_hv_subtown_nanman,hv_TEXT_building.loc
building_chains_override_description_hv_subtown_nanman_outpost,與土著交易之處。,True,A place to trade with the natives.,,與土著交易之處。,,,,Mapped by text,building_chains_override_description_hv_subtown_nanman,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_nanman_outpost_01,long_description,True,long_description,,,,,,Missing,building_description_texts_long_description_hv_subtown_nanman_outpost,hv_TEXT_building.loc
building_description_texts_short_description_hv_subtown_nanman_outpost_01,短描述,True,short_description,,短描述,,,,Mapped by text,building_description_texts_short_description_hv_subtown_nanman_outpost,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_yellow_turban_synad_01,黃巾旅站,False,Yellow Turban Lodge,,黃巾旅站,,,,Mapped by text,building_culture_variants_name_hv_subtown_yellow_turban_synad,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_yellow_turban_synad_02,黃巾朝堂,False,Yellow Turban Hall,,黃巾朝堂,,,,Mapped by text,building_culture_variants_name_hv_subtown_yellow_turban_synad,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_yellow_turban_synad_03,黃巾教殿,False,Yellow Turban Synod,,黃巾教殿,,,,Mapped by text,building_culture_variants_name_hv_subtown_yellow_turban_synad,hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_ytr,黃巾教派,False,Yellow Turban Cult,,黃巾教派,,,,Mapped by text,building_chains_chain_tooltip_hv_subtown,hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_ytr,黃巾教派,False,Yellow Turban Cult,,黃巾教派,,,,Mapped by text,building_chains_encyclopedia_name_hv_subtown,hv_TEXT_building.loc
building_chains_override_description_hv_subtown_ytr,新旅程開始之際，每個人都必須學習新的方法。,False,At the beginning of a new journey all must learn the new way.,,,新旅程開始之際，每個人都必須學習新的方法。,,,Vanilla,building_chains_override_description_hv_subtown,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_yellow_turban_synad_01,long_description,False,long_description,,,,,,Missing,building_description_texts_long_description_hv_subtown_yellow_turban_synad,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_yellow_turban_synad_02,long_description,False,long_description,,,,,,Missing,building_description_texts_long_description_hv_subtown_yellow_turban_synad,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_yellow_turban_synad_03,long_description,False,long_description,,,,,,Missing,building_description_texts_long_description_hv_subtown_yellow_turban_synad,hv_TEXT_building.loc
