Text,Count,MappedByText,MappedByPattern,File
Ability: A Storm of Swords,2,,技能：劍刃風暴,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Adamant Resolve,1,,技能：堅定不移,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Analyse Weakness,1,,技能：分析弱點,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Angry Scolding,1,,技能：懿旨,[03]__MTU_skills__Active_debuff.loc.tsv
Ability: Anti-Cavalry Tactics,3,,技能：反騎兵戰術,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Assemble,2,,技能：集結,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Avenge,1,,技能：逐北,[03]__MTU_skills___Splash_attack.loc.tsv
Ability: Battle Stance,1,,技能：厲兵,[03]__MTU_skills__Active_buff.loc.tsv
Ability: Binding Fury,1,,技能：怒不可抑,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Blade Breaker,1,,技能：堅甲破刃,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Blade Mastery,1,,技能：劍術專精,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Blazing Roar,1,,技能：燃燒之吼,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Blazing Saddles,1,,技能：炙熱馬鞍,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Blood Rush,1,,技能：虎翼,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Bloody Fury,1,,技能：鮮血之怒,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Blooming Beauty,2,,技能：芳香,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Blossoming Beauty,1,,技能：天仙,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Brawl,1,,技能：毆打,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Brawn of Yangan,1,,技能：鬥牛,[03]__MTU_skills___Splash_attack.loc.tsv
Ability: Brute Power,1,,技能：蠻力,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Bullheaded Wrath,1,,技能：浴血,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Burning Soul,1,,技能：燃燒元神,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Cautious Approach,1,,技能：匿形,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Champion of Xiliang,1,,技能：斷蛟,[03]__MTU_skills___Splash_attack.loc.tsv
Ability: Charge Forward,1,,技能：馬首,[03]__MTU_skills__Active_buff.loc.tsv
Ability: Coffin March,1,,技能：死戰,[03]__MTU_skills__Active_buff.loc.tsv
Ability: Commanding Shout,2,,技能：號令吶喊,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Condemn,1,,技能：譴責,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Condemned Howl,1,,技能：天譴之嘯,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Courage of Eastern Wu,1,,技能：東吳之勇,hv_TEXT_skills_skill_ability_wu_brave.loc.tsv
Ability: Coward,2,,技能：懦夫,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Crippling Strike,1,,技能：摧心,[03]__MTU_skills___Projectile.loc.tsv
Ability: Crossing of the River Sanzu,1,,技能：黃泉之路,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Cruel Command,2,,技能：強令,[03]__MTU_skills__Active_buff.loc.tsv
Ability: Cry of the Forest,1,,技能：森林戰嚎,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Death Oath,1,,技能：破甑,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Deft Touch,1,,技能：龍韜,[03]__MTU_skills__Active_buff.loc.tsv
Ability: Desperate Cry,1,,技能：慘烈呼喊,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Devastating Roar,1,,技能：毀滅之吼,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Die Hard,2,,技能：砥柱,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Disorientate,1,,技能：打亂方向,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Distant Courage,1,,技能：千里助勢,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Distrust of Power,1,,技能：藏刀,[03]__MTU_skills__Active_buff.loc.tsv
Ability: Disturb,1,,技能：攪擾,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Dong Zhuo's Command,1,,技能：相令,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Double Sword Dance\\n,1,,,[03]__MTU_skills___Splash_attack.loc.tsv
Ability: Earth-shattering Strike,1,,技能：天崩地裂,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Earthen Rampart,1,,技能：大地堡壘,hv_TEXT_skills_skill_ability__historical.loc.tsv
Ability: Element of Surprise,1,,技能：奇襲,[03]__MTU_skills__Active_debuff.loc.tsv
Ability: Elemental Vigour,1,,技能：五行之力,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Encouragement,2,,技能：金鼓,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Eviscerate,1,,技能：剔骨,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Exemplar,1,,技能：為人典範,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Exemplary Strike,1,,技能：搗穴,[03]__MTU_skills___Splash_attack.loc.tsv
Ability: False Retreat,1,,技能：血鬥,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Fanged Flurry,1,,技能：猛蛇,[03]__MTU_skills___Splash_attack.loc.tsv
Ability: Fatal Attraction,1,,技能：嫵媚,[03]__MTU_skills__Active_debuff.loc.tsv
Ability: Favourable Skies,1,,技能：有利天候,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Fire Control,2,,技能：穿楊,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Fist of the Righteous,1,,技能：正氣,[03]__MTU_skills___Splash_attack.loc.tsv
Ability: Flame Breathing,1,,技能：吐火,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Flames of the Phoenix,2,,技能：鳳凰之火,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Fleet-footed,3,,技能：腳步迅捷,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Flower of the Battlefield,1,,技能：戰場之花,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Flower on the Battlefield,1,,技能：龍女,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Forced March,1,,技能：興師,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Foresight,1,,技能：縱觀全局,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Forest Strider,1,,技能：森林適性,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Foul Wits,1,,技能：遠矚,[03]__MTU_skills__Passive_debuff.loc.tsv
Ability: Frenzy,1,,技能：狂暴,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: From the Ashes,1,,技能：死灰復燃,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Frontline Observation,1,,技能：前線查探,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Ghost of the woods,1,,技能：林中之鬼,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: God of War,1,,技能：武聖,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Guardian,1,,技能：衛足,[03]__MTU_skills__Active_buff.loc.tsv
Ability: Hail of Arrows,1,,技能：箭如雨下,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Hamstring,1,,技能：削斷腿筋,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Heart Seeker,1,,技能：一箭穿心,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Heavenly Grace,1,,技能：天仙氣質,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Hope of Nam Viet,1,,技能：民意,[03]__MTU_skills__Active_buff.loc.tsv
Ability: Imperious_presence,1,,,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Impetuous Charge,1,,技能：狂暴衝鋒,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Indiscriminate Charge,1,,技能：困獸,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Indomitable Warrior,1,,技能：無畏之士,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Inner Fire,1,,技能：心中真火,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Inner Vitality,2,,技能：内在活力,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Inspiring Surge,1,,技能：戰意澎湃,hv_TEXT_skills_skill_ability__historical.loc.tsv
Ability: Inspiring Words,1,,技能：慷慨陳詞,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Internal Blaze,1,,技能：心中烈火,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Into the Breach,3,,技能：乘隙而入,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Inward Focus,1,,技能：專注內在,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Judgement,1,,技能：明察秋毫,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Kingmaker,1,,技能：王佐,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Knowledge of the Body,1,,技能：身之識見,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Knowledge of the Mind,1,,技能：心之識見,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Knowledge of the Spirit,1,,技能：靈之識見,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Lament,1,,技能：慟哭,[03]__MTU_skills__Active_buff.loc.tsv
Ability: Last Stand,1,,技能：熊羆,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Lucky Pearl,1,,技能：松柏,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Make Calm Down,1,,技能：鎮靜,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Mark Target,1,,技能：瞄定,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Marksman of Taiyuan,1,,技能：神射,[03]__MTU_skills___Projectile.loc.tsv
Ability: Martial Prodigy,1,,技能：異稟,[03]__MTU_skills__Active_buff.loc.tsv
Ability: Mercy of the Forest,1,,技能：瓊林,[03]__MTU_skills__Active_buff.loc.tsv
Ability: Mettlesome Advance,1,,技能：突飛猛進,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Mortal Strike,1,,技能：致命一擊,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Mountains,1,,技能：山陣,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Nature's Ally,3,,技能：自然之友,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Oil Pot,1,,技能：油罐,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: One with Heaven,2,,技能：與天合一,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: One with the Land,2,,技能：與地合一,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: One with the People,2,,技能：與人合一,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Order of the Tyrant\\n,1,,,[03]__MTU_skills__Active_buff.loc.tsv
Ability: Overwhelmming,1,,技能：壓倒之勢,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Perpetual Devotion,1,,技能：背水,[03]__MTU_skills__Active_buff.loc.tsv
Ability: Persistent Attack,1,,技能：不衰,[03]__MTU_skills___Splash_attack.loc.tsv
Ability: Personal Bodyguard,1,,技能：保帥,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Poison-wind,1,,技能：毒風,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Poisoned Blade,1,,技能：淬毒刀刃,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Poisoned Chalice,1,,技能：分坐,[03]__MTU_skills___Projectile.loc.tsv
Ability: Preach,1,,技能：講道,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Provocation,1,,技能：挑釁,[03]__MTU_skills__Active_debuff.loc.tsv
Ability: Pursuit,1,,技能：餓虎,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Quick Preparation,1,,技能：旋踵,[03]__MTU_skills__Passive_buff.loc.tsv
Ability: Quickfire,1,,技能：連珠砲,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Rage of Lü Bu,1,,,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Rage of Lü Ji,1,,,[03]__MTU_skills___Splash_attack.loc.tsv
Ability: Rain of Fire,1,,技能：飛蝗,[03]__MTU_skills___Projectile.loc.tsv
Ability: Reckless Strike,1,,技能：蠻橫猛擊,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Reign of Terror,1,,技能：恐怖統治,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Resolve of the Righteous,1,,技能：大義凜然,hv_TEXT_skills_skill_enable_effect.loc.tsv
Ability: Restore,1,,技能：回復,hv_TEXT_skills_skill_enable_effect.loc.tsv
