,Short Key,Key,Text,Tooltip,File
76,,building_description_texts_short_description_hv_subtown_garrison_ytr_01,short_description,True,text/_hvo/hv_TEXT_building.loc
77,,building_description_texts_short_description_hv_subtown_garrison_ytr_02,short_description,True,text/_hvo/hv_TEXT_building.loc
78,,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_subtown,Attached Building,True,text/_hvo/hv_TEXT_building.loc
79,,building_culture_variants_name_hv_subtown_danyang_01,Danyang Troop Barrack,True,text/_hvo/hv_TEXT_building.loc
80,,building_culture_variants_name_hv_subtown_danyang_02,Danyang Troop Encampment,True,text/_hvo/hv_TEXT_building.loc
81,,building_chains_chain_tooltip_hv_subtown_danyang,Danyang Troop Post,True,text/_hvo/hv_TEXT_building.loc
82,,building_chains_encyclopedia_name_hv_subtown_danyang,Danyang Troop Post,True,text/_hvo/hv_TEXT_building.loc
83,,building_chains_override_description_hv_subtown_danyang,The people of Danyang have a reputation for bravery. Tao Qian has turned them into a well-trained army.,True,text/_hvo/hv_TEXT_building.loc
84,,building_description_texts_long_description_hv_subtown_danyang_01,long_description,True,text/_hvo/hv_TEXT_building.loc
85,,building_description_texts_long_description_hv_subtown_danyang_02,long_description,True,text/_hvo/hv_TEXT_building.loc
86,,building_description_texts_short_description_hv_subtown_danyang_01,short_description,True,text/_hvo/hv_TEXT_building.loc
87,,building_description_texts_short_description_hv_subtown_danyang_02,short_description,True,text/_hvo/hv_TEXT_building.loc
88,,building_culture_variants_name_hv_subtown_confucius_01,Confucius Institute,True,text/_hvo/hv_TEXT_building.loc
89,,building_chains_chain_tooltip_hv_subtown_confucius,Confucius Institute,True,text/_hvo/hv_TEXT_building.loc
90,,building_chains_encyclopedia_name_hv_subtown_confucius,Confucius Institute,True,text/_hvo/hv_TEXT_building.loc
91,,building_chains_override_description_hv_subtown_confucius,A place where great teachers and passionate students gather.,True,text/_hvo/hv_TEXT_building.loc
92,,building_description_texts_long_description_hv_subtown_confucius_01,long_description,True,text/_hvo/hv_TEXT_building.loc
93,,building_description_texts_short_description_hv_subtown_confucius_01,short_description,True,text/_hvo/hv_TEXT_building.loc
94,,building_culture_variants_name_hv_subtown_small_farm_01,Stockpile Storage ,True,text/_hvo/hv_TEXT_building.loc
95,,building_culture_variants_name_hv_subtown_small_farm_02,Warehouse,True,text/_hvo/hv_TEXT_building.loc
96,,building_culture_variants_name_hv_subtown_small_farm_03,Large Warehouse,True,text/_hvo/hv_TEXT_building.loc
97,,building_chains_chain_tooltip_hv_subtown_han_small_farm,Supply Management,True,text/_hvo/hv_TEXT_building.loc
98,,building_chains_encyclopedia_name_hv_subtown_han_small_farm,Supply Management,True,text/_hvo/hv_TEXT_building.loc
99,,building_chains_override_description_hv_subtown_han_small_farm,Manage local products more thoroughly and convert wasted materials into stockpiles.,True,text/_hvo/hv_TEXT_building.loc
100,,building_description_texts_long_description_hv_subtown_han_small_farm_01,long_description,True,text/_hvo/hv_TEXT_building.loc
101,,building_description_texts_long_description_hv_subtown_han_small_farm_02,long_description,True,text/_hvo/hv_TEXT_building.loc
102,,building_description_texts_long_description_hv_subtown_han_small_farm_03,long_description,True,text/_hvo/hv_TEXT_building.loc
103,,building_description_texts_short_description_hv_subtown_han_small_farm_01,short_description,True,text/_hvo/hv_TEXT_building.loc
104,,building_description_texts_short_description_hv_subtown_han_small_farm_02,short_description,True,text/_hvo/hv_TEXT_building.loc
105,,building_description_texts_short_description_hv_subtown_han_small_farm_03,short_description,True,text/_hvo/hv_TEXT_building.loc
106,,building_culture_variants_name_hv_subtown_nanman_shikar_01,Hunting Area,True,text/_hvo/hv_TEXT_building.loc
107,,building_chains_chain_tooltip_hv_subtown_nanman,Hunting Area,True,text/_hvo/hv_TEXT_building.loc
108,,building_chains_encyclopedia_name_hv_subtown_nanman,Hunting Area,True,text/_hvo/hv_TEXT_building.loc
109,,building_chains_override_description_hv_subtown_nanman,Tribal hunters can provide us with additional food.,True,text/_hvo/hv_TEXT_building.loc
110,,building_description_texts_long_description_hv_subtown_nanman_shikar_01,long_description,True,text/_hvo/hv_TEXT_building.loc
111,,building_description_texts_short_description_hv_subtown_nanman_shikar_01,short_description,True,text/_hvo/hv_TEXT_building.loc
112,,building_culture_variants_name_hv_subtown_nanman_outpost_01,Nanman-Han Trading Post,True,text/_hvo/hv_TEXT_building.loc
113,,building_chains_chain_tooltip_hv_subtown_nanman_outpost,Nanman-Han Trading Post,True,text/_hvo/hv_TEXT_building.loc
114,,building_chains_encyclopedia_name_hv_subtown_nanman_outpost,Nanman-Han Trading Post,True,text/_hvo/hv_TEXT_building.loc
115,,building_chains_override_description_hv_subtown_nanman_outpost,A place to trade with the natives.,True,text/_hvo/hv_TEXT_building.loc
116,,building_description_texts_long_description_hv_subtown_nanman_outpost_01,long_description,True,text/_hvo/hv_TEXT_building.loc
117,,building_description_texts_short_description_hv_subtown_nanman_outpost_01,short_description,True,text/_hvo/hv_TEXT_building.loc
118,,building_culture_variants_name_hv_subtown_yellow_turban_synad_01,Yellow Turban Lodge,False,text/_hvo/hv_TEXT_building.loc
119,,building_culture_variants_name_hv_subtown_yellow_turban_synad_02,Yellow Turban Hall,False,text/_hvo/hv_TEXT_building.loc
120,,building_culture_variants_name_hv_subtown_yellow_turban_synad_03,Yellow Turban Synod,False,text/_hvo/hv_TEXT_building.loc
121,,building_chains_chain_tooltip_hv_subtown_ytr,Yellow Turban Cult,False,text/_hvo/hv_TEXT_building.loc
122,,building_chains_encyclopedia_name_hv_subtown_ytr,Yellow Turban Cult,False,text/_hvo/hv_TEXT_building.loc
123,,building_chains_override_description_hv_subtown_ytr,At the beginning of a new journey all must learn the new way.,False,text/_hvo/hv_TEXT_building.loc
124,,building_description_texts_long_description_hv_subtown_yellow_turban_synad_01,long_description,False,text/_hvo/hv_TEXT_building.loc
125,,building_description_texts_long_description_hv_subtown_yellow_turban_synad_02,long_description,False,text/_hvo/hv_TEXT_building.loc
126,,building_description_texts_long_description_hv_subtown_yellow_turban_synad_03,long_description,False,text/_hvo/hv_TEXT_building.loc
127,,building_short_description_texts_short_description_hv_subtown_yellow_turban_synad_01,short_description,False,text/_hvo/hv_TEXT_building.loc
128,,building_short_description_texts_short_description_hv_subtown_yellow_turban_synad_02,short_description,False,text/_hvo/hv_TEXT_building.loc
129,,building_short_description_texts_short_description_hv_subtown_yellow_turban_synad_03,short_description,False,text/_hvo/hv_TEXT_building.loc
130,,custom_battle_loadouts_name_3k_main_custom_battle_loadout_test,DEBUG GUY,False,text/_hvo/hv_TEXT_cb_loadout.loc
131,,custom_battle_loadouts_name_hv_cb_loadout_liu_bei_01,Liu Bei,False,text/_hvo/hv_TEXT_cb_loadout.loc
132,,custom_battle_loadouts_name_hv_cb_loadout_liu_bei_02,King of Shu,False,text/_hvo/hv_TEXT_cb_loadout.loc
133,,custom_battle_loadouts_name_hv_cb_loadout_zheng_jiang_01,Zheng Jiang,False,text/_hvo/hv_TEXT_cb_loadout.loc
134,,custom_battle_loadouts_name_hv_cb_loadout_zheng_jiang_02,Bandit Queen,False,text/_hvo/hv_TEXT_cb_loadout.loc
135,,custom_battle_loadouts_name_hv_cb_loadout_he_yi_01,He Yi,False,text/_hvo/hv_TEXT_cb_loadout.loc
136,,custom_battle_loadouts_name_hv_cb_loadout_he_yi_02,The Yellow Warlord,False,text/_hvo/hv_TEXT_cb_loadout.loc
137,,custom_battle_loadouts_name_hv_cb_loadout_zhuge_liang_01,Zhuge Liang,False,text/_hvo/hv_TEXT_cb_loadout.loc
138,,custom_battle_loadouts_name_hv_cb_loadout_guan_yu_01,Guan Yu,False,text/_hvo/hv_TEXT_cb_loadout.loc
139,,custom_battle_loadouts_name_hv_cb_loadout_zhang_fei_01,Zhang Fei,False,text/_hvo/hv_TEXT_cb_loadout.loc
140,,custom_battle_loadouts_name_hv_cb_loadout_zhao_yun_01,Zhao Yun,False,text/_hvo/hv_TEXT_cb_loadout.loc
141,,custom_battle_loadouts_name_hv_cb_loadout_cao_cao_01,Cao Cao,False,text/_hvo/hv_TEXT_cb_loadout.loc
142,,custom_battle_loadouts_name_hv_cb_loadout_cao_cao_02,King of Wei,False,text/_hvo/hv_TEXT_cb_loadout.loc
143,,custom_battle_loadouts_name_hv_cb_loadout_lu_zheng_01,Lu Zheng,False,text/_hvo/hv_TEXT_cb_loadout.loc
144,,custom_battle_loadouts_name_hv_cb_loadout_zhang_yan_01,Zhang Yan,False,text/_hvo/hv_TEXT_cb_loadout.loc
145,,custom_battle_loadouts_name_hv_cb_loadout_zhang_yan_02,King of the Black Mountain,False,text/_hvo/hv_TEXT_cb_loadout.loc
146,,custom_battle_loadouts_name_hv_cb_loadout_yan_baihu_01,Yan Baihu,False,text/_hvo/hv_TEXT_cb_loadout.loc
147,,custom_battle_loadouts_name_hv_cb_loadout_yan_baihu_02,The White Tiger,False,text/_hvo/hv_TEXT_cb_loadout.loc
148,,custom_battle_loadouts_name_hv_cb_loadout_yan_yu_01,Yan Yu,False,text/_hvo/hv_TEXT_cb_loadout.loc
149,,custom_battle_loadouts_name_hv_cb_loadout_qu_gong_01,Qu Gong,False,text/_hvo/hv_TEXT_cb_loadout.loc
150,,custom_battle_loadouts_name_hv_cb_loadout_sun_ce_01,Sun Ce,False,text/_hvo/hv_TEXT_cb_loadout.loc
151,,custom_battle_loadouts_name_hv_cb_loadout_sun_ce_02,Little Conqueror,False,text/_hvo/hv_TEXT_cb_loadout.loc
152,,custom_battle_loadouts_name_hv_cb_loadout_lu_bu_01,Lu Bu,False,text/_hvo/hv_TEXT_cb_loadout.loc
153,,custom_battle_loadouts_name_hv_cb_loadout_lu_bu_02,Warrior Without Equal,False,text/_hvo/hv_TEXT_cb_loadout.loc
154,,custom_battle_loadouts_name_hv_cb_loadout_dong_zhuo_01,Dong Zhuo,False,text/_hvo/hv_TEXT_cb_loadout.loc
155,,custom_battle_loadouts_name_hv_cb_loadout_dong_zhuo_02,Tyrant,False,text/_hvo/hv_TEXT_cb_loadout.loc
156,,custom_battle_loadouts_name_hv_cb_loadout_gan_ning_01,Gan Ning,False,text/_hvo/hv_TEXT_cb_loadout.loc
157,,custom_battle_loadouts_name_hv_cb_loadout_king_duosi_01,King Duosi,False,text/_hvo/hv_TEXT_cb_loadout.loc
158,,custom_battle_loadouts_name_hv_cb_loadout_king_duosi_02,King Duosi [[img:unit_elephant]][[/img]],False,text/_hvo/hv_TEXT_cb_loadout.loc
159,,custom_battle_loadouts_name_hv_cb_loadout_king_meng_huo_01,King Meng Huo,False,text/_hvo/hv_TEXT_cb_loadout.loc
160,,custom_battle_loadouts_name_hv_cb_loadout_king_meng_huo_02,King Meng Huo [[img:unit_elephant]][[/img]],False,text/_hvo/hv_TEXT_cb_loadout.loc
161,,custom_battle_loadouts_name_hv_cb_loadout_king_mulu_01,King Mulu,False,text/_hvo/hv_TEXT_cb_loadout.loc
162,,custom_battle_loadouts_name_hv_cb_loadout_king_mulu_02,King Mulu [[img:unit_elephant]][[/img]],False,text/_hvo/hv_TEXT_cb_loadout.loc
163,,custom_battle_loadouts_name_hv_cb_loadout_king_shamoke_01,King Shamoke,False,text/_hvo/hv_TEXT_cb_loadout.loc
164,,custom_battle_loadouts_name_hv_cb_loadout_king_shamoke_02,King Shamoke [[img:unit_elephant]][[/img]],False,text/_hvo/hv_TEXT_cb_loadout.loc
165,,custom_battle_loadouts_name_hv_cb_loadout_king_wutugu_01,King Wutugu,False,text/_hvo/hv_TEXT_cb_loadout.loc
166,,custom_battle_loadouts_name_hv_cb_loadout_king_wutugu_02,King Wutugu [[img:unit_elephant]][[/img]],False,text/_hvo/hv_TEXT_cb_loadout.loc
167,,custom_battle_loadouts_name_hv_cb_loadout_lady_zhurong_01,Lady Zhurong,False,text/_hvo/hv_TEXT_cb_loadout.loc
168,,custom_battle_loadouts_name_hv_cb_loadout_lady_zhurong_02,Lady Zhurong [[img:unit_elephant]][[/img]],False,text/_hvo/hv_TEXT_cb_loadout.loc
169,,custom_battle_loadouts_name_hv_cb_loadout_sima_yi_01,Sima Yi,False,text/_hvo/hv_TEXT_cb_loadout.loc
170,,custom_battle_loadouts_name_hv_cb_loadout_tao_qian_01,Tao Qian,False,text/_hvo/hv_TEXT_cb_loadout.loc
171,,custom_battle_loadouts_name_hv_cb_loadout_tao_qian_02,Governor,False,text/_hvo/hv_TEXT_cb_loadout.loc
172,,custom_battle_loadouts_name_hv_cb_loadout_guo_jia_01,Guo Jia,False,text/_hvo/hv_TEXT_cb_loadout.loc
173,,custom_battle_loadouts_name_hv_cb_loadout_jia_xu_01,Jia Xu,False,text/_hvo/hv_TEXT_cb_loadout.loc
174,,custom_battle_loadouts_name_hv_cb_loadout_li_ru_01,Li Ru,False,text/_hvo/hv_TEXT_cb_loadout.loc
175,,custom_battle_loadouts_name_hv_cb_loadout_liu_chong_01,Liu Chong,False,text/_hvo/hv_TEXT_cb_loadout.loc
176,,custom_battle_loadouts_name_hv_cb_loadout_liu_chong_02,King of Chen,False,text/_hvo/hv_TEXT_cb_loadout.loc
177,,custom_battle_loadouts_name_hv_cb_loadout_xun_you_01,Xun You,False,text/_hvo/hv_TEXT_cb_loadout.loc
178,,custom_battle_loadouts_name_hv_cb_loadout_xun_yu_01,Xun Yu,False,text/_hvo/hv_TEXT_cb_loadout.loc
179,,custom_battle_loadouts_name_hv_cb_loadout_zhou_yu_01,Zhou Yu,False,text/_hvo/hv_TEXT_cb_loadout.loc
180,,custom_battle_loadouts_name_hv_cb_loadout_gong_du_01,Gong Du,False,text/_hvo/hv_TEXT_cb_loadout.loc
181,,custom_battle_loadouts_name_hv_cb_loadout_gong_du_02,The Yellow Warlord,False,text/_hvo/hv_TEXT_cb_loadout.loc
182,,custom_battle_loadouts_name_hv_cb_loadout_he_man_01,He Man,False,text/_hvo/hv_TEXT_cb_loadout.loc
183,,custom_battle_loadouts_name_hv_cb_loadout_huang_shao_01,Huang Shao,False,text/_hvo/hv_TEXT_cb_loadout.loc
184,,custom_battle_loadouts_name_hv_cb_loadout_huang_shao_02,The Yellow Warlord,False,text/_hvo/hv_TEXT_cb_loadout.loc
185,,custom_battle_loadouts_name_hv_cb_loadout_pei_yuanshao_01,Pei Yuanshao,False,text/_hvo/hv_TEXT_cb_loadout.loc
186,,custom_battle_loadouts_name_hv_cb_loadout_zhang_kai_01,Zhang Kai,False,text/_hvo/hv_TEXT_cb_loadout.loc
187,,custom_battle_loadouts_name_hv_cb_loadout_cheng_pu_01,Cheng Pu,False,text/_hvo/hv_TEXT_cb_loadout.loc
188,,custom_battle_loadouts_name_hv_cb_loadout_han_sui_01,Han Sui,False,text/_hvo/hv_TEXT_cb_loadout.loc
189,,custom_battle_loadouts_name_hv_cb_loadout_han_sui_02,Warlord,False,text/_hvo/hv_TEXT_cb_loadout.loc
190,,custom_battle_loadouts_name_hv_cb_loadout_huang_zhong_01,Huang Zhong,False,text/_hvo/hv_TEXT_cb_loadout.loc
191,,custom_battle_loadouts_name_hv_cb_loadout_sun_jian_01,Sun Jian,False,text/_hvo/hv_TEXT_cb_loadout.loc
192,,custom_battle_loadouts_name_hv_cb_loadout_sun_jian_02,Tiger of Jiangdong,False,text/_hvo/hv_TEXT_cb_loadout.loc
193,,custom_battle_loadouts_name_hv_cb_loadout_taishi_ci_01,Taishi Ci,False,text/_hvo/hv_TEXT_cb_loadout.loc
194,,custom_battle_loadouts_name_hv_cb_loadout_xu_huang_01,Xu Huang,False,text/_hvo/hv_TEXT_cb_loadout.loc
195,,custom_battle_loadouts_name_hv_cb_loadout_yue_jin_01,Yue Jin,False,text/_hvo/hv_TEXT_cb_loadout.loc
196,,custom_battle_loadouts_name_hv_cb_loadout_dian_wei_01,Dian Wei,False,text/_hvo/hv_TEXT_cb_loadout.loc
197,,custom_battle_loadouts_name_hv_cb_loadout_wei_yan_01,Wei Yan,False,text/_hvo/hv_TEXT_cb_loadout.loc
198,,custom_battle_loadouts_name_hv_cb_loadout_xu_chu_01,Xu Chu,False,text/_hvo/hv_TEXT_cb_loadout.loc
199,,custom_battle_loadouts_name_hv_cb_loadout_xiahou_dun_01,Xiahou Dun,False,text/_hvo/hv_TEXT_cb_loadout.loc
200,,custom_battle_loadouts_name_hv_cb_loadout_liu_biao_01,Liu Biao,False,text/_hvo/hv_TEXT_cb_loadout.loc
201,,custom_battle_loadouts_name_hv_cb_loadout_liu_biao_02,Governor,False,text/_hvo/hv_TEXT_cb_loadout.loc
202,,custom_battle_loadouts_name_hv_cb_loadout_sun_quan_01,Sun Quan,False,text/_hvo/hv_TEXT_cb_loadout.loc
203,,custom_battle_loadouts_name_hv_cb_loadout_sun_quan_02,Emperor of Wu,False,text/_hvo/hv_TEXT_cb_loadout.loc
204,,custom_battle_loadouts_name_hv_cb_loadout_yuan_shao_01,Yuan Shao,False,text/_hvo/hv_TEXT_cb_loadout.loc
205,,custom_battle_loadouts_name_hv_cb_loadout_yuan_shao_02,Warlord,False,text/_hvo/hv_TEXT_cb_loadout.loc
206,,custom_battle_loadouts_name_hv_cb_loadout_yuan_shu_01,Yuan Shu,False,text/_hvo/hv_TEXT_cb_loadout.loc
207,,custom_battle_loadouts_name_hv_cb_loadout_yuan_shu_02,Emperor of Zhong,False,text/_hvo/hv_TEXT_cb_loadout.loc
208,,custom_battle_loadouts_name_hv_cb_loadout_gao_shun_01,Gao Shun,False,text/_hvo/hv_TEXT_cb_loadout.loc
209,,custom_battle_loadouts_name_hv_cb_loadout_gongsun_zan_01,Gongsun Zan,False,text/_hvo/hv_TEXT_cb_loadout.loc
