Key,Text,Tooltip,English,Source,OverrideByKey,MappedByPattern,MappedByText,Iascus,Vanilla,Leiwai,Procrastinator,PikaMan,Mtu,File
building_chains_encyclopedia_name_hv_subtown_nanman_outpost,南境市肆序列,True,Nanman-Han Trading Post,Procrastinator,,,,南蠻交易所,,,南境市肆序列,,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_qiang,羌人部落序列,True,Qiang Tribe,Procrastinator,,,,羌人部落,,,羌人部落序列,羌人部落,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_shanyue,山越部落序列,True,Shanyue Tribe,Procrastinator,,,,山越部落,,,山越部落序列,山越部落,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_wuhuan,東胡部落序列,True,Wuhuan Tribe,Procrastinator,,,,烏桓部落,,,東胡部落序列,烏桓部落,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_xiongnu,匈奴部落序列,True,Xiongnu Tribe,Procrastinator,,,,匈奴部落,,,匈奴部落序列,匈奴部落,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_ytr,太平道序列,False,Yellow Turban Cult,Procrastinator,,,,黃巾教派,,,太平道序列,,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_confucius,賢師高徒匯聚之所。,True,A place where great teachers and passionate students gather.,MappedByText,,,賢師高徒匯聚之所。,賢師高徒匯聚之所。,,,賢師高徒匯聚之所。,,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_danyang,丹陽人以奮勇著稱。陶謙整備軍隊，訓練有素。,True,The people of Danyang have a reputation for bravery. Tao Qian has turned them into a well-trained army.,MappedByText,,,丹陽人以奮勇著稱。陶謙整備軍隊，訓練有素。,丹陽人以奮勇著稱。陶謙整備軍隊，訓練有素。,,,丹陽人以奮勇著稱。陶謙整備軍隊，訓練有素。,,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_garrison,巡守衛隊在此地域巡邏，騷擾敵軍。,True,Vigilantes patrol the region and harass enemy armies.,MappedByText,,,巡守衛隊在此地域巡邏，騷擾敵軍。,巡守衛隊在此地域巡邏，騷擾敵軍。,,,巡守衛隊在此地域巡邏，騷擾敵軍。,巡守衛隊建築序列描述,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_garrison_sun_jian,名門大家所擁有的莊園。,True,The estates of powerful and wealthy families.,Procrastinator,,,,地方豪强的地產。,,,名門大家所擁有的莊園。,地方豪強建築序列描述,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_han_small_farm,完善管理本地貨物，回收廢棄物品。,True,Manage local products more thoroughly and convert wasted materials into stockpiles.,MappedByText,,,完善管理本地貨物，回收廢棄物品。,完善管理本地貨物，回收廢棄物品。,,,完善管理本地貨物，回收廢棄物品,,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_nanman,部落獵人可爲我們提供額外的食物。,True,Tribal hunters can provide us with additional food.,MappedByText,,,部落獵人可爲我們提供額外的食物。,部落獵人可爲我們提供額外的食物。,,,部落獵人可爲我方提供額外的食物。,,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_nanman_outpost,與南境蠻人交易的場所。,True,A place to trade with the natives.,Procrastinator,,,,與土著交易之處。,,,與南境蠻人交易的場所。,,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_qiang,這些部落不願歸順朝廷，但卻願意提供軍事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",Procrastinator,,,,這些部落不願歸化，但願意提供軍事援助。,,,這些部落不願歸順朝廷，但卻願意提供軍事援助。,這些部落不願歸化，但願意提供軍事援助。,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_shanyue,這些部落不願歸順朝廷，但卻願意提供軍事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",Procrastinator,,,,這些部落不願歸化，但願意提供軍事援助。,,,這些部落不願歸順朝廷，但卻願意提供軍事援助。,這些部落不願歸化，但願意提供軍事援助。,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_wuhuan,這些部落不願歸順朝廷，但卻願意提供軍事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",Procrastinator,,,,這些部落不願歸化，但願意提供軍事援助。,,,這些部落不願歸順朝廷，但卻願意提供軍事援助。,這些部落不願歸化，但願意提供軍事援助。,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_xiongnu,這些部落不願歸順朝廷，但卻願意提供軍事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",Procrastinator,,,,這些部落不願歸化，但願意提供軍事援助。,,,這些部落不願歸順朝廷，但卻願意提供軍事援助。,這些部落不願歸化，但願意提供軍事援助。,,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_ytr,新旅程開始之際，每個人都必須學習新的方法。,False,At the beginning of a new journey all must learn the new way.,Vanilla,,,,新旅程開始之際，每個人都必須學習新的方法。,新旅程開始之際，每個人都必須學習新的方法。,,要開始一段新的征途，人們需要先熟悉路徑。,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_confucius_01,孔子學院,True,Confucius Institute,OverrideByKey,孔子學院,,,孔子學院,,,孔子學院,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_danyang_01,丹陽部隊軍營,True,Danyang Troop Barrack,MappedByText,,,丹陽部隊軍營,丹陽部隊軍營,,,丹陽軍兵營,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_danyang_02,丹陽部隊營寨,True,Danyang Troop Encampment,OverrideByKey,丹陽部隊營寨,,,丹陽部隊營寨,,,丹陽軍營寨,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_garrison_01,重門軍哨站,True,Vigilante Posts,Procrastinator,,,,巡守衛隊哨站,,,重門軍哨站,巡守衛隊哨站,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_garrison_02,重門軍營地,True,Vigilante Barracks,Procrastinator,,,,巡守衛隊軍營,,,重門軍營地,巡守衛隊軍營,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_garrison_sun_jian_01,士族庭院,True,Local Noble's Household,Procrastinator,,,,地方豪強院,,,士族庭院,地方豪強院,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_garrison_sun_jian_02,士族田莊,True,Local Noble's Manor,Procrastinator,,,,地方豪強莊,,,士族田莊,地方豪強莊,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_nanman_outpost_01,南蠻市肆,True,Nanman-Han Trading Post,Procrastinator,南蠻市肆,,,南蠻交易所,,,南蠻市肆,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_nanman_shikar_01,狩獵區,True,Hunting Area,OverrideByKey,狩獵區,,,狩獵區,,,狩獵區,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_qiang_00,羌人散戶,True,Scattered Qiang Community,Procrastinator,,,,零散羌人區,,,羌人散戶,零散羌人區,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_qiang_01,羌人聚落,True,Qiang Tribal Camp,Procrastinator,,,,羌人部落營,,,羌人聚落,羌人部落營,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_qiang_02,羌人村莊,True,Qiang Tribal Herd,Procrastinator,,,,羌人部落群,,,羌人村莊,羌人部落群,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_shanyue_00,山越營地,True,Scattered Shanyue Community,Procrastinator,,,,零散山越區,,,山越營地,零散山越區,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_shanyue_01,山越聚落,True,Shanyue Tribal Herd,Procrastinator,,,,山越部落群,,,山越聚落,山越部落群,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_shanyue_02,山越集鎮,True,Shanyue Tribal Town,Procrastinator,,,,山越部落鎮,,,山越集鎮,山越部落鎮,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_small_farm_01,儲備站,True,Stockpile Storage ,MappedByText,,,儲備站,儲備站,,,儲備站,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_small_farm_02,倉庫,True,Warehouse,Vanilla,,,,倉庫,倉庫,,倉廩,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_small_farm_03,大型倉庫,True,Large Warehouse,MappedByText,,,大型倉庫,大型倉庫,,,大型倉庫,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_wuhuan_00,東胡散戶,True,Scattered Wuhuan Community,Procrastinator,,,,零散烏桓區,,,東胡散戶,零散烏桓區,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_wuhuan_01,東胡聚落,True,Wuhuan Tribal Camp,Procrastinator,,,,烏桓部落營,,,東胡聚落,烏桓部落營,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_wuhuan_02,東胡村莊,True,Wuhuan Tribal Herd,Procrastinator,,,,烏桓部落群,,,東胡村莊,烏桓部落群,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_xiongnu_00,匈奴散戶,True,Scattered Xiongnu Community,Procrastinator,,,,零散匈奴區,,,匈奴散戶,零散匈奴區,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_xiongnu_01,匈奴聚落,True,Xiongnu Tribal Camp,Procrastinator,,,,匈奴部落營,,,匈奴聚落,匈奴部落營,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_xiongnu_02,匈奴村莊,True,Xiongnu Tribal Herd,Procrastinator,,,,匈奴部落群,,,匈奴村莊,匈奴部落群,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_yellow_turban_synad_01,太平小廟,False,Yellow Turban Lodge,Procrastinator,,,,黃巾旅站,,,太平小廟,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_yellow_turban_synad_02,太平朝堂,False,Yellow Turban Hall,Procrastinator,,,,黃巾朝堂,,,太平朝堂,,,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_yellow_turban_synad_03,太平聖殿,False,Yellow Turban Synod,Procrastinator,,,,黃巾教殿,,,太平聖殿,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_confucius_01,長描述,True,long_description,MappedByText,,,長描述,長描述,,,長描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_danyang_01,長描述,True,long_description,MappedByText,,,長描述,長描述,,,長描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_danyang_02,長描述,True,long_description,MappedByText,,,長描述,長描述,,,長描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_01,長描述,True,long_description,PikaMan,,,長描述,長描述,,,長描述,長描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_02,長描述,True,long_description,PikaMan,,,長描述,長描述,,,長描述,長描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_sun_jian_01,長描述,True,long_description,PikaMan,,,長描述,長描述,,,長描述,長描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_sun_jian_02,長描述,True,long_description,PikaMan,,,長描述,長描述,,,長描述,長描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_ytr_01,長描述,True,long_description,PikaMan,,,長描述,長描述,,,長描述,長描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_ytr_02,長描述,True,long_description,PikaMan,,,長描述,長描述,,,長描述,長描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_han_small_farm_01,長描述,True,long_description,MappedByText,,,長描述,長描述,,,長描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_han_small_farm_02,長描述,True,long_description,MappedByText,,,長描述,長描述,,,長描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_han_small_farm_03,長描述,True,long_description,MappedByText,,,長描述,長描述,,,長描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_nanman_outpost_01,長描述,True,long_description,MappedByText,,,長描述,長描述,,,長描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_nanman_shikar_01,長描述,True,long_description,MappedByText,,,長描述,長描述,,,長描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_qiang_01,長描述,True,qiang_01_long_description,PikaMan,,,,長描述,,,長描述,長描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_qiang_02,長描述,True,qiang_02_long_description,PikaMan,,,,長描述,,,長描述,長描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_shanyue_01,山越人乃是部落民族，比較不習慣定居在漢人奢侈委靡的城邑中，而習慣在野外紮營度日。雖然這支山地部族並非遊牧民族，但仍較倚重農牧。\\n\\n此族人在紮營地既可自給自足，也能有效準備兵力，應對北方持續加重的入侵威脅。,True,"Being a tribal people, the Shanyue are unused to the urban and decadent cities of the Han and prefer a life in encamped in the wilderness. Although not nomadic, the hill tribes are nevertheless a more pastoral, agricultural peoples. \\n\\n From their camps, they can both tend to their needs as a people and prepare themselves, militarily, for the ever-present and increasing threat of invasion from the North.",Vanilla,,,,山越人乃是部落民族，比較不習慣定居在漢人奢侈委靡的城邑中，而習慣在野外紮營度日。雖然這支山地部族並非遊牧民族，但仍較倚重農牧。\\n\\n此族人在紮營地既可自給自足，也能有效準備兵力，應對北方持續加重的入侵威脅。,山越人乃是部落民族，比較不習慣定居在漢人奢侈委靡的城邑中，而習慣在野外紮營度日。雖然這支山地部族並非遊牧民族，但仍較倚重農牧。\\n\\n此族人在紮營地既可自給自足，也能有效準備兵力，應對北方持續加重的入侵威脅。,,山越部落與漢人習俗不同，他們並不習慣於居住在高屋建瓴的城鎮當中，而是習慣於住在帳篷裏。他們並不是遊牧民族，而是以農業爲生，過着田園牧歌一般的生活。\\n\\n帳篷既能滿足山越之民們的生活需求，也能讓他們有效地爲來自北部日益嚴重的入侵威脅作好準備。,山越人乃是部落民族，比較不習慣定居在漢人奢侈委靡的城邑中，而習慣在野外紮營度日。雖然這支山地部族並非遊牧民族，但仍較倚重農牧。\\n\\n此族人在紮營地既可自給自足，也能有效準備兵力，應對北方持續加重的入侵威脅。,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_shanyue_02,江南一帶長久以來一直是山越之民的故鄉，他們對這片土地懷有深厚的感情。如今野心勃勃的諸侯們要蠶食他們祖輩所居之地，他們必須拿起武器，以奮戰保衛故土。\\n\\n山越之民比漢人更熟悉江南的丘陵地形，他們將自己的堡壘建立在羣山中最險要的地方。他們可以在遠離天災人禍的地方安居樂業。,True,"The Southlands have long been the home of the Shanyue tribes, and it is their ardent hope that it always will be. This is the truth by which they live, and one they must fight to protect as warlords begin to encroach. \\n\\n The Shanyue know the hills of the South better than any, and amidst the striking scenery, their fortresses rise: places to live and grow, away from both the extremities of the elements and the eyes of the enemy.",Procrastinator,,,,江南一直都是山越族人的家園，他們也希望今後維持不變。這便是他們生存意義所在的真理，也是在諸侯割據的時代，他們必須奮戰保護的傳統。\\n\\n山越人比誰都瞭解南方的山區，並在這嶙峋之地建起了堡壘城寨；這裡遠離殘酷的風雨、也遠離敵人的監視，是他們生活成長之地。,,,江南一帶長久以來一直是山越之民的故鄉，他們對這片土地懷有深厚的感情。如今野心勃勃的諸侯們要蠶食他們祖輩所居之地，他們必須拿起武器，以奮戰保衛故土。\\n\\n山越之民比漢人更熟悉江南的丘陵地形，他們將自己的堡壘建立在羣山中最險要的地方。他們可以在遠離天災人禍的地方安居樂業。,江南一直都是山越族人的家園，他們也希望今後維持不變。這便是他們生存意義所在的真理，也是在諸侯割據的時代，他們必須奮戰保護的傳統。\\n\\n山越人比誰都瞭解南方的山區，並在這嶙峋之地建起了堡壘城寨；這裡遠離殘酷的風雨、也遠離敵人的監視，是他們生活成長之地。,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_wuhuan_01,長描述,True,wuhuan_01_long_description,PikaMan,,,,長描述,,,長描述,長描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_wuhuan_02,長描述,True,wuhuan_02_long_description,PikaMan,,,,長描述,,,長描述,長描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_xiongnu_01,長描述,True,xiongnu_01_long_description,PikaMan,,,,長描述,,,長描述,長描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_xiongnu_02,長描述,True,xiongnu_02_long_description,PikaMan,,,,長描述,,,長描述,長描述,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_yellow_turban_synad_01,長描述,False,long_description,MappedByText,,,長描述,長描述,,,長描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_yellow_turban_synad_02,長描述,False,long_description,MappedByText,,,長描述,長描述,,,長描述,,,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_yellow_turban_synad_03,長描述,False,long_description,MappedByText,,,長描述,長描述,,,長描述,,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_confucius_01,短描述,True,short_description,MappedByText,,,短描述,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_danyang_01,短描述,True,short_description,MappedByText,,,短描述,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_danyang_02,短描述,True,short_description,MappedByText,,,短描述,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_01,短描述,True,short_description,PikaMan,,,短描述,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_02,短描述,True,short_description,PikaMan,,,短描述,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_sun_jian_01,短描述,True,short_description,PikaMan,,,短描述,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_sun_jian_02,短描述,True,short_description,PikaMan,,,短描述,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_ytr_01,短描述,True,short_description,PikaMan,,,短描述,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_ytr_02,短描述,True,short_description,PikaMan,,,短描述,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_han_small_farm_01,短描述,True,short_description,MappedByText,,,短描述,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_han_small_farm_02,短描述,True,short_description,MappedByText,,,短描述,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_han_small_farm_03,短描述,True,short_description,MappedByText,,,短描述,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_nanman_outpost_01,短描述,True,short_description,MappedByText,,,短描述,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_nanman_shikar_01,短描述,True,short_description,MappedByText,,,短描述,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang,羌人部落序列,True,Qiang Tribe,Procrastinator,,,,羌人部落,,,羌人部落序列,羌人部落,,hv_TEXT_building.loc.tsv
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_shanyue,山越部落序列,True,Shanyue Tribe,Procrastinator,,,,山越部落,,,山越部落序列,山越部落,,hv_TEXT_building.loc.tsv
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_subtown,附加建築,True,Attached Building,Procrastinator,,,,附加建物,,,附加建築,附加建物,,hv_TEXT_building.loc.tsv
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan,東胡部落序列,True,Wuhuan Tribe,Procrastinator,,,,烏桓部落,,,東胡部落序列,烏桓部落,,hv_TEXT_building.loc.tsv
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_xiongnu,匈奴部落序列,True,Xiongnu Tribe,Procrastinator,,,,匈奴部落,,,匈奴部落序列,匈奴部落,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_qiang_01,短描述,True,qiang_01_short_description,PikaMan,,,,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_qiang_02,短描述,True,qiang_02_short_description,PikaMan,,,,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_shanyue_01,「此處乃我等地盤、我等家園、我等基業。斷不能讓你們奪走！」,True,"This is our land, our home, our history. You cannot have it!",Vanilla,,,,「此處乃我等地盤、我等家園、我等基業。斷不能讓你們奪走！」,「此處乃我等地盤、我等家園、我等基業。斷不能讓你們奪走！」,,「此爲我祖輩所居之地，爾等無權強取豪奪！」,「此處乃我等地盤、我等家園、我等基業。斷不能讓你們奪走！」,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_shanyue_02,雖然山越人不得不建起柵欄保護自己，但其實他們只想和平度日。,True,"Although their palisade walls are an unfortunate necessity, the Shanyue seek only to live in peace.",Vanilla,,,,雖然山越人不得不建起柵欄保護自己，但其實他們只想和平度日。,雖然山越人不得不建起柵欄保護自己，但其實他們只想和平度日。,,爲了過上太平的日子，越民不得不在其住處築起高牆。,雖然山越人不得不建起柵欄保護自己，但其實他們只想和平度日。,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_wuhuan_01,短描述,True,wuhuan_01_short_description,PikaMan,,,,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_wuhuan_02,短描述,True,wuhuan_02_short_description,PikaMan,,,,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_xiongnu_01,短描述,True,xiongnu_01_short_description,PikaMan,,,,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_xiongnu_02,短描述,True,xiongnu_02_short_description,PikaMan,,,,短描述,,,短描述,短描述,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_yellow_turban_synad_01,短描述,False,short_description,MappedByText,,,短描述,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_yellow_turban_synad_02,短描述,False,short_description,MappedByText,,,短描述,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_yellow_turban_synad_03,短描述,False,short_description,MappedByText,,,短描述,短描述,,,短描述,,,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_nanman,南蠻填地序列,False,Nanman Infill Development ,Procrastinator,,,,南蠻填地開發,,,南蠻填地序列,,,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_qiang,遊牧民族序列,True,Nomad,Procrastinator,,,,遊牧民族,,,遊牧民族序列,遊牧民族,,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_shanyue,宗部序列,True,Zong Bu,MappedByText,,,宗部序列,宗布,,,宗布,宗布,,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_bandit,劫盜序列,True,Banditry,MappedByText,,,劫盜序列,劫盜,劫盜,,匪患序列,,,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_confucius,孔子學院序列,True,Confucius Institute,Procrastinator,,,,孔子學院,,,孔子學院序列,,,hv_TEXT_building.loc.tsv
