eng,zh-cn,zh-tw
Elemental Vigour,龙胆,五行之力
"The longer this warrior fights, the greater and more inspiring they becomes!",此人会随着战斗时间拉长而越战越勇，激励士气的效果也随之增强！,此人會隨著戰鬥時間拉長而越戰越勇，激勵士氣的效果也隨之增強！
Eviscerate,剔骨,剔骨
"When the victim was aware of what had happened, it must have already been a serious situation.",等到被害者明白过来，就已为时已晚。,等到被害者明白過來，就已爲時已晚。
Expertise,专精,專精
Fire Bomb,火焰弹,火油彈
Hurl a bundle of explosive fire bombs to knock down the enemy.,扔掷爆裂火油弹来击倒敌人。,扔擲爆裂火油彈來擊倒敵人。
Fire Control,穿杨,穿楊
Organised volleys prove more effective.,依序射击更为有效。,依序射擊更為有效。
First Characteristic,个性一,特性一
Fleet Footed,疾行,腳步迅捷
This hero believes you can only kill that which you can catch.,此人行动迅如狡兔，万军擒拿亦若无物。,此人相信，要將敵人除之而後快，就必須先追得上敵人。
Flower of the Battlefield,玉骨,戰場之花
It's not a good place for a beautiful woman to stay.,此处不宜美人久留。,此處不宜美人久留。
Forest Strider,琼林,森林適性
A forest friendly man.,此人与林为友。,此人與林爲友。
Foresight,远见,縱觀全局
"This man can see all that was, and all that will be.",此人鬼才满腹经纶，足以推古衍今。,此人能明鑑古今，洞察未來。
Frontline Observation,鹰视,前線查探
A look at the battlefield with remarkable insight.,以非凡的观察力纵观战场。,以非凡的觀察力縱觀戰場。
A close observation of the battlefield can bring remarkable insights.,以非凡的观察力纵观战场。,以非凡的觀察力縱觀戰場。
Ghost of the woods,林鬼,林中之鬼
This man knows how to frighten enemies in the woods.,神鬼莫测于树林间震摄敌军。,神鬼莫測於樹林間震攝敵軍。
Geographic Mastery,巧变,地理專才
"This man has a great understanding of geography, and can bend it to their own use.",此人对山川地势了若指掌，且能善加利用。,此人熟悉地理知識，能夠善加利用。
Guardian,卫足,衛足
A noble guardian protects his people at all costs.,百姓卫士，民为其足,百姓衛士，民爲其足
Hamper,搅扰,攪擾
Distracts the focus of enemy ranged troops.,分散敌军远程部队的注意力。,分散敵軍遠程部隊的注意力。
Heartseeker,觅心,一箭穿心
"With a single shot, The shooter brings death.",百步穿杨，一击便可致敌于死地。,百步穿楊，一擊便可致敵於死地。
Heavenly Grace,天人之姿,天仙氣質
"Using her graceful beauty, she stuns all those around her.",她运用美色，迷得周围所有人动弹不得。,她運用美色，迷得周圍所有人動彈不得。
"With her graceful beauty, she stuns all around her.",她运用美色，迷得周围所有人动弹不得。,她運用美色，迷得周圍所有人動彈不得。
Heavenly Presence,威临,天人親臨
"This warrior's presence on the battlefield can give hope to his men, even in the most dire of situations.",局势危急之际，此人拍马杀到，为手下带来希望。,縱使情勢極為嚴峻，此人現身戰場上仍能為麾下兵士帶來希望。
Herald,先驱,先驅
Impenetrable Redoubt,毅重,堅韌堡壘
"This general is as an immovable wall, inspiring his men to stand firm against much greater odds.",此将有如一道铜墙铁壁，鼓舞着麾下兵士在逆境中不动如山。,此將有如一堵難以撼動的牆，激勵麾下兵士堅守陣線排除萬難。
Indomitable Warrior,无畏,無畏之士
This man has learnt to overcome defeat.,屡败屡战，无所畏惧。,屢敗屢戰，無所畏懼。
Inspection,审查,審查
This is the basic way to correct corruption.,清除腐败以此为本。,清除腐敗以此爲本。
Inner Vitality,内力,内在活力
A warrior who feels truly alive in battle.,以战为生的勇士。,以戰爲生的勇士。
Instinct,本能,本能
Judgement,慎断,明察秋毫
Do not let emotion cloud your acuity.,不可令情绪掩盖你的眼界。,莫讓情緒蒙蔽心靈的敏銳。
Kingmaker,王佐,王佐
Make Calm Down,镇静,鎮靜
Reassuring words prevent soldiers from wavering on a chaotic battlefield.,安慰之言以防士卒于乱战中摇摆不定。,安慰之言以防士卒于乱战中摇摆不定。
Mark Target,丛矢,瞄定
Choose the targets to focus fire.,选定目标集中射击。,選定目標集中射擊。
Mighty Thrust,披靡,強勁衝鋒
"With a shout, this man spurs on their horse. The warrior can plough into enemies with such force that scores of men go flying.",此人大吼一声，纵马冲入敌阵，犹如一把利刃，杀得敌人血肉横飞。,此人高呼一聲，策馬飛奔。他衝入敵陣的勁道之強，足以將大批士兵一舉震飛。
Mountains,泰山,山陣
Form an air-tight defence.,稳如泰山，无隙可乘。,組成無隙可乘的防禦陣型。
Nobility,龙髓,龍髓
Poison-wind,剧毒,毒風
A special arrow containing a toxic substance.,含有有毒物质的特殊箭头。,含有有毒物質的特殊箭頭。
Mettlesome Advance,捣穴,突飛猛進
Confidence and pride go hand in hand.,傲慢即信心所在。,傲慢即信心所在。
Pride and confidence go hand in hand.,傲慢即信心所在。,傲慢即信心所在。
Mobilisation,动员,動員
Mock,雄辩,嘲諷
"This hero accosts the enemy hero, shaking them to the core.",此英雄面对敌将，一番滔滔雄辩，令其心智动摇。,此英雄向敵將大膽喊話，令對方心神動搖。
Mortal Strike,致命一击,致命一擊
Delivers a very powerful blow.,可发出非常有力的一击。,可發出非常有力的一擊。
Mountains,泰山,山陣
Oil Pot,油罐,油罐
Overwhelmming,填膺,壓倒之勢
A display of unstoppable fury.,展现出势不可挡的愤怒。,展現出勢不可擋的憤怒。
Poison-wind,剧毒,毒風
Prevention,预防,預防
Quickfire,霹雳,連珠砲
"This shooter fires and fires, faster and faster, never relenting.",此弓手一箭紧接一箭，一箭快过一箭。,此弓手不斷引弓放箭，越放越快，毫不留手。
"This general rallies the troops to greater feats, inspiring them to make one final effort.",此将集结军队，激励众将士发起最后的冲锋，建不世之功业。,此將召集兵士奮勇作戰，鼓勵他們作最後一搏。
Resolve,决心,決心
Restore,回春,回復
A moment's respite from battlefield to heal our troops.,从战场上喘息片刻，为我军疗伤。,從戰場上喘息片刻，為我軍療傷。
Royal Blood,龙脉,皇室貴胄
"Fearing retribution, enemies hesitate to fire upon a scion of the Han.",敌人并不敢伤害汉室宗亲。,敵人並不敢傷害漢室宗親。
Second Characteristic,个性二,特性二
Fire explosive bolts to demoralise hostile units.,扔掷爆裂弹来打击敌军士气。,扔擲爆裂彈來打擊敵軍士氣。
Sinister Strike,影袭,險惡一擊
There's something about this strike that just feels off.,这种攻击似乎阴险歹毒。,這種攻擊似乎陰險歹毒。
"Born to hold the line, This warrior shrugs off attacks as if they were nothing!",此人真乃守御惊世之才，敌众猛攻视若无物！,此人是天生的護衛將才，所有攻擊對他來說都不痛不癢！
Stone Bulwark,磐石,堅若磐石
"With skin of earth, arrows rebound, harmless.",凭地利，如披坚甲，箭若无物。,皮若堅石，箭矢觸及皆反彈無傷。
Stylism,文学,文學
Swallow,燕翔,燕翔
No one is faster than this one.,飞燕之快，无人能及。,飛燕之快，無人能及。
Sweeping Arc,弧光斩,橫掃千軍
Cut down enemies by making an arc with a blade,使出一记弧形挥砍杀伤敌人,使出一記弧形揮砍殺傷敵人
The weight on the shoulders,砥柱,身負重擔
Someone has to take the first step even if no one wants it.,遭扰攘之时，值兵革之际。,遭擾攘之時，值兵革之際。
Third Characteristic,个性三,特性三
Tracker,追踪,追蹤
Few can escape this warrior's pursuit.,很少有人能逃过这位勇士的追杀。,很少有人能逃過這位勇士的追殺。
Unstoppable,横行,無人可擋
His relentless attack makes foes cower before him!,他武艺天下绝伦，敌众闻之胆战心惊,他無止息的瘋狂攻勢令敵人心驚膽寒！
Veil of Darkness,莫测,黑暗之幕
White Tiger,虎威,白虎之威
Wisdom of the Waterfall,飞泉之智,飛泉之智
It is the bear's teeth that the salmon faces at the end of the falls.,鲑鱼游至瀑底，等待的却是熊的牙齿。,鮭魚游至瀑底，等待的卻是熊的牙齒。
Wolf,恶狼,惡狼
Carefully approach and go for the throat.,恶狼谨慎出击，直奔咽喉。,惡狼謹慎出擊，直奔咽喉。
Xiezhi Roar,獬豸之吼,獬豸咆嘯
"The warrior flies into a rage, embodying the mighty Xiezhi, a mythical creature of great power.  ",勇士怒发冲冠，若獬豸附身，勇不可当。,勇士大發雷霆，猶如神話中強大神獸獬豸的體現。
Xiliang Veterancy - Ranged,西凉老兵 - 远程,西涼老兵 - 遠程
Xiliang Veterancy - Melee,西凉老兵 - 近战,西涼老兵 - 近戰
Zhou the Youth,美周郎,美周郎
Those who toil the land require more utilitarian approaches.,辛苦劳作的农民们需要的却是更为实用的建筑。,耕田的人需要的是更為務實的做法。
Someone who stands out among the people.,超凡脱俗,超凡脫俗
A remarkable talent.,才华横溢,才華橫溢
Every person has their own path.,各行其道,各行其道
Cao Cao's presence unnerves the enemy general!,曹操在场，敌将备受压制！,曹操在場，敵將備受壓制！
"To the very bitter end and beyond, if possible, to the very last breath, they will be constant and unswerving.",此人视死如归，奋战至血尽身死。,直到最後的最後，如果可以的話，甚至直到最後一口氣，此人都會穩守陣地、絕不低頭。
Bandit: Dead or Alive,匪徒：你死我活,匪徒：你死我活
Desperation soon leads to violence.,万般无奈之下，唯有殊死一搏。,萬般無奈之下，唯有殊死一搏。
Bandit: Deeply-Rooted,匪徒：根深蒂固,匪徒：根深蒂固
Tightly woven and does not fall off easily.,紧密结合，不易脱落。,緊密結合，不易脫落。
Bandit: Grievous Bite,匪徒：凶残撕咬,匪徒：重創撕咬
This is how animals fight.,此乃困兽之斗。,此乃困獸之鬥。
Bandit: Improvisation,匪徒：见机行事,匪徒：見機行事
Adaptation is the only way to live.,视情况变化而采因应之道。,視情況變化而採因應之道。
Bandit: Strike First,匪徒：先发制人,匪徒：先發制人
"If you hit them first, they may not hit you.",先下手为强。,先下手爲强。
Skirmishing Shot,游击,游擊
Shoot and run.,放一箭换一个地方。,放一箭換一個地方。
Pounce,猛扑,猛撲
They rush like wolves.,像狼一样冲刺。,像狼一樣衝刺。
Joint Shot,齐射,齊射
Raining arrows.,箭如雨下。,箭如雨下。
Forest Strategy,林战,森林戰略
The trees are their friends.,树林是他们的朋友。,樹林是他們的朋友。
Calm Reload,冷静装填,冷靜裝填
Promptly and Accurately,既快又准,既快又准
Counter Strike,反击,反擊
Attack is the best defence.,进攻就是最好的防守。,進攻就是最好的防禦。
Mixed Missile (Shield),混合远程（持盾）,混合遠程（持盾）
Pike Wall - Ji Guards of the Eight Talents,八才戟卫戟墙,八才戟衛戟墻
Pike Wall - White Feathers,白毦兵戟墙,白毦兵戟墻
Hollowed Square (Ranged),中空方阵（远程）,中空方陣（遠程）
Shield Wall (Mobile),盾墙阵（可机动）,盾陣（可機動）
Shield Wall (Mobile) - Danyang,丹阳盾墙阵（可机动）,丹陽盾陣（可機動）
Shield Wall (Mobile) (Spear) - Danyang,丹阳矛盾墙阵（可机动）,丹陽槍盾陣（可機動）
Loose and Charge,疏阵冲锋,疏陣衝鋒
Loose and Charge (Cavalry),骑兵疏阵冲锋,騎兵疏陣衝鋒
