Key,English,MappedZhcn,SourceZhcn,VanillaZhcn,IascusZhcn,ProcrastinatorZhcn,DiffZhcn,DiffZhtw,MappedZhtw,SourceZhtw,VanillaZhtw,IascusZhtw,ProcrastinatorZhtw
campaign_localised_strings_string_unit_locked_ceo,You do not have the prerequisite: %S.,你没有所需的：%S。,MappedByText,,您没有所需的：%S。,你没有所需的随从或饰品：%S。,True,True,您沒有所需的：%S。,MappedByText,,您沒有所需的：%S。,你沒有所需的隨從或飾品：%S。
campaign_payload_ui_details_description_dummy_hv_cao_cao_qingzhoubing,Perhaps you can bring them into your fold...,或许可以招揽……,MappedByText,,或许可以招揽……,或许可以招揽他们……,True,True,或許可以招攬……,MappedByText,,或許可以招攬……,或許可以招攬他們……
campaign_payload_ui_details_description_hv_dilemma_lu_bu_legacy,Lu Bu's army follows your faction.,吕布之兵将追随于你。,MappedByText,,吕布之兵将追随于您。,袁术的大军将追随你的派系,True,True,呂布之兵將追隨於您。,MappedByText,,呂布之兵將追隨於您。,袁術的大軍將追隨你的派系
campaign_payload_ui_details_description_hv_dilemma_northern_army_intro,Complete missions to bolster your faction!,完成任务可以增强你的派系！,MappedByText,,完成任务可以增强您的势力！,完成任务可以增强你的势力！,True,True,完成任務可以增强您的勢力！,MappedByText,,完成任務可以增强您的勢力！,完成任務可以增強你的勢力！
campaign_payload_ui_details_description_hv_dilemma_yuan_shu_legacy,Yuan Shu's army follows your faction.,袁术之兵将追随于你。,MappedByText,,袁术之兵将追随于您。,袁术的大军将追随你的派系,True,True,袁術之兵將追隨於您。,MappedByText,,袁術之兵將追隨於您。,袁術的大軍將追隨你的派系
campaign_payload_ui_details_description_hv_event_cao_cao_qingzhou,"You may now recruit {{tr:hv_unit_qingzhou_hand_ji_infantry}}, {{tr:hv_unit_qingzhou_2h_axe_infantry}}, {{tr:hv_unit_qingzhou_raider_cavalry}}.",你现在可以招募：{{tr:hv_unit_qingzhou_hand_ji_infantry}}，{{tr:hv_unit_qingzhou_2h_axe_infantry}}，{{tr:hv_unit_qingzhou_raider_cavalry}}。,MappedByText,,您现在可以招募：{{tr:hv_unit_qingzhou_hand_ji_infantry}}， {{tr:hv_unit_qingzhou_2h_axe_infantry}}， {{tr:hv_unit_qingzhou_raider_cavalry}},你现在可以招募：{{tr:hv_unit_qingzhou_hand_ji_infantry}}， {{tr:hv_unit_qingzhou_2h_axe_infantry}}， {{tr:hv_unit_qingzhou_raider_cavalry}},True,True,您現在可以招募：{{tr:hv_unit_qingzhou_hand_ji_infantry}}，{{tr:hv_unit_qingzhou_2h_axe_infantry}}，{{tr:hv_unit_qingzhou_raider_cavalry}}。,MappedByText,,您現在可以招募：{{tr:hv_unit_qingzhou_hand_ji_infantry}}， {{tr:hv_unit_qingzhou_2h_axe_infantry}}， {{tr:hv_unit_qingzhou_raider_cavalry}},你現在可以招募：{{tr:hv_unit_qingzhou_hand_ji_infantry}}， {{tr:hv_unit_qingzhou_2h_axe_infantry}}， {{tr:hv_unit_qingzhou_raider_cavalry}}
campaign_payload_ui_details_description_hv_event_tiger_hunt_white_tiger_cap,{{tr:hv_unit_white_tiger_warriors}} for recruitment: +1,可招募的{{tr:hv_unit_white_tiger_warriors}}：+1,MappedByPattern,,{{tr:hv_unit_white_tiger_warriors}}部署量：+1,{{tr:hv_unit_white_tiger_warriors}}部署量：+1,True,True,可招募{{tr:hv_unit_white_tiger_warriors}}數：+1,MappedByPattern,,{{tr:hv_unit_white_tiger_warriors}}部署量：+1,{{tr:hv_unit_white_tiger_warriors}}部署量：+1
campaign_payload_ui_details_description_hv_event_white_tiger,Yan Baihu may now recruit {{tr:hv_unit_white_tiger_warriors}}.,严白虎现可招募{{tr:hv_unit_white_tiger_warriors}}。,MappedByText,,严白虎现可招募{{tr:hv_unit_white_tiger_warriors}}。,严白虎现在可以招募：{{tr:hv_unit_white_tiger_warriors}},True,True,嚴白虎現可招募{{tr:hv_unit_white_tiger_warriors}}。,MappedByText,,嚴白虎現可招募{{tr:hv_unit_white_tiger_warriors}}。,嚴白虎現在可以招募：{{tr:hv_unit_white_tiger_warriors}}
campaign_payload_ui_details_description_hv_event_zhuge_liang_yuanrong,You may now recruit {{tr:hv_unit_yuan_rong_crossbowmen}}.,你现在可以招募：{{tr:hv_unit_yuan_rong_crossbowmen}}。,MappedByPattern,,您现在可以招募：{{tr:hv_unit_yuan_rong_crossbowmen}},你现在可以招募：{{tr:hv_unit_yuan_rong_crossbowmen}},True,True,您現在可以招募：{{tr:hv_unit_yuan_rong_crossbowmen}}。,MappedByPattern,,您現在可以招募：{{tr:hv_unit_yuan_rong_crossbowmen}},你現在可以招募：{{tr:hv_unit_yuan_rong_crossbowmen}}
campaign_payload_ui_details_description_hv_incident_education,A few of your officers have gained additional experience.,你的一些官员获得额外经验。,MappedByText,,您的一些官员获得额外经验。,我方的一些官员获得了额外的经验。,True,True,您的一些官員獲得額外經驗。,MappedByText,,您的一些官員獲得額外經驗。,我方的一些官員獲得了額外的經驗。
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_leader_concubine_lady_du_dilemmaFIRST,Make Lady Du a Concubine,将杜氏入后宫,Leiwai,,,将刘氏入后宫,True,True,將杜氏入後宮,Leiwai,,,將劉氏入後宮
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_cai_yanFIRST,Accept,接受,Vanilla,接受,接受,派特使将她赎回,True,True,接受,Vanilla,接受,接受,派特使將她贖回
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_cai_yanSECOND,Refuse,拒绝,Vanilla,拒绝,拒绝,不可滥用国库！,True,True,拒絕,Vanilla,拒絕,拒絕,不可濫用國庫！
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_guan_pingFIRST,Accept,接受,Vanilla,接受,,此事甚好,True,True,接受,Vanilla,接受,,此事甚好
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_guan_pingSECOND,Reject,拒绝,Vanilla,拒绝,,此事不妥,True,True,拒絕,Vanilla,拒絕,,此事不妥
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_ji_ling_zhang_xun_dlc07FIRST,Accept,接受,Vanilla,接受,接受,收留他们,True,True,接受,Vanilla,接受,接受,收留他們
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_ji_ling_zhang_xun_dlc07SECOND,Refuse,拒绝,Vanilla,拒绝,拒绝,拒绝他们,True,True,拒絕,Vanilla,拒絕,拒絕,拒絕他們
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_lu_ji_dlc07FIRST,Accept,接受,Vanilla,接受,接受,收留他们,True,True,接受,Vanilla,接受,接受,收留他們
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_lu_ji_dlc07SECOND,Refuse,拒绝,Vanilla,拒绝,拒绝,拒绝他们,True,True,拒絕,Vanilla,拒絕,拒絕,拒絕他們
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_sogdFOURTH,Purchase a western sword,买剑,MappedByText,,买剑,购买怪剑,True,True,買劍,MappedByText,,買劍,購買怪劍
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_sogdSECOND,Purchase a horse,买马,MappedByText,,买马,购买良驹,True,True,買馬,MappedByText,,買馬,購買良駒
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_sogdTHIRD,Buy nothing,无意购买,MappedByText,,无意购买,什么都不买,True,True,不買任何東西,MappedByText,,不買任何東西,什麼都不買
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_white_tiger_01FIRST,Investigate,调查,MappedByText,,调查,尝试调查,True,True,調查,MappedByText,,調查,嘗試調查
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_white_tiger_02SECOND,Turn back,回去,MappedByText,,回去,原路返回,True,True,回去,MappedByText,,回去,原路返回
cdir_events_dilemma_choice_details_localised_choice_label_mtu_dilemma_suggestion_of_rebel_sistersFIRST,Accept,接受,Vanilla,接受,,妥协,True,True,接受,Vanilla,接受,,妥協
cdir_events_dilemma_choice_details_localised_choice_label_mtu_dilemma_suggestion_of_rebel_sistersSECOND,Reject,拒绝,Vanilla,拒绝,,拒绝和解,True,True,拒絕,Vanilla,拒絕,,拒絕和解
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_daughter_guan_trait_dilemma_1FIRST,"Guan Yu's face, which seems to have nothing to turn redder, burned redder. But rather than getting angry, he's not gonna know what she did wrong.\\nhe wanted Yinping to feel it for herself.  So Guan Yu instructed Guan Yinping to take care of the mess herself.",关羽虽怒，却怒不变容，他令其女儿自行打扫狼藉，让她自己反思。,Leiwai,,,关羽虽怒，却不怒不变容，他令其女儿自行打扫狼藉，让她自己反思。,True,True,關羽雖怒，卻怒不變容，他令其女兒自行打掃狼藉，讓她自己反思。,Leiwai,,,關羽雖怒，卻不怒不變容，他令其女兒自行打掃狼藉，讓她自己反思。
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_leader_concubine_lady_du_dilemmaFIRST,You made Lady Du your concubine - her beauty was breathtaking.,你将杜氏纳为妾室，她的美貌激动人心。,Leiwai,,,你将刘氏纳为妾室，她的美貌激动人心。,True,True,你將杜氏納爲妾室，她的美貌激動人心。,Leiwai,,,你將劉氏納爲妾室，她的美貌激動人心。
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_leader_concubine_lady_du_dilemmaSECOND,You just turned her away.,你遣人把杜氏从府中送了出去,Leiwai,,,你遣人把刘氏从府中送了出去,True,True,你遣人把杜氏從府中送了出去,Leiwai,,,你遣人把劉氏從府中送了出去
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_ji_ling_zhang_xun_dlc07FIRST,You allow them to join your cause. ,收纳他们加入旗下。,MappedByText,,收纳他们加入旗下。,如此精兵怎可不收。,True,True,收納他們加入旗下。,MappedByText,,收納他們加入旗下。,如此精兵怎可不收。
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_ji_ling_zhang_xun_dlc07SECOND,No one wants troublemakers.,莫要引禍上身。,MappedByText,,莫要惹是生非。,莫要惹是生非。,True,True,莫要引祸上身。,MappedByText,,莫要惹是生非。,莫要惹是生非。
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_lu_ji_dlc07FIRST,You allow them to join your cause. ,收纳他们加入旗下。,MappedByText,,收纳他们加入旗下。,如此精兵怎可不收。,True,True,收納他們加入旗下。,MappedByText,,收納他們加入旗下。,如此精兵怎可不收。
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_lu_ji_dlc07SECOND,No one wants troublemakers.,莫要引禍上身。,MappedByText,,莫要惹是生非。,莫要惹是生非。,True,True,莫要引祸上身。,MappedByText,,莫要惹是生非。,莫要惹是生非。
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_northern_army_introFIRST,Completing these missions will gather northern colonels to your cause.,完成这些任务，北军伯长就会为你效力。,MappedByText,,完成这些任务，北军校尉就会为您效力。,完成这些任务，北军校尉就会效忠于你。,True,True,完成這些任務，北軍校尉就會爲您效力。,MappedByText,,完成這些任務，北軍校尉就會爲您效力。,完成這些任務，北軍校尉就會效忠於你。
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_white_tiger_01FIRST,"It's hard to believe, but it might be worth investigating personally.",难以置信，但不妨亲自调查一番。,MappedByText,,难以置信，但不妨亲自调查一番。,此事真是难以置信，但不妨亲自调查一番。,True,True,難以置信，但不妨親自調查一番。,MappedByText,,難以置信，但不妨親自調查一番。,此事真是難以置信，但不妨親自調查一番。
ceo_equipped_set_bonuses_description_3k_main_item_set_lord_of_fire,The battlefield is your stage.,战场即是你的舞台。,MappedByText,,战场即是您的舞台。,所向披靡。,True,True,戰場即是你的舞臺。,MappedByText,,戰場即是您的舞臺。,所向披靡。
ceo_equipped_set_bonuses_title_3k_main_item_set_lord_of_fire,Lord of the Battlefield,战场之王,MappedByText,,战场之王,杀神,True,True,戰場之王,MappedByText,,戰場之王,殺神
ceo_nodes_description_3k_dlc07_ancillary_weapon_emperor_xian_weapon_unique,"A blade that is a beauty to behold. Inlaid with gold and embellished with shark skin, this blade is fit for a royal family.",一柄精美绝伦的宝剑，错以黄金，饰以鲛皮，与皇室之尊位相称。,MappedByText,,一柄精美绝伦的宝剑，错以黄金，饰以鲛皮，与天子之尊位相称。,一柄精美绝伦的宝剑，错以黄金，饰以鲛皮，与天子之尊位相称。,True,True,一柄精美絕倫的寶劍。這把飾有鯊皮的鑲金寶劍正好匹配皇室。,MappedByText,,一柄精美絕倫的寶劍。這把飾有鯊皮的鑲金寶劍正好匹配天子。,一柄精美絕倫的寶劍，錯以黃金，飾以鮫皮，與天子之尊位相稱。
ceo_nodes_description_3k_mtu_ancillary_eminent_calligrapher_armour_water_unique,"The perfect weight and fit, tailored for this warrior of class and distinction.",此甲轻重得当，宽紧合身，非名将不可披戴。,Vanilla,此甲轻重得当，宽紧合身，非名将不可披戴。,,此袍用料上乘，宽紧合身，非名士不可披戴。,True,True,重量適中且恰好合身，專為這名有頭有臉的戰士量身打造。,Vanilla,重量適中且恰好合身，專為這名有頭有臉的戰士量身打造。,,此袍用料上乘，寬緊合身，非名士不可披戴。
ceo_nodes_description_3k_mtu_ceo_node_career_historical_chen_jiu_01,"Pang De is an unrelenting force, whose avowed enemies know they must face him sooner or later.",庞德戎昭果毅，敌者必讨,Vanilla,庞德戎昭果毅，敌者必讨,,庞德戒昭果毅，敌者必讨,True,True,龐德不知退讓為何物，敵人皆知總有一日須在沙場上與他一較高下。,Vanilla,龐德不知退讓為何物，敵人皆知總有一日須在沙場上與他一較高下。,,龐德戒昭果毅，敵者必討
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_bian_huilan_01,"Her elegance, determination, and beauty made her coveted by all the heroes of the age.",「妻无子，下城，乞纳宜禄妻。」,Leiwai,,她的优雅、决心和美貌使她受到当时所有英雄的垂涎。,「袁尚母刘氏之妒，其酷烈也甚矣。乃城破之后，不能死节，而献甄氏于曹丕，以图苟全，又何其无烈性至此乎！可见妇之贞者必不妒，妇之妒者必不贞。」,True,True,「妻無子，下城，乞納宜祿妻。」,Leiwai,,她的優雅、决心和美貌使她受到當時所有英雄的垂涎。,「袁尚母劉氏之妒，其酷烈也甚矣。乃城破之後，不能死節，而獻甄氏於曹丕，以圖苟全，又何其無烈性至此乎！可見婦之貞者必不妒，婦之妒者必不貞。」
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_zou_yuan_01,The house of Cai is the most famous noble family in Jingzhou. Lady Cai is willing to use the power.,蔡氏乃是荆州名门望族。蔡夫人亦甚有权势。,MappedByText,,,「吾为夫人故，特纳张绣之降；不然灭族矣。」,True,True,蔡氏乃是荊州名門望族。蔡夫人亦甚有權勢。,MappedByText,,,「吾爲夫人故，特納張繡之降；不然滅族矣。」
ceo_nodes_description_hv_ancillary_accessory_lu_bu_legacy_military_talisman,Proof that the bearer has the authority to command Enforcer troops.,持此令牌者可以指挥捕掾队部队。,MappedByPattern,,此令牌可指挥捕掾队。,持此令牌者可以指挥捕掾队。,True,True,持此令牌者可以指揮捕掾隊單位。,MappedByPattern,,此令牌可指揮捕掾隊。,持此令牌者可以指揮捕掾隊。
ceo_nodes_description_hv_ancillary_follower_sogd_army_captain,The officer in charge of Sogdian mercenary units.,指挥粟特部队的士官。,MappedByText,,指挥粟特部队的士官。,粟特雇佣军为你效命！每一位校尉都忠于自己所属之人，誓死不离其侧！,True,True,指揮粟特部隊的士官。,MappedByText,,指揮粟特部隊的士官。,粟特僱傭軍爲你效命！每一位校尉都忠於自己所屬之人，誓死不離其側！
ceo_nodes_description_hv_ancillary_follower_xiliang_army_captain,"The Xiliang Army is yours to command! Each colonel is loyal to whom they have been assigned, vowing never to leave their side!",西凉军为你效命！每一位伯长都忠于自己所属之人，誓死不离其侧！,MappedByText,,西凉军为您效命！每一位校尉都忠于自己所属之人，誓死不离其侧！,西凉军为你效命！每一位校尉都忠于自己所属之人，誓死不离其侧！,True,True,西涼軍爲您效命！每一位校尉都忠於自己所屬之人，誓死不離其側！,MappedByText,,西涼軍爲您效命！每一位校尉都忠於自己所屬之人，誓死不離其側！,西涼軍爲你效命！每一位校尉都忠於自己所屬之人，誓死不離其側！
ceo_nodes_description_hv_ancillary_liu_limin_huilans_armour_unique,"Luxurious robes, fit for those who do not tread the battlefield.",这身华服适合那些无需在疆场厮杀的人。,Vanilla,这身华服适合那些无需在疆场厮杀的人。,这身华服适合那些无需在疆场厮杀的人。,此甲轻重得当，宽紧合身，非名将不可披戴。,True,True,此袍式樣豪奢，適合不涉沙場之人所穿。,Vanilla,此袍式樣豪奢，適合不涉沙場之人所穿。,此袍式樣豪奢，適合不涉沙場之人所穿。,此甲輕重得當，寬緊合身，非名將不可披戴。
ceo_nodes_description_hv_ancillary_weapon_khanda,A mysterious sword from the West. ,西域而来的神秘宝剑。,MappedByText,,西域而来的神秘宝剑。,源自西域的神秘宝剑。,True,True,西域而來的神秘寶劍。,MappedByText,,西域而來的神秘寶劍。,源自西域的神祕寶劍。
ceo_nodes_title_3k_mtu_ancillary_armour_lady_cai_yans_armour_unique,Cai Yan's Embroidered Garments,蔡琰的綉服,MappedByPattern,,,蔡琰的护甲,True,True,蔡琰的绣服,MappedByPattern,,,蔡琰的護甲
ceo_nodes_title_3k_mtu_ancillary_hua_xins_armour_unique,Hua Xin’s Embroidered Suit,华歆的華服,MappedByPattern,,,华歆的护甲,True,True,華歆的华服,MappedByPattern,,,華歆的護甲
ceo_nodes_title_3k_mtu_ancillary_lady_bian_huilans_armour_unique,Lady Liu’s Embroidered Garment,刘氏的綉服,MappedByPattern,,刘夫人绣衣,刘氏的护甲,True,True,劉氏的绣服,MappedByPattern,,劉夫人繡衣 ,劉氏的護甲
ceo_nodes_title_3k_mtu_ancillary_lady_da_qiaos_armour_unique,Lady Feng's Gold Embroidered Garments,冯氏的金色綉服,MappedByPattern,,,冯氏的护甲,True,True,馮氏的金色绣服,MappedByPattern,,,馮氏的護甲
ceo_nodes_title_3k_mtu_ancillary_lady_dong_bais_armour_unique,Dong Bai's Onyx Emroidered Garment,董白的黑色綉服,MappedByPattern,,,董白的护甲,True,True,董白的黑色绣服,MappedByPattern,,,董白的護甲
ceo_nodes_title_3k_mtu_ancillary_lady_gongsun_jintings_armour_unique,Hou Jinting's Embroidered Garment,侯氏的綉服,MappedByPattern,,,侯氏的护甲,True,True,侯氏的绣服,MappedByPattern,,,侯氏的護甲
ceo_nodes_title_3k_mtu_ancillary_lady_lu_zhengs_armour_unique,Lu Zheng's Leather Armour,陆政的皮甲,MappedByPattern,,,陆政的护甲,True,True,陸政的皮甲,MappedByPattern,,,陸政的護甲
ceo_nodes_title_3k_mtu_ancillary_lady_ma_lanlis_armour_unique,Hua Lanli's Leather Armour,华氏的皮甲,MappedByPattern,,,华氏的护甲,True,True,華氏的皮甲,MappedByPattern,,,華氏的護甲
ceo_nodes_title_3k_mtu_ancillary_lady_ma_yunlus_armour_unique,Ma Yunlu's Leather Armour,马云禄的皮甲,MappedByPattern,,,马云禄的护甲,True,True,馬雲騄的皮甲,MappedByPattern,,,馬雲祿的護甲
ceo_nodes_title_3k_mtu_ancillary_lady_xiao_qiaos_armour_unique,Yuan Anyang's Silver Embroidered Garments,袁氏的銀色綉服,MappedByPattern,,,袁氏的护甲,True,True,袁氏的银色绣服,MappedByPattern,,,袁氏的護甲
ceo_nodes_title_3k_mtu_ancillary_lady_zou_yuans_armour_unique,Lady Cai's Embroidered Garments,蔡氏的綉服,MappedByPattern,,,邹氏的护甲,True,True,蔡氏的绣服,MappedByPattern,,,鄒氏的護甲
ceo_nodes_title_3k_mtu_ancillary_yan_xiangs_armour_unique,Yan Xiang's Embroidered Garment,阎象的綉服,MappedByPattern,,,阎象的护甲,True,True,閻象的绣服,MappedByPattern,,,閻象的護甲
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_bian_huilan_01,Devoted Mother,躬亲主母,MappedByText,,躬亲主母,忌害美妇,True,True,躬親主母,MappedByText,,躬親主母,忌害美婦
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_zou_yuan_01,The Lady of Jingzhou,荆州夫人,MappedByText,,,妖娆祸水,True,True,荊州夫人,MappedByText,,,妖嬈禍水
ceo_nodes_title_3k_mtu_ceo_node_career_historical_zhao_yun_01,Tiger General,五虎上将,Vanilla,五虎上将,,虎威将军,True,True,五虎將,Vanilla,五虎將,,虎威將軍
ceo_nodes_title_ep_ancillary_sima_ying_armour_unique,Chen Deng's Armour,陈登的护甲,MappedByPattern,,曹植的护甲,曹植的护甲,True,True,陳登的護甲,MappedByPattern,,曹植的護甲,曹植的護甲
ceo_nodes_title_hv_ancillary_accessory_yuan_shu_legacy_military_talisman,Hidden Snakes and Rapid Tigers Tally,隐蛇兵与虎捷军虎符,MappedByText,,隐蛇兵与虎捷军虎符,蛇虎兵符,True,True,隱蛇兵與虎賁軍虎符,MappedByText,,隱蛇兵與虎賁軍虎符,蛇虎兵符
ceo_nodes_title_hv_ancillary_danyang_officer,Danyang Troops Officer,丹阳部队士官,MappedByText,,丹阳部队士官,丹阳校尉,True,True,丹陽部隊士官,MappedByText,,丹陽部隊士官,丹陽校尉
ceo_nodes_title_hv_ancillary_follower_sogd_army_captain,Sogdian Officer,粟特士官,MappedByText,,粟特士官,粟特校尉,True,True,粟特士官,MappedByText,,粟特士官,粟特校尉
ceo_nodes_title_hv_ancillary_follower_xiliang_army_captain,Colonel of the Xiliang Army,西凉军伯长,MappedByText,,西凉军校尉,西凉军校尉,True,False,西涼軍校尉,MappedByText,,西涼軍校尉,西涼軍校尉
ceo_nodes_title_hv_ancillary_liu_limin_huilans_armour_unique,Lady Liu's Robes,刘氏的长袍,MappedByPattern,,刘夫人的长袍,刘氏的护甲,True,True,劉氏的長袍,MappedByPattern,,劉夫人的長袍 ,劉氏的護甲
ceo_nodes_title_hv_ancillary_sogd_officer,Sogdian Officer,粟特士官,MappedByText,,粟特士官,粟特校尉,True,True,粟特士官,MappedByText,,粟特士官,粟特校尉
ceo_nodes_title_hv_ancillary_white_horse_fellows_officer,White Horse Fellows Officer,白马义从士官,MappedByText,,白马义从士官,白马校尉,True,True,白馬義從士官,MappedByText,,白馬義從士官,白馬校尉
ceo_nodes_title_hv_ancillary_yuan_officer,House Yuan's Officer,袁氏士官,MappedByText,,袁氏士官,袁氏校尉,True,True,袁氏士官,MappedByText,,袁氏士官,袁氏校尉
ceo_nodes_title_hv_ceo_node_career_historical_jiang_qin_01,Bandit Slayer,荡寇将军,MappedByText,,荡寇将军,荡寇虎臣,True,True,蕩寇將軍,MappedByText,,蕩寇將軍,蕩寇虎臣
ceo_nodes_title_hv_ceo_node_career_historical_yuan_yao_01,Scion,袁术之子,MappedByText,,袁术之子,仲氏传人,True,True,袁術之子,MappedByText,,袁術之子,仲氏傳人
ceo_nodes_title_hv_ceo_node_career_non_deployable_liu_limin,Devoted Mother,躬亲主母,MappedByText,,躬亲主母,忌害美妇,True,True,躬親主母,MappedByText,,躬親主母,忌害美婦
ceo_nodes_title_hv_ceo_node_career_non_deployable_type_1,Hostess,女主人,MappedByText,,女主人,母主,True,True,女主人,MappedByText,,女主人,母主
ceo_nodes_title_hv_ceo_node_faction_rank_unlock_dan_yang,Legacy of Tao Qian,陶谦余部,MappedByText,,陶谦余部,陶谦残党,True,True,陶謙餘部,MappedByText,,陶謙餘部,陶謙殘黨
ceo_nodes_title_hv_ceo_node_faction_rank_unlock_legacy_lu_bu,Legacy of Lu Bu,吕布余部,MappedByText,,吕布余部,吕布残党,True,True,呂布餘部,MappedByText,,呂布餘部,呂布殘黨
