Skill,eng,zh-cn,zh-tw,Key,File
3k_main_ability_elegant_and_cultured,Deft Touch,龙韬,龍韜,unit_abilities_onscreen_name_3k_main_ability_elegant_and_cultured,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_elegant_and_cultured,Her cultured and considerate approach boosts the army’s fighting skill and spirit.,熟读兵书，精通兵法之将领可令千人有万人之威。,熟讀兵書，精通兵法之將領可令千人有萬人之威。,unit_abilities_tooltip_text_3k_main_ability_elegant_and_cultured,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_guardian,Guardian,卫足,衛足,unit_abilities_onscreen_name_3k_main_ability_guardian,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_guardian,A noble guardian protects his people at all costs.,百姓卫士，民为其足,百姓衛士，民爲其足,unit_abilities_tooltip_text_3k_main_ability_guardian,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_hope_of_nam_viet,Hope of Nam Viet,民意,民意,unit_abilities_onscreen_name_3k_main_ability_hope_of_nam_viet,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_hope_of_nam_viet,The hopes of her people rest squarely on her shoulders; Lady Trieu will not fail them.,身背骆越人民的希望，赵贞娘绝不会退缩。,身背駱越人民的希望，趙貞娘絕不會退縮。,unit_abilities_tooltip_text_3k_main_ability_hope_of_nam_viet,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_lady_dong_cruel_command,Cruel Command,强令,強令,unit_abilities_onscreen_name_3k_main_ability_lady_dong_cruel_command,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_lady_dong_cruel_command,“Protect me! Sacrifice your life if you must!”,宁舍尔命，也得保障夫人毫发无伤。,寧舍爾命，也得保障夫人毫髮無傷。,unit_abilities_tooltip_text_3k_main_ability_lady_dong_cruel_command,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_lament,Lament,恸哭,慟哭,unit_abilities_onscreen_name_3k_main_ability_lament,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_lament,How did the state of affairs end up so dire...,梨花带雨，我见犹怜。,梨花帶雨，我見猶憐。,unit_abilities_tooltip_text_3k_main_ability_lament,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_last_resist,Perpetual Devotion,背水,背水,unit_abilities_onscreen_name_3k_main_ability_last_resist,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_last_resist,"Revered for his allegiance to his Lord and his cause, Shen Pei shall never retreat as long as his Lord’s interests are threatened.",就算被围，也拒不投降，背水一战。,就算被圍，也拒不投降，背水一戰。,unit_abilities_tooltip_text_3k_main_ability_last_resist,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_loyal_advice,Sound Advice,劝谏,勸諫,unit_abilities_onscreen_name_3k_main_ability_loyal_advice,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_loyal_advice,Yan Xiang’s calculated and prudent counsel prevails again and again.,「昔周自后稷至于文王，积德累功，三分天下有其二，犹服事殷。明公虽奕世克昌，未若有周之盛，汉室虽微，未若殷纣之暴也。」,「昔周自後稷至於文王，積德累功，三分天下有其二，猶服事殷。明公雖奕世克昌，未若有周之盛，漢室雖微，未若殷紂之暴也。」,unit_abilities_tooltip_text_3k_main_ability_loyal_advice,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_martial_prodigy,Martial Prodigy,异禀,異稟,unit_abilities_onscreen_name_3k_main_ability_martial_prodigy,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_martial_prodigy,"Lü Ji, gifted with uncanny martial talent and the ambition to hone her skills, wreaks havoc on the battlefield.",父为吕奉先，吕姬天赋异禀。,父爲呂奉先，呂姬天賦異稟。,unit_abilities_tooltip_text_3k_main_ability_martial_prodigy,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_mercy_of_the_forest,Mercy of the Forest,琼林,瓊林,unit_abilities_onscreen_name_3k_main_ability_mercy_of_the_forest,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_mercy_of_the_forest,"The favor of nature, though bountiful, does not come often.",来自于自然的恩惠，可是不可多得的。,來自於自然的恩惠，可是不可多得的。,unit_abilities_tooltip_text_3k_main_ability_mercy_of_the_forest,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_order_of_tyrant,Order of the Tyrant,遮天,遮天,unit_abilities_onscreen_name_3k_main_ability_order_of_tyrant,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_order_of_tyrant,The roar of the tyrant hardens even the most cowardly soldier.,暴君的怒吼能让最懦弱的士兵也士气高昂，坚如磐石。,暴君的怒吼能讓最懦弱的士兵也士氣高昂，堅如磐石。,unit_abilities_tooltip_text_3k_main_ability_order_of_tyrant,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_shadow_of_the_black_mountain,Shadow of the Black Mountain,黑影,黑影,unit_abilities_onscreen_name_3k_main_ability_shadow_of_the_black_mountain,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_shadow_of_the_black_mountain,Legends speak of a woman who slips in and out of the shadows of Heishan...,传黑山有一女，能如遁迹匿影，来去自如。,傳黑山有一女，能如遁跡匿影，來去自如。,unit_abilities_tooltip_text_3k_main_ability_shadow_of_the_black_mountain,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_tantrum,Tantrum,痛斥,痛斥,unit_abilities_onscreen_name_3k_main_ability_tantrum,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_tantrum,"Most men would voluntarily take on an entire army alone, if it means escaping the tantrum of this insufferable child.",将士宁可上阵出生入死，也不肯在营中被将军责骂。,將士寧可上陣出生入死，也不肯在營中被將軍責罵。,unit_abilities_tooltip_text_3k_main_ability_tantrum,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_tragic_foresight,Unfortunate Foresight,止战,止戰,unit_abilities_onscreen_name_3k_main_ability_tragic_foresight,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_tragic_foresight,One cannot save one’s friends from impending disaster if they do not listen.,为国者以民为基，民以衣食为本。,爲國者以民爲基，民以衣食爲本。,unit_abilities_tooltip_text_3k_main_ability_tragic_foresight,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_xianchenying,Charge Forward,马首,馬首,unit_abilities_onscreen_name_3k_main_ability_xianchenying,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_xianchenying,"Under Zhang Xun’s leadership, his army is truly invincible.",张勋领军，当世无双。,張勳領軍，當世無雙。,unit_abilities_tooltip_text_3k_main_ability_xianchenying,[03]__MTU_skills__Active_buff.loc.tsv
3k_main_ability_calculated_judgment,Element of Surprise,奇袭,奇襲,unit_abilities_onscreen_name_3k_main_ability_calculated_judgment,[03]__MTU_skills__Active_debuff.loc.tsv
3k_main_ability_calculated_judgment,"By anticipating the enemy’s movement, Yan Xiang is able to outmaneuver and catch them off-guard.",出其不意，瓮中捉鳖。,出其不意，甕中捉鱉。,unit_abilities_tooltip_text_3k_main_ability_calculated_judgment,[03]__MTU_skills__Active_debuff.loc.tsv
3k_main_ability_dignity_of_the_empress,Dignity,自重,氣度不凡,unit_abilities_onscreen_name_3k_main_ability_dignity_of_the_empress,[03]__MTU_skills__Active_debuff.loc.tsv
3k_main_ability_dignity_of_the_empress,"“Tell me your opinion, but do be courteous about it.”",如有要事禀告，务必以礼相待。,如有要事稟告，務必以禮相待。,unit_abilities_tooltip_text_3k_main_ability_dignity_of_the_empress,[03]__MTU_skills__Active_debuff.loc.tsv
3k_main_ability_fatal_attraction,Fatal Attraction,妩媚,嫵媚,unit_abilities_onscreen_name_3k_main_ability_fatal_attraction,[03]__MTU_skills__Active_debuff.loc.tsv
3k_main_ability_fatal_attraction,Those attracted to the charms of Lady Zhu... beware.,「不知夫人今宵愿与我同席共枕否？」,「不知夫人今宵願與我同席共枕否？」,unit_abilities_tooltip_text_3k_main_ability_fatal_attraction,[03]__MTU_skills__Active_debuff.loc.tsv
3k_main_ability_provocation,Provocation,挑衅,挑釁,unit_abilities_onscreen_name_3k_main_ability_provocation,[03]__MTU_skills__Active_debuff.loc.tsv
3k_main_ability_provocation,"“Come on, come on! You’ll have to deal with Liu Bei, Guan Yu, and Zhang Fei first! Haha!”",你难道想在沙场上于刘关张相会？,你難道想在沙場上於劉關張相會？,unit_abilities_tooltip_text_3k_main_ability_provocation,[03]__MTU_skills__Active_debuff.loc.tsv
3k_main_ability_shout,Angry Scolding,懿旨,懿旨,unit_abilities_onscreen_name_3k_main_ability_shout,[03]__MTU_skills__Active_debuff.loc.tsv
3k_main_ability_shout,Stop! How dare you!,诏令在此，不得抗命！,詔令在此，不得抗命！,unit_abilities_tooltip_text_3k_main_ability_shout,[03]__MTU_skills__Active_debuff.loc.tsv
3k_main_ability_thunderous_bellow,Wild Cry,断喝,斷喝,unit_abilities_onscreen_name_3k_main_ability_thunderous_bellow,[03]__MTU_skills__Active_debuff.loc.tsv
3k_main_ability_thunderous_bellow,"So terrifying is Zhang Bao’s booming howl, it has unhorsed enemy generals.",犹如其父亲张飞，张苞的怒吼同样也是响彻云霄。,猶如其父親張飛，張苞的怒吼同樣也是響徹雲霄。,unit_abilities_tooltip_text_3k_main_ability_thunderous_bellow,[03]__MTU_skills__Active_debuff.loc.tsv
3k_main_ability_blood_flower,Vermilion Comet,流星,流星,unit_abilities_onscreen_name_3k_main_ability_blood_flower,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_blood_flower,"Named after the beauty of the shining stars, Zhang Xueer does her namesake justice in battle, becoming a swift rush of death and elegance.",张氏在战场上由于天上流星一般，美丽绝伦却又危险。,張氏在戰場上由於天上流星一般，美麗絕倫卻又危險。,unit_abilities_tooltip_text_3k_main_ability_blood_flower,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_blooming_beauty_xiao_25,Blooming Beauty,芳香,芳香,unit_abilities_onscreen_name_3k_main_ability_blooming_beauty_xiao_25,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_blossoming_beauty,Blossoming Beauty,天仙,天仙,unit_abilities_onscreen_name_3k_main_ability_blossoming_beauty,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_blossoming_beauty,Diaochan knows how to encourage frightened warriors and lead them to battle.,美人一笑，士愿捐躯。,美人一笑，士願捐軀。,unit_abilities_tooltip_text_3k_main_ability_blossoming_beauty,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_breakthrough_in_concentration,Spearhead,讨贼先锋,突擊先鋒,unit_abilities_onscreen_name_3k_main_ability_breakthrough_in_concentration,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_breakthrough_in_concentration, Zhang Xun leads the point of the attack and his men rally around him.,号令三军攻其一处！,號令三軍攻其一處！,unit_abilities_tooltip_text_3k_main_ability_breakthrough_in_concentration,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_broad_Knowledge_1,Broad Knowledge,渊博,淵博,unit_abilities_onscreen_name_3k_main_ability_broad_Knowledge_1,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_broad_Knowledge_1,Her knowledge spreads to fellow generals around her like the veins of a stream.,没人能不被蔡文姬浑身上下都散发着的学识所影响。,沒人能不被蔡文姬渾身上下都散發着的學識所影響。,unit_abilities_tooltip_text_3k_main_ability_broad_Knowledge_1,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_cautious_approach,Cautious Approach,匿形,匿形,unit_abilities_onscreen_name_3k_main_ability_cautious_approach,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_cautious_approach,The bandits’ covert movements and attacks are as swift as they are deadly.,匿影藏形于林宇之间，狠下毒手，攻其敌于不备。,匿影藏形於林宇之間，狠下毒手，攻其敵於不備。,unit_abilities_tooltip_text_3k_main_ability_cautious_approach,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_cheers_of_encouragement,Personal Bodyguard,保帅,保帥,unit_abilities_onscreen_name_3k_main_ability_cheers_of_encouragement,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_cheers_of_encouragement,Protect me!,将帅之安危岂可不保乎？,將帥之安危豈可不保乎？,unit_abilities_tooltip_text_3k_main_ability_cheers_of_encouragement,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_chunyu_qiong_frenzy,Frenzy,狂暴,狂暴,unit_abilities_onscreen_name_3k_main_ability_chunyu_qiong_frenzy,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_chunyu_qiong_frenzy,"Once Yan Liang angers, he can quite literally crush his opponent.",被激怒了的淳于琼，将全力以赴，力战身死。,被激怒了的淳于瓊，將全力以赴，力戰身死。,unit_abilities_tooltip_text_3k_main_ability_chunyu_qiong_frenzy,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_console,Words of Encouragement,振奋,振奮,unit_abilities_onscreen_name_3k_main_ability_console,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_console,"With her behind them, Hou Jinting’s troops battle on with renewed vigor.",主之贤明，将愿捐躯。,主之賢明，將願捐軀。,unit_abilities_tooltip_text_3k_main_ability_console,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_cosy_haven,Safe Haven,回春,回春,unit_abilities_onscreen_name_3k_main_ability_cosy_haven,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_cosy_haven,Yuan Anyang’s grace and personality exude warmth.,冬去春来，生机勃发。,冬去春來，生機勃發。,unit_abilities_tooltip_text_3k_main_ability_cosy_haven,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_coward_a50,Coward,懦夫,懦夫,unit_abilities_onscreen_name_3k_main_ability_coward_a50,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_coward_a50,"When possessing power or authority, he behaves superciliously.",董旻只敢仗势欺人。,董旻只敢仗勢欺人。,unit_abilities_tooltip_text_3k_main_ability_coward_a50,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_eloquent_speaker_1,Eloquent Speaker,铁舌,鐵舌,unit_abilities_onscreen_name_3k_main_ability_eloquent_speaker_1,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_eloquent_speaker_1,"Cai Yan’s word inspired emotion in the arts and, now, that language gives life to the battlefield.",能言雄辩之人有时甚于一员猛将。,能言雄辯之人有時甚於一員猛將。,unit_abilities_tooltip_text_3k_main_ability_eloquent_speaker_1,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_encouragement_25,Encouragement,金鼓,金鼓,unit_abilities_onscreen_name_3k_main_ability_encouragement_25,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_encouragement_25,Your spirit will be remembered forever.,将士们的所做所为将流芳百世！,將士們的所做所爲將流芳百世！,unit_abilities_tooltip_text_3k_main_ability_encouragement_25,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_experienced_rider,People of the Horse,骐骥,騏驥,unit_abilities_onscreen_name_3k_main_ability_experienced_rider,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_experienced_rider,The Qiang are on horseback before they can walk; their horsemanship is second nature.,羌人自小学习骑术，骑术十分了得。,羌人自小學習騎術，騎術十分了得。,unit_abilities_tooltip_text_3k_main_ability_experienced_rider,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_father_daughter,Two-Headed Dragon,龙虎,龍虎,unit_abilities_onscreen_name_3k_main_ability_father_daughter,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_father_daughter,"Father and daughter, together in battle, is an ill omen for their rivals as was the mythical Hong.",父女同心，无往不利。,父女同心，無往不利。,unit_abilities_tooltip_text_3k_main_ability_father_daughter,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_ferocious_rush,Bullheaded Wrath,浴血,浴血,unit_abilities_onscreen_name_3k_main_ability_ferocious_rush,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_ferocious_rush,"As the fight goes on, Chunyu Qiong’s rage and stubbornness will turn him into a reckless, but powerful fighter, rushing in the thick of battle over and over.",怒火中烧，浴血奋战。,怒火中燒，浴血奮戰。,unit_abilities_tooltip_text_3k_main_ability_ferocious_rush,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_flower_on_the_battlefield,Flower on the Battlefield,龙女,龍女,unit_abilities_onscreen_name_3k_main_ability_flower_on_the_battlefield,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_flower_on_the_battlefield,"Beneath the beauty, there lives a beast.",美貌之下，藏着一头桀骜不驯的猛兽。,美貌之下，藏着一頭桀驁不馴的猛獸。,unit_abilities_tooltip_text_3k_main_ability_flower_on_the_battlefield,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_forced_march,Forced March,兴师,興師,unit_abilities_onscreen_name_3k_main_ability_forced_march,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_forced_march,Lazy bastard! Move it!,你这厮，还不快接着走！,你這廝，還不快接着走！,unit_abilities_tooltip_text_3k_main_ability_forced_march,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_indiscriminate_charge,Indiscriminate Charge,困兽,困獸,unit_abilities_onscreen_name_3k_main_ability_indiscriminate_charge,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_indiscriminate_charge,"Strong of will, but without tact. Shen Pei charges into the fray without hesitation, pushing his men with him, willing to win by determination alone.",独拥残兵守邺城，审配慷慨壮烈。,獨擁殘兵守鄴城，審配慷慨壯烈。,unit_abilities_tooltip_text_3k_main_ability_indiscriminate_charge,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_lucky_pearl,Lucky Pearl,松柏,松柏,unit_abilities_onscreen_name_3k_main_ability_lucky_pearl,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_lucky_pearl,"This special pearl, gifted by Zhang Fei, has protected Guan Yinping from all kinds of danger","「漫道无华争俏丽,长青更胜一时芳。」","「漫道無華爭俏麗,長青更勝一時芳。」",unit_abilities_tooltip_text_3k_main_ability_lucky_pearl,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_persistent_combat,False Retreat,血斗,血鬥,unit_abilities_onscreen_name_3k_main_ability_persistent_combat,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_persistent_combat,"Huang Zu feigns retreat, only to rapidly re-engage the unsuspecting enemy and give his men the upperhand.",即使是逆境之下，黄祖也不会退缩。,即使是逆境之下，黃祖也不會退縮。,unit_abilities_tooltip_text_3k_main_ability_persistent_combat,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_prevent_assassination1,Die Hard,砥柱,砥柱,unit_abilities_onscreen_name_3k_main_ability_prevent_assassination1,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_prevent_assassination1,Luo Jun has survived several attempts on his life.,遭扰攘之时，值兵革之际。,遭擾攘之時，值兵革之際。,unit_abilities_tooltip_text_3k_main_ability_prevent_assassination1,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_prevent_assassination2,Luo Jun has survived several assassination attempts,遭扰攘之时，值兵革之际。,遭擾攘之時，值兵革之際。,unit_abilities_tooltip_text_3k_main_ability_prevent_assassination2,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_pursuit,Pursuit,饿虎,餓虎,unit_abilities_onscreen_name_3k_main_ability_pursuit,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_pursuit,"Once targeted, the enemy cannot escape from Yijian Liting.",猎人猎物，瓮中捉鳖。,獵人獵物，甕中捉鱉。,unit_abilities_tooltip_text_3k_main_ability_pursuit,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_quick_preparation,Quick Preparation,旋踵,旋踵,unit_abilities_onscreen_name_3k_main_ability_quick_preparation,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_quick_preparation,Lu Zheng’s steady and skilled hands know how to strike quickly.,陆政使用长弓手到擒来，总能先人一步拉弓搭箭。,陸政使用長弓手到擒來，總能先人一步拉弓搭箭。,unit_abilities_tooltip_text_3k_main_ability_quick_preparation,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_reckless_warrior,Last Stand,熊罴,熊羆,unit_abilities_onscreen_name_3k_main_ability_reckless_warrior,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_reckless_warrior,"Heaven decides the victor, but Chunyu Qiong will not surrender. As death approaches, he redoubles his efforts in a desperate last stand.",奋不顾身，得失难记。,奮不顧身，得失難記。,unit_abilities_tooltip_text_3k_main_ability_reckless_warrior,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_sister_bandits,Sister Outlaws,沆瀣,沆瀣,unit_abilities_onscreen_name_3k_main_ability_sister_bandits,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_sister_bandits,"The Zhu sisters have pledged to live, fight, and die together.",臭味相投，不求同生，只求共死。,臭味相投，不求同生，只求共死。,unit_abilities_tooltip_text_3k_main_ability_sister_bandits,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_story_telling_1,Storytelling,妙语,妙語,unit_abilities_onscreen_name_3k_main_ability_story_telling_1,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_story_telling_1,"Even on the battlefield, witty talk boosts your energy.",能言之人在就算战场上也能用唇舌鼓舞三军。,能言之人在就算戰場上也能用脣舌鼓舞三軍。,unit_abilities_tooltip_text_3k_main_ability_story_telling_1,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_tiger_son,Blood Rush,虎翼,虎翼,unit_abilities_onscreen_name_3k_main_ability_tiger_son,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_tiger_son,"Zhang Bao charges mightily into the enemy, heedless of any dangers.",「亮以张苞为虎翼将军，杖前右护卫使。」,「亮以張苞爲虎翼將軍，杖前右護衛使。」,unit_abilities_tooltip_text_3k_main_ability_tiger_son,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_tyrants_gaze,Tyrant's Gaze,狼视,狼視,unit_abilities_onscreen_name_3k_main_ability_tyrants_gaze,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_tyrants_gaze,Dong Bai's infernal grandfather always keeps an eye on her.,栖身与暴君鹯狼身旁，董白已练就金刚不坏之身。,棲身與暴君鸇狼身旁，董白已練就金剛不壞之身。,unit_abilities_tooltip_text_3k_main_ability_tyrants_gaze,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_unbreakable_faith,Unbreakable Faith,铁壁,鐵壁,unit_abilities_onscreen_name_3k_main_ability_unbreakable_faith,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_unbreakable_faith,Xun Yu’s firm and unbroken will is an example to all soldiers.,荀彧坚定不移的意志是将士之范。,荀彧堅定不移的意志是將士之範。,unit_abilities_tooltip_text_3k_main_ability_unbreakable_faith,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_unexpected_strike,Unexpected Strike,突袭,突襲,unit_abilities_onscreen_name_3k_main_ability_unexpected_strike,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_unexpected_strike,Who can defend against that which he cannot see?,出其不备，攻其不意。,出其不備，攻其不意。,unit_abilities_tooltip_text_3k_main_ability_unexpected_strike,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_unwed_warrior,Unwed Warrior,处子,處子,unit_abilities_onscreen_name_3k_main_ability_unwed_warrior,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_unwed_warrior, Lady Trieu has devoted her life to the fight for freedom.,为光复骆越而战，岂可浪费时间于男女情长。,爲光復駱越而戰，豈可浪費時間於男女情長。,unit_abilities_tooltip_text_3k_main_ability_unwed_warrior,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_victory_or_death,Death Oath,破甑,破甑,unit_abilities_onscreen_name_3k_main_ability_victory_or_death,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_victory_or_death,"Pang De promises only death - to his adversary, or to himself.",庞德冲锋时不顾自身死活，总是捷足先登。,龐德衝鋒時不顧自身死活，總是捷足先登。,unit_abilities_tooltip_text_3k_main_ability_victory_or_death,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_vigor_of_a_warrior,Vigor of a Warrior,热血,熱血,unit_abilities_onscreen_name_3k_main_ability_vigor_of_a_warrior,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_vigor_of_a_warrior,Ma Yunlu disregards fatigue as she fights and rages in combat.,马云禄战起来称其为废寝忘食也不为过。,馬雲祿戰起來稱其爲廢寢忘食也不爲過。,unit_abilities_tooltip_text_3k_main_ability_vigor_of_a_warrior,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_youthful_vigor,Youthful Vigor,稚虎,稚虎,unit_abilities_onscreen_name_3k_main_ability_youthful_vigor,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_ability_youthful_vigor,"Gaun Xing drives his men without mercy, yet it always proves effective.",关兴对他的手下也从不手下留情，这令他的部曲令人生畏。,關興對他的手下也從不手下留情，這令他的部曲令人生畏。,unit_abilities_tooltip_text_3k_main_ability_youthful_vigor,[03]__MTU_skills__Passive_buff.loc.tsv
3k_main_skill_special_ability_metal_blooming_beauty_xiao,Yuan Anyang’s unabating beauty encourages the soldiers and drives them to fight more passionately.,美妙的芬芳在前线总能鼓舞将士们勇猛杀敌。,美妙的芬芳在前線總能鼓舞將士們勇猛殺敵。,character_skills_localised_description_3k_main_skill_special_ability_metal_blooming_beauty_xiao,[03]__MTU_skills__Passive_buff.loc.tsv
