Text,Mapped,Count,Override (manual),Override (pattern),C1,Unit type,Unit name,Unit key,Old,File,Duplicated,zhtw
A display of unstoppable fury.,展現出勢不可擋的憤怒。,0,展現出勢不可擋的憤怒。,,,,,,,,FALSE,TRUE
"A few days after you and your men began searching the mountains, you come across an incredible sight. The den of a large white tiger and its family. The men are intimidated by its size and implore you to go back. You feel as if the massive tiger is staring at you.",,0,,,,,,,,,FALSE,TRUE
A few of your officers have gained additional experience.,您的一些官員獲得額外經驗。,0,您的一些官員獲得額外經驗。,,,,,,,,FALSE,TRUE
A fierce wind blows.,狂風大作。,0,狂風大作。,,,,,,,,FALSE,TRUE
A flurry of shafts slows the enemy advance.,,0,,,,,,,,,FALSE,TRUE
A focus on form allows one to evade and manoeuvre.,,0,,,,,,,,,FALSE,TRUE
A forest friendly man.,此人與林爲友。,0,此人與林爲友。,,,,,,,,FALSE,TRUE
A furious strike that sends anyone nearby reeling.,,0,,,,,,,,,FALSE,TRUE
A group of unusual men sporting shaved heads disembark from a ship.  They claim to have journeyed from distant lands to spread the teachings of Buddha. Perhaps it will be worth supporting them?,從船上下來一群剃光頭的異人。他們自稱從遙遠地方來此傳播佛道。也許值得支持他們？,0,從船上下來一群剃光頭的異人。他們自稱從遙遠地方來此傳播佛道。也許值得支持他們？,,,,,,,,FALSE,TRUE
"A heavy bow made of iron is not easy to use for ordinary archers. \\n\n The range is rather short due to the strong tension and heavy arrowheads, but the arrows will penetrate the enemy. \\n\n This unit is heavily armed with ironclad, and in close combat, it cuts enemy troops with direct distribution.",,0,,,,,,,,,FALSE,TRUE
"A hero's resolve is not to seem the bravest, but to be it.",,0,,,,,,,,,FALSE,TRUE
A lifetime spent learning the ways of heaven will turn thoughts into belief.,,0,,,,,,,,,FALSE,TRUE
A look at the battlefield with remarkable insight.,,0,,,,,,,,,FALSE,TRUE
A master of the battlefield can undermine even the surest of soldiers.,,0,,,,,,,,,FALSE,TRUE
"A merciless order, for Dong Zhuo's men and his enemies.",,0,,,,,,,,,FALSE,TRUE
A moment's respite from battlefield to heal our troops.,從戰場上喘息片刻，為我軍療傷。,0,從戰場上喘息片刻，為我軍療傷。,,,,,,,,FALSE,TRUE
A mysterious sword from the West. ,西域而來的神秘寶劍。,0,西域而來的神秘寶劍。,,,,,,,,FALSE,TRUE
A new regime is coming into power.,新政權開始建立。,0,新政權開始建立。,,,,,,,,FALSE,TRUE
A noble messenger.,一名高貴的信使。,0,一名高貴的信使。,,,,,,,,FALSE,TRUE
A place to trade with the natives.,與土著交易之處。,0,與土著交易之處。,,,,,,,,FALSE,TRUE
A place where great teachers and passionate students gather.,賢師高徒匯聚之所。,0,賢師高徒匯聚之所。,,,,,,,,FALSE,TRUE
A prince's retinue reflects their glory in splendour. These brave cavalrymen match their splendour with equal prowress in battle.,,0,,,,,,,,,FALSE,TRUE
A quiet but enthusiastic supporter.,安靜但熱情的支持者。,0,安靜但熱情的支持者。,,,,,,,,FALSE,TRUE
"A reckless charge, inspiring but exhausting!",,0,,,,,,,,,FALSE,TRUE
A regiment of the Northern Army will join your faction.,一個北軍兵團會加入您的勢力。,0,一個北軍兵團會加入您的勢力。,,,,,,,,FALSE,TRUE
A remarkable talent.,才華橫溢,0,才華橫溢,,,,,,,,FALSE,TRUE
"A shabby warband requests to join your faction. After Lu Bu's defeat, his daughter Lu Ji seems to have been leading the survivors. However, granting them sanctuary may cause their enemies to come after us.",一隻殘軍請求加入您的勢力。呂布戰敗後，其女呂姬收攏潰卒。然而，接納他們可能會惹惱呂布之敵。,0,一隻殘軍請求加入您的勢力。呂布戰敗後，其女呂姬收攏潰卒。然而，接納他們可能會惹惱呂布之敵。,,,,,,,,FALSE,TRUE
"A shabby warband requests to join your faction. After Yuan Shu's defeat, his generals Zhang Xun, Ji Ling and Yan Xiang to have been leading the survivors. However, granting them sanctuary may cause their enemies to come after us.",一隻殘軍請求加入您的勢力。袁術戰敗後，其部將張勳，紀靈及閻象收攏潰卒。然而，接納他們可能會惹惱袁術之敵。,0,一隻殘軍請求加入您的勢力。袁術戰敗後，其部將張勳，紀靈及閻象收攏潰卒。然而，接納他們可能會惹惱袁術之敵。,,,,,,,,FALSE,TRUE
"A shining, typical, and above all appropriate model of how one should be.",,0,,,,,,,,,FALSE,TRUE
A shout to inspire soldiers.,,0,,,,,,,,,FALSE,TRUE
"A single shot, timed and aimed to perfection, outweighs a thousand wasted volleys.",,0,,,,,,,,,FALSE,TRUE
A special arrow containing a toxic substance.,含有有毒物質的特殊箭頭。,0,含有有毒物質的特殊箭頭。,,,,,,,,FALSE,TRUE
A successful hunt,狩獵成功,0,狩獵成功,,,,,,,,FALSE,TRUE
A war cry from one warrior to another.,,0,,,,,,,,,FALSE,TRUE
A warrior who feels truly alive in battle.,以戰爲生的勇士。,0,以戰爲生的勇士。,,,,,,,,FALSE,TRUE
A warrior will only fight at their best when they are sure-footed.,,0,,,,,,,,,FALSE,TRUE
A yellow turban warband has invaded your territory. You must defeat them.,有黃巾軍侵入主公領地，須從速討敵。,0,有黃巾軍侵入主公領地，須從速討敵。,,,,,,,,FALSE,TRUE
Ability: A Secret Plan,技能：一條密計,0,,,,,,,,,FALSE,TRUE
Ability: A Storm of Swords,技能：劍刃風暴,0,,,,,,,,,FALSE,TRUE
Ability: Adamant Resolve,技能：堅定不移,0,,,,,,,,,FALSE,TRUE
Ability: Analyse Weakness,技能：分析弱點,0,,,,,,,,,FALSE,TRUE
Ability: Anti-Cavalry Tactics,技能：反騎兵戰術,0,,,,,,,,,FALSE,TRUE
Ability: Assemble,技能：集結,0,,,,,,,,,FALSE,TRUE
Ability: Binding Fury,技能：怒不可抑,0,,,,,,,,,FALSE,TRUE
Ability: Blade Breaker,技能：堅甲破刃,0,,,,,,,,,FALSE,TRUE
Ability: Blade Mastery,,0,,,,,,,,,FALSE,TRUE
Ability: Blazing Roar,技能：燃燒之吼,0,,,,,,,,,FALSE,TRUE
Ability: Blazing Saddles,技能：炙熱馬鞍,0,,,,,,,,,FALSE,TRUE
Ability: Bloody Fury,技能：鮮血之怒,0,,,,,,,,,FALSE,TRUE
Ability: Brawl,技能：毆打,0,,,,,,,,,FALSE,TRUE
Ability: Brute Power,技能：愈戰愈怒,0,,,,,,,,,FALSE,TRUE
Ability: Burning Soul,技能：燃燒元神,0,,,,,,,,,FALSE,TRUE
Ability: Commanding Shout,技能：號令吶喊,0,,,,,,,,,FALSE,TRUE
Ability: Condemn,技能：譴責,0,,,,,,,,,FALSE,TRUE
Ability: Condemned Howl,技能：天譴之嘯,0,,,,,,,,,FALSE,TRUE
Ability: Courage of Eastern Wu,技能：東吳之勇,0,,,,,,,,,FALSE,TRUE
Ability: Cruel Command,,0,,,,,,,,,FALSE,TRUE
Ability: Cry of the Forest,技能：森林戰嚎,0,,,,,,,,,FALSE,TRUE
Ability: Desperate Cry,技能：慘烈呼喊,0,,,,,,,,,FALSE,TRUE
Ability: Devastating Roar,技能：毀滅之吼,0,,,,,,,,,FALSE,TRUE
Ability: Disorientate,技能：打亂方向,0,,,,,,,,,FALSE,TRUE
Ability: Distant Courage,技能：千里助勢,0,,,,,,,,,FALSE,TRUE
Ability: Disturb,技能：攪擾,0,,,,,,,,,FALSE,TRUE
Ability: Dong Zhuo's Command,,0,,,,,,,,,FALSE,TRUE
Ability: Earth-shattering Strike,技能：天崩地裂,0,,,,,,,,,FALSE,TRUE
Ability: Earthen Rampart,技能：大地堡壘,0,,,,,,,,,FALSE,TRUE
Ability: Elemental Vigour,技能：五行之力,0,,,,,,,,,FALSE,TRUE
Ability: Eviscerate,技能：剔骨,0,,,,,,,,,FALSE,TRUE
Ability: Exemplar,技能：為人典範,0,,,,,,,,,FALSE,TRUE
Ability: Favourable Skies,技能：有利天候,0,,,,,,,,,FALSE,TRUE
Ability: Fire Control,技能：火控,0,,,,,,,,,FALSE,TRUE
Ability: Flame Breathing,技能：吐火,0,,,,,,,,,FALSE,TRUE
Ability: Flames of the Phoenix,技能：鳳凰之火,0,,,,,,,,,FALSE,TRUE
Ability: Fleet-footed,技能：腳步迅捷,0,,,,,,,,,FALSE,TRUE
Ability: Flower of the Battlefield,,0,,,,,,,,,FALSE,TRUE
Ability: Foresight,技能：縱觀全局,0,,,,,,,,,FALSE,TRUE
Ability: Forest Strider,技能：森林適性,0,,,,,,,,,FALSE,TRUE
Ability: From the Ashes,技能：死灰復燃,0,,,,,,,,,FALSE,TRUE
Ability: Frontline Observation,,0,,,,,,,,,FALSE,TRUE
Ability: Ghost of the woods,,0,,,,,,,,,FALSE,TRUE
Ability: God of War,技能：武聖,0,,,,,,,,,FALSE,TRUE
Ability: Hail of Arrows,技能：箭如雨下,0,,,,,,,,,FALSE,TRUE
Ability: Hamstring,技能：削斷腿筋,0,,,,,,,,,FALSE,TRUE
Ability: Heart Seeker,技能：一箭穿心,0,,,,,,,,,FALSE,TRUE
Ability: Heavenly Grace,技能：天仙氣質,0,,,,,,,,,FALSE,TRUE
Ability: Imperious_presence,,0,,,,,,,,,FALSE,TRUE
Ability: Impetuous Charge,技能：狂暴衝鋒,0,,,,,,,,,FALSE,TRUE
Ability: Indomitable Warrior,技能：無畏之士,0,,,,,,,,,FALSE,TRUE
Ability: Inner Fire,技能：心中真火,0,,,,,,,,,FALSE,TRUE
Ability: Inner Vitality,技能：内在活力,0,,,,,,,,,FALSE,TRUE
Ability: Inspiring Surge,技能：戰意澎湃,0,,,,,,,,,FALSE,TRUE
Ability: Inspiring Words,技能：慷慨陳詞,0,,,,,,,,,FALSE,TRUE
Ability: Internal Blaze,技能：心中烈火,0,,,,,,,,,FALSE,TRUE
Ability: Into the Breach,技能：乘隙而入,0,,,,,,,,,FALSE,TRUE
Ability: Inward Focus,技能：專注內在,0,,,,,,,,,FALSE,TRUE
Ability: Judgement,技能：明察秋毫,0,,,,,,,,,FALSE,TRUE
Ability: Kingmaker,,0,,,,,,,,,FALSE,TRUE
Ability: Knowledge of the Body,技能：身之識見,0,,,,,,,,,FALSE,TRUE
Ability: Knowledge of the Mind,技能：心之識見,0,,,,,,,,,FALSE,TRUE
Ability: Knowledge of the Spirit,技能：靈之識見,0,,,,,,,,,FALSE,TRUE
Ability: Make Calm Down,技能：鎮靜,0,,,,,,,,,FALSE,TRUE
Ability: Mark Target,,0,,,,,,,,,FALSE,TRUE
Ability: Mettlesome Advance,技能：突飛猛進,0,,,,,,,,,FALSE,TRUE
Ability: Mortal Strike,技能：致命一擊,0,,,,,,,,,FALSE,TRUE
Ability: Mountains,,0,,,,,,,,,FALSE,TRUE
Ability: Nature's Ally,,0,,,,,,,,,FALSE,TRUE
Ability: Oil Pot,,0,,,,,,,,,FALSE,TRUE
Ability: One with Heaven,技能：與天合一,0,,,,,,,,,FALSE,TRUE
Ability: One with the Land,技能：與地合一,0,,,,,,,,,FALSE,TRUE
Ability: One with the People,技能：與人合一,0,,,,,,,,,FALSE,TRUE
Ability: Overwhelmming,技能：壓倒之勢,0,,,,,,,,,FALSE,TRUE
Ability: Poison-wind,技能：毒風,0,,,,,,,,,FALSE,TRUE
Ability: Poisoned Blade,技能：淬毒刀刃,0,,,,,,,,,FALSE,TRUE
Ability: Preach,技能：講道,0,,,,,,,,,FALSE,TRUE
Ability: Quickfire,技能：連珠砲,0,,,,,,,,,FALSE,TRUE
Ability: Rage of Lü Bu,,0,,,,,,,,,FALSE,TRUE
Ability: Reckless Strike,技能：蠻橫猛擊,0,,,,,,,,,FALSE,TRUE
Ability: Reign of Terror,技能：恐怖統治,0,,,,,,,,,FALSE,TRUE
Ability: Resolve of the Righteous,技能：大義凜然,0,,,,,,,,,FALSE,TRUE
Ability: Restore,技能：回復,0,,,,,,,,,FALSE,TRUE
Ability: Roar of the Beast,技能：野獸咆哮,0,,,,,,,,,FALSE,TRUE
Ability: Royal Blood,,0,,,,,,,,,FALSE,TRUE
Ability: Scattering Blows,技能：潰散攻擊,0,,,,,,,,,FALSE,TRUE
Ability: Second Chance,技能：餘燼復燃,0,,,,,,,,,FALSE,TRUE
Ability: Show of Force,技能：揚威挫銳,0,,,,,,,,,FALSE,TRUE
Ability: Sight of the Dragon,技能：龍之慧眼,0,,,,,,,,,FALSE,TRUE
Ability: Sinister Strike,技能：險惡一擊,0,,,,,,,,,FALSE,TRUE
Ability: Smouldering Fury,技能：怒火中燒,0,,,,,,,,,FALSE,TRUE
Ability: Stalwart Defender,技能：步步為營,0,,,,,,,,,FALSE,TRUE
Ability: Stength of the Land,技能：大地之力,0,,,,,,,,,FALSE,TRUE
Ability: Stone Bulwark,技能：堅若磐石,0,,,,,,,,,FALSE,TRUE
Ability: Striking Tide,技能：刀浪澎湃,0,,,,,,,,,FALSE,TRUE
Ability: Sundering Strike,技能：開山劈石,0,,,,,,,,,FALSE,TRUE
Ability: Swallow,技能：燕翔,0,,,,,,,,,FALSE,TRUE
Ability: Swift Fingers,技能：十指靈巧,0,,,,,,,,,FALSE,TRUE
Ability: Swift Steps,技能：靈動步伐,0,,,,,,,,,FALSE,TRUE
Ability: Targeted Strikes,技能：精準打擊,0,,,,,,,,,FALSE,TRUE
Ability: Tempered Deflection,技能：鍛甲禦矢,0,,,,,,,,,FALSE,TRUE
Ability: Tenacity of Steel,技能：堅韌如鋼,0,,,,,,,,,FALSE,TRUE
Ability: The Dragon's Gaze,,0,,,,,,,,,FALSE,TRUE
Ability: The weight on the shoulders,,0,,,,,,,,,FALSE,TRUE
Ability: Tracker,技能：追蹤,0,,,,,,,,,FALSE,TRUE
Ability: Turning the Tide,技能：力挽狂瀾,0,,,,,,,,,FALSE,TRUE
Ability: Undying Vow,技能：誓死不屈,0,,,,,,,,,FALSE,TRUE
Ability: Unstoppable,技能：無人可擋,0,,,,,,,,,FALSE,TRUE
Ability: Unyielding Earth,技能：不屈之土,0,,,,,,,,,FALSE,TRUE
Ability: Veil of Darkness,,0,,,,,,,,,FALSE,TRUE
Ability: Vengeance,技能：有仇必報,0,,,,,,,,,FALSE,TRUE
Ability: Warning Shot,技能：警告射擊,0,,,,,,,,,FALSE,TRUE
Ability: Way of the Wind,技能：預測風向,0,,,,,,,,,FALSE,TRUE
Ability: White Tiger,,0,,,,,,,,,FALSE,TRUE
Ability: Whitewater,技能：激流湧升,0,,,,,,,,,FALSE,TRUE
Ability: Wildfire Raider,技能：野火劫匪,0,,,,,,,,,FALSE,TRUE
Ability: Wisdom of the River,技能：河之智慧,0,,,,,,,,,FALSE,TRUE
Ability: Wisdom of the Waterfall,,0,,,,,,,,,FALSE,TRUE
Ability: Wolf,,0,,,,,,,,,FALSE,TRUE
Ability: Zhou the Youth,,0,,,,,,,,,FALSE,TRUE
Absent,缺席 ,0,缺席 ,,,,,,,,FALSE,TRUE
Abundance,,0,,,,,,,,,FALSE,TRUE
Academic Advancement,學術進步,0,學術進步,,,,,,,,FALSE,TRUE
Accept,,0,,,,,,,,,FALSE,TRUE
Accumulating Wealth,,0,,,,,,,,,FALSE,TRUE
Active Ability,,0,,,,,,,,,FALSE,TRUE
Active Buff,,0,,,,,,,,,FALSE,TRUE
Active Debuff,,0,,,,,,,,,FALSE,TRUE
Adamant Resolve,,0,,,,,,,,,FALSE,TRUE
"After an epic struggle, you slay the enormous white tiger. Then, unexpectedly, the other tigers prostrate themselves as if submitting to your might! These white tigers don't seem to be ordinary beasts.",,0,,,,,,,,,FALSE,TRUE
"After centuries, the old Han Dynasty has finally lost the Mandate of Heaven. Yet the people under heaven still suffer from the chaos of war brought by petty warlords and their false claims to the Mandate. My Lord, you must end this. China awaits a ruler who will bring unity and prosperity to the realm. How will you choose to rule the people of China?",,0,,,,,,,,,FALSE,TRUE
Against all odds,,0,,,,,,,,,FALSE,TRUE
Agitation,,0,,,,,,,,,FALSE,TRUE
Agronomy,農藝,0,農藝,,,,,,,,FALSE,TRUE
Aiming Fire,,0,,,,,,,,,FALSE,TRUE
All economic activities have been hampered by the minting of a new coin. We have no choice but to wait for merchants to adjust to the new standard.,所有的經濟活動都因爲新幣的鑄造而受到阻礙。我們別無選擇，只能等待商人們適應新的標準。,0,所有的經濟活動都因爲新幣的鑄造而受到阻礙。我們別無選擇，只能等待商人們適應新的標準。,,,,,,,,FALSE,TRUE
All must take up their tools and participate in the enormous effort of rebuilding society.,眾人皆需拿起工具，參與重建江山社稷的龐大工作。,0,眾人皆需拿起工具，參與重建江山社稷的龐大工作。,,,,,,,,FALSE,TRUE
"Although their palisade walls are an unfortunate necessity, the Shanyue seek only to live in peace.",,0,,,,,,,,,FALSE,TRUE
Always surrounded by people.,周圍總是很多人。,0,周圍總是很多人。,,,,,,,,FALSE,TRUE
"Amongst the hills of Jingchu, the unwary may find themselves tripped upon a caltrop, and slain by the man who laid it.",在荊楚的山中，粗心的人可能會被一把蒺藜絆倒，然後被放它的人殺死。,0,在荊楚的山中，粗心的人可能會被一把蒺藜絆倒，然後被放它的人殺死。,,,,,,,,FALSE,TRUE
An ancient chant that serves as a reminder that Heaven is with the virtuous.,,0,,,,,,,,,FALSE,TRUE
An excellent writing skill.,優秀的寫作能力。,0,優秀的寫作能力。,,,,,,,,FALSE,TRUE
"An illustrious lineage provides many swords, along with men willing to wield them.",顯赫的血統可以使許多劍士願意效命。,0,顯赫的血統可以使許多劍士願意效命。,,,,,,,,FALSE,TRUE
An immovable mountain against the tide of the charge.,任由驚濤拍岸，我自不動如山。,0,任由驚濤拍岸，我自不動如山。,,,,,,,,FALSE,TRUE
An imperial ancestral rite is being held...,正在舉行皇家祭祀儀式…… ,0,正在舉行皇家祭祀儀式…… ,,,,,,,,FALSE,TRUE
An inevitable rule to stabilize the turmoil.,嚴政方能定亂。,0,嚴政方能定亂。,,,,,,,,FALSE,TRUE
An outnumbered army will fight even harder. Skill trumps numbers.,,0,,,,,,,,,FALSE,TRUE
Analyse Weakness,,0,,,,,,,,,FALSE,TRUE
Anger pushes their limits.,憤怒把他們逼至極限。,0,憤怒把他們逼至極限。,,,,,,,,FALSE,TRUE
Animal Handlers (Buqu),馴獸師（部曲）,0,,,,,,,,,FALSE,TRUE
Animal Handlers (Elite),馴獸師（精銳）,0,,,,,,,,,FALSE,TRUE
Animal Handlers (Militia),馴獸師（義勇）,0,,,,,,,,,FALSE,TRUE
Anti-Cavalry Tactics,反騎兵戰術,0,反騎兵戰術,,,,,,,,FALSE,TRUE
"Anti-Cavalry, Average Armour-Piercing Damage",反騎兵，穿甲傷害一般,0,反騎兵，穿甲傷害一般,,,,,,,,FALSE,TRUE
"Anti-Cavalry, High Armour-Piercing Damage",反騎兵，穿甲傷害高,0,反騎兵，穿甲傷害高,,,,,,,,FALSE,TRUE
"Anti-Cavalry, High Armour-Piercing Damage, Break Enemy's Shield",反騎兵，穿甲傷害高，破盾,0,反騎兵，穿甲傷害高，破盾,,,,,,,,FALSE,TRUE
"Anti-Cavalry, Low Armour-Piercing Damage",反騎兵，穿甲傷害低,0,反騎兵，穿甲傷害低,,,,,,,,FALSE,TRUE
Archery Masters,,0,,,,,,,,,FALSE,TRUE
Argumentative and annoying scholars.,好辯又煩人的學者。,0,好辯又煩人的學者。,,,,,,,,FALSE,TRUE
Arm of the Supreme Peace,,0,,,,,,,,,FALSE,TRUE
"Armed with bow and sword, these disciplined riders enforce the will of their warlord.",佩戴劍弓，這些紀律嚴明的騎手執行他們主公的意志。,0,佩戴劍弓，這些紀律嚴明的騎手執行他們主公的意志。,,,,,,,,FALSE,TRUE
"Armed with bow and sword, these hardy soldiers enforce the will of their warlord.",佩戴劍弓，這些硬朗的士兵執行他們主公的意志。,0,佩戴劍弓，這些硬朗的士兵執行他們主公的意志。,,,,,,,,FALSE,TRUE
Armour Breaker,,0,,,,,,,,,FALSE,TRUE
Armour broken.,,0,,,,,,,,,FALSE,TRUE
Armour protects precious warhorses from enemy projectiles.,,0,,,,,,,,,FALSE,TRUE
Army,,0,,,,,,,,,FALSE,TRUE
Army Reinforcement,軍隊補員,0,軍隊補員,,,,,,,,FALSE,TRUE
Army of the Great Banner,集兵練卒,0,集兵練卒,,,,,,,,FALSE,TRUE
Artillery,遠程砲兵,0,遠程砲兵,,,,,,,,FALSE,TRUE
Artillery (Buqu),遠程砲兵（部曲）,0,,,,,,,,,FALSE,TRUE
Artillery (Elite),遠程砲兵（精銳）,0,,,,,,,,,FALSE,TRUE
Artillery (Militia),遠程砲兵（義勇）,0,,,,,,,,,FALSE,TRUE
"As Sun Ce's strength rises, his grip on rationality weakens…",,0,,,,,,,,,FALSE,TRUE
"As the Black Mountain bandits increase in number, the more brazen they become.",黑山匪徒之數與日俱增，其行為亦更加肆無忌憚。,0,黑山匪徒之數與日俱增，其行為亦更加肆無忌憚。,,,,,,,,FALSE,TRUE
"As the enemy spots the blue turbans on the field, they know the hardest fighting is about to begin.",當敵人在戰場上看到藍色頭巾時，他們就知道最艱苦的戰鬥即將開始。,0,當敵人在戰場上看到藍色頭巾時，他們就知道最艱苦的戰鬥即將開始。,,,,,,,,FALSE,TRUE
Assassination Attempt!,,0,,,,,,,,,FALSE,TRUE
Assemble,集結,0,集結,,,,,,,,FALSE,TRUE
Assignments,,0,,,,,,,,,FALSE,TRUE
At the beginning of a new journey all must learn the new way.,,0,,,,,,,,,FALSE,TRUE
"At the head of charge they draw their spears, driving home with a righteous cry!",,0,,,,,,,,,FALSE,TRUE
Attached Building,,0,,,,,,,,,FALSE,TRUE
Attend,出席 ,0,出席 ,,,,,,,,FALSE,TRUE
Authority,權威,0,權威,,,,,,,,FALSE,TRUE
"Average Hit Rate, Average Armour-Piercing Damage",命中率一般，穿甲傷害一般,0,命中率一般，穿甲傷害一般,,,,,,,,FALSE,TRUE
"Average Hit Rate, High Armour-Piercing Damage",命中率一般，穿甲傷害高,0,命中率一般，穿甲傷害高,,,,,,,,FALSE,TRUE
"Average Hit Rate, Multi-Role",命中率一般，多重角色,0,命中率一般，多重角色,,,,,,,,FALSE,TRUE
"Average Range, Low Armour-Piercing Damage, Fast Reload",一般距離，穿甲傷害低，射擊速率快,0,一般距離，穿甲傷害低，射擊速率快,,,,,,,,FALSE,TRUE
Azure Dragons,,0,,,,,,,,,FALSE,TRUE
Bandit Hunters,盜賊獵人,0,,,,,,,,,FALSE,TRUE
Bandit Marauders,盜賊掠奪者,0,,,,,,,,,FALSE,TRUE
Bandit Queen,,0,,,,,,,,,FALSE,TRUE
Bandit Raiders,盜賊劫匪,0,,,,,,,,,FALSE,TRUE
Bandit Slayer,蕩寇將軍,0,蕩寇將軍,,,,,,,,FALSE,TRUE
Bandit Spear Gang,盜賊槍兵團,0,,,,,,,,,FALSE,TRUE
Bandit Warriors,盜賊戰士,0,,,,,,,,,FALSE,TRUE
Banditry,,0,,,,,,,,,FALSE,TRUE
Bandits Captain,盜賊校尉,0,,,,,,,,,FALSE,TRUE
Barded,,0,,,,,,,,,FALSE,TRUE
Barn Swallows,燕子兵,0,燕子兵,,,,,,,,FALSE,TRUE
Battle Trance,亂戰,0,亂戰,,,,,,,,FALSE,TRUE
Be cunning and full of tricks and your people shall never be destroyed.,,0,,,,,,,,,FALSE,TRUE
"Being a tribal people, the Shanyue are unused to the urban and decadent cities of the Han and prefer a life in encamped in the wilderness. Although not nomadic, the hill tribes are nevertheless a more pastoral, agricultural peoples. \\n\\n From their camps, they can both tend to their needs as a people and prepare themselves, militarily, for the ever-present and increasing threat of invasion from the North.",,0,,,,,,,,,FALSE,TRUE
Binding Fury,,0,,,,,,,,,FALSE,TRUE
Black Mountain,黑山,0,黑山,,,,,,,,FALSE,TRUE
Black Mountain / Opportunistic Alignment,黑山 / 趨利之盟,0,黑山 / 趨利之盟,,,,,,,,FALSE,TRUE
Black Mountain Bandits Axemen,黑山匪徒斧兵,0,,,,,,,,,FALSE,TRUE
Black Mountain Bandits Spearmen,黑山匪徒長槍兵,0,,,,,,,,,FALSE,TRUE
Black Mountain Brotherhood,,0,,,,,,,,,FALSE,TRUE
Black Mountain bandits exploit the chaos to bolster their numbers.,黑山贼乘乱以增其之数。,0,黑山贼乘乱以增其之数。,,,,,,,,FALSE,TRUE
Black Mountain: Few,黑山：量小力微,0,黑山：量小力微,,,,,,,,FALSE,TRUE
Black Mountain: Formidable,黑山：望而生畏,0,黑山：望而生畏,,,,,,,,FALSE,TRUE
Black Mountain: Organised,黑山：同心協力,0,黑山：同心協力,,,,,,,,FALSE,TRUE
Black Mountain: Overwhelming,黑山：勢不可遏,0,黑山：勢不可遏,,,,,,,,FALSE,TRUE
Black Mountain: Scattered,黑山：四散而逃,0,黑山：四散而逃,,,,,,,,FALSE,TRUE
Blade Breaker,,0,,,,,,,,,FALSE,TRUE
Blade Mastery,,0,,,,,,,,,FALSE,TRUE
Blazing Roar,,0,,,,,,,,,FALSE,TRUE
