Key,Text,Tooltip,English,OverrideByKey,MappedByText,MappedByPattern,Vanilla,PikaMan,Source,File
building_chains_encyclopedia_name_hv_subtown_garrison,地方巡衛軍序列,True,Vigilante ,,,,,巡守衛隊,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_garrison_sun_jian,士族莊園序列,True,Local Noble's Estate,,士族莊園序列,,,地方豪強,MappedByText,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_han_small_farm,補給管理序列,True,Supply Management,,補給管理序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_nanman,狩獵區序列,True,Hunting Area,,狩獵區序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_nanman_outpost,南境市肆序列,True,Nanman-Han Trading Post,,南境市肆序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_qiang,羌人部落序列,True,Qiang Tribe,,,,,羌人部落,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_shanyue,山越部落序列,True,Shanyue Tribe,,,,,山越部落,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_wuhuan,東胡部落序列,True,Wuhuan Tribe,,,,,烏桓部落,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_xiongnu,匈奴部落序列,True,Xiongnu Tribe,,,,,匈奴部落,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_ytr,太平道序列,False,Yellow Turban Cult,,太平道序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_confucius,賢師高徒匯聚之所。,True,A place where great teachers and passionate students gather.,,賢師高徒匯聚之所。,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_danyang,丹陽人以奮勇著稱。陶謙整備軍隊，訓練有素。,True,The people of Danyang have a reputation for bravery. Tao Qian has turned them into a well-trained army.,,丹陽人以奮勇著稱。陶謙整備軍隊，訓練有素。,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_garrison,巡守衛隊在此地域巡邏，騷擾敵軍。,True,Vigilantes patrol the region and harass enemy armies.,,巡守衛隊在此地域巡邏，騷擾敵軍。,,,巡守衛隊建築序列描述,MappedByText,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_garrison_sun_jian,名門大家所擁有的莊園。,True,The estates of powerful and wealthy families.,,名門大家所擁有的莊園。,,,地方豪強建築序列描述,MappedByText,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_han_small_farm,完善管理本地貨物，回收廢棄物品。,True,Manage local products more thoroughly and convert wasted materials into stockpiles.,,完善管理本地貨物，回收廢棄物品。,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_nanman,部落獵人可爲我們提供額外的食物。,True,Tribal hunters can provide us with additional food.,,部落獵人可爲我們提供額外的食物。,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_nanman_outpost,與南境蠻人交易的場所。,True,A place to trade with the natives.,,與南境蠻人交易的場所。,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_qiang,這些部落不願歸順朝廷，但卻願意提供軍事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",,,,,這些部落不願歸化，但願意提供軍事援助。,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_shanyue,這些部落不願歸順朝廷，但卻願意提供軍事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",,,,,這些部落不願歸化，但願意提供軍事援助。,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_wuhuan,這些部落不願歸順朝廷，但卻願意提供軍事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",,,,,這些部落不願歸化，但願意提供軍事援助。,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_xiongnu,這些部落不願歸順朝廷，但卻願意提供軍事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",,,,,這些部落不願歸化，但願意提供軍事援助。,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_ytr,新旅程開始之際，每個人都必須學習新的方法。,False,At the beginning of a new journey all must learn the new way.,,,,新旅程開始之際，每個人都必須學習新的方法。,,Vanilla,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_confucius_01,孔子學院,True,Confucius Institute,孔子學院,孔子學院序列,,,,OverrideByKey,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_danyang_01,丹陽部隊軍營,True,Danyang Troop Barrack,,丹陽部隊軍營,,,,MappedByText,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_danyang_02,丹陽部隊營寨,True,Danyang Troop Encampment,丹陽部隊營寨,,,,,OverrideByKey,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_garrison_01,重門軍哨站,True,Vigilante Posts,,,,,巡守衛隊哨站,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_garrison_02,重門軍營地,True,Vigilante Barracks,,,,,巡守衛隊軍營,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_garrison_sun_jian_01,士族庭院,True,Local Noble's Household,,,,,地方豪強院,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_garrison_sun_jian_02,士族田莊,True,Local Noble's Manor,,,,,地方豪強莊,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_nanman_outpost_01,南蠻市肆,True,Nanman-Han Trading Post,南蠻市肆,南境市肆序列,,,,OverrideByKey,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_nanman_shikar_01,狩獵區,True,Hunting Area,狩獵區,狩獵區序列,,,,OverrideByKey,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_qiang_00,羌人散戶,True,Scattered Qiang Community,,,,,零散羌人區,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_qiang_01,羌人聚落,True,Qiang Tribal Camp,,,,,羌人部落營,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_qiang_02,羌人村莊,True,Qiang Tribal Herd,,,,,羌人部落群,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_shanyue_00,山越營地,True,Scattered Shanyue Community,,,,,零散山越區,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_shanyue_01,山越聚落,True,Shanyue Tribal Herd,,,,,山越部落群,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_shanyue_02,山越集鎮,True,Shanyue Tribal Town,,,,,山越部落鎮,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_small_farm_01,儲備站,True,Stockpile Storage ,,儲備站,,,,MappedByText,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_small_farm_02,倉庫,True,Warehouse,,,,倉庫,,Vanilla,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_small_farm_03,大型倉庫,True,Large Warehouse,,大型倉庫,,,,MappedByText,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_wuhuan_00,東胡散戶,True,Scattered Wuhuan Community,,,,,零散烏桓區,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_wuhuan_01,東胡聚落,True,Wuhuan Tribal Camp,,,,,烏桓部落營,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_wuhuan_02,東胡村莊,True,Wuhuan Tribal Herd,,,,,烏桓部落群,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_xiongnu_00,匈奴散戶,True,Scattered Xiongnu Community,,,,,零散匈奴區,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_xiongnu_01,匈奴聚落,True,Xiongnu Tribal Camp,,,,,匈奴部落營,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_xiongnu_02,匈奴村莊,True,Xiongnu Tribal Herd,,,,,匈奴部落群,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_yellow_turban_synad_01,太平小廟,False,Yellow Turban Lodge,,太平小廟,,,,MappedByText,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_yellow_turban_synad_02,太平朝堂,False,Yellow Turban Hall,,太平朝堂,,,,MappedByText,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_yellow_turban_synad_03,太平聖殿,False,Yellow Turban Synod,,太平聖殿,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_confucius_01,長描述,True,long_description,,長描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_danyang_01,長描述,True,long_description,,長描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_danyang_02,長描述,True,long_description,,長描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_01,長描述,True,long_description,,長描述,,,長描述,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_02,長描述,True,long_description,,長描述,,,長描述,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_sun_jian_01,長描述,True,long_description,,長描述,,,長描述,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_sun_jian_02,長描述,True,long_description,,長描述,,,長描述,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_ytr_01,長描述,True,long_description,,長描述,,,長描述,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_ytr_02,長描述,True,long_description,,長描述,,,長描述,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_han_small_farm_01,長描述,True,long_description,,長描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_han_small_farm_02,長描述,True,long_description,,長描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_han_small_farm_03,長描述,True,long_description,,長描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_nanman_outpost_01,長描述,True,long_description,,長描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_nanman_shikar_01,長描述,True,long_description,,長描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_qiang_01,長描述,True,qiang_01_long_description,,,,,長描述,PikaMan,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_qiang_02,長描述,True,qiang_02_long_description,,,,,長描述,PikaMan,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_shanyue_01,山越人乃是部落民族，比較不習慣定居在漢人奢侈委靡的城邑中，而習慣在野外紮營度日。雖然這支山地部族並非遊牧民族，但仍較倚重農牧。\\n\\n此族人在紮營地既可自給自足，也能有效準備兵力，應對北方持續加重的入侵威脅。,True,"Being a tribal people, the Shanyue are unused to the urban and decadent cities of the Han and prefer a life in encamped in the wilderness. Although not nomadic, the hill tribes are nevertheless a more pastoral, agricultural peoples. \\n\\n From their camps, they can both tend to their needs as a people and prepare themselves, militarily, for the ever-present and increasing threat of invasion from the North.",,,,山越人乃是部落民族，比較不習慣定居在漢人奢侈委靡的城邑中，而習慣在野外紮營度日。雖然這支山地部族並非遊牧民族，但仍較倚重農牧。\\n\\n此族人在紮營地既可自給自足，也能有效準備兵力，應對北方持續加重的入侵威脅。,山越人乃是部落民族，比較不習慣定居在漢人奢侈委靡的城邑中，而習慣在野外紮營度日。雖然這支山地部族並非遊牧民族，但仍較倚重農牧。\\n\\n此族人在紮營地既可自給自足，也能有效準備兵力，應對北方持續加重的入侵威脅。,Vanilla,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_shanyue_02,江南一帶長久以來一直是山越之民的故鄉，他們對這片土地懷有深厚的感情。如今野心勃勃的諸侯們要蠶食他們祖輩所居之地，他們必須拿起武器，以奮戰保衛故土。\\n\\n山越之民比漢人更熟悉江南的丘陵地形，他們將自己的堡壘建立在羣山中最險要的地方。他們可以在遠離天災人禍的地方安居樂業。,True,"The Southlands have long been the home of the Shanyue tribes, and it is their ardent hope that it always will be. This is the truth by which they live, and one they must fight to protect as warlords begin to encroach. \\n\\n The Shanyue know the hills of the South better than any, and amidst the striking scenery, their fortresses rise: places to live and grow, away from both the extremities of the elements and the eyes of the enemy.",,,,,江南一直都是山越族人的家園，他們也希望今後維持不變。這便是他們生存意義所在的真理，也是在諸侯割據的時代，他們必須奮戰保護的傳統。\\n\\n山越人比誰都瞭解南方的山區，並在這嶙峋之地建起了堡壘城寨；這裡遠離殘酷的風雨、也遠離敵人的監視，是他們生活成長之地。,Procrastinator,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_wuhuan_01,長描述,True,wuhuan_01_long_description,,,,,長描述,PikaMan,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_wuhuan_02,長描述,True,wuhuan_02_long_description,,,,,長描述,PikaMan,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_xiongnu_01,長描述,True,xiongnu_01_long_description,,,,,長描述,PikaMan,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_xiongnu_02,長描述,True,xiongnu_02_long_description,,,,,長描述,PikaMan,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_yellow_turban_synad_01,長描述,False,long_description,,長描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_yellow_turban_synad_02,長描述,False,long_description,,長描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_yellow_turban_synad_03,長描述,False,long_description,,長描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_confucius_01,短描述,True,short_description,,短描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_danyang_01,短描述,True,short_description,,短描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_danyang_02,短描述,True,short_description,,短描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_01,短描述,True,short_description,,短描述,,,短描述,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_02,短描述,True,short_description,,短描述,,,短描述,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_sun_jian_01,短描述,True,short_description,,短描述,,,短描述,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_sun_jian_02,短描述,True,short_description,,短描述,,,短描述,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_ytr_01,短描述,True,short_description,,短描述,,,短描述,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_garrison_ytr_02,短描述,True,short_description,,短描述,,,短描述,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_han_small_farm_01,短描述,True,short_description,,短描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_han_small_farm_02,短描述,True,short_description,,短描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_han_small_farm_03,短描述,True,short_description,,短描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_nanman_outpost_01,短描述,True,short_description,,短描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_short_description_hv_subtown_nanman_shikar_01,短描述,True,short_description,,短描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang,羌人部落序列,True,Qiang Tribe,,,,,羌人部落,Procrastinator,hv_TEXT_building.loc.tsv
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_shanyue,山越部落序列,True,Shanyue Tribe,,,,,山越部落,Procrastinator,hv_TEXT_building.loc.tsv
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_subtown,附加建築,True,Attached Building,,,,,附加建物,Procrastinator,hv_TEXT_building.loc.tsv
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan,東胡部落序列,True,Wuhuan Tribe,,,,,烏桓部落,Procrastinator,hv_TEXT_building.loc.tsv
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_xiongnu,匈奴部落序列,True,Xiongnu Tribe,,,,,匈奴部落,Procrastinator,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_qiang_01,短描述,True,qiang_01_short_description,,,,,短描述,PikaMan,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_qiang_02,短描述,True,qiang_02_short_description,,,,,短描述,PikaMan,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_shanyue_01,「此處乃我等地盤、我等家園、我等基業。斷不能讓你們奪走！」,True,"This is our land, our home, our history. You cannot have it!",,,,「此處乃我等地盤、我等家園、我等基業。斷不能讓你們奪走！」,「此處乃我等地盤、我等家園、我等基業。斷不能讓你們奪走！」,Vanilla,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_shanyue_02,雖然山越人不得不建起柵欄保護自己，但其實他們只想和平度日。,True,"Although their palisade walls are an unfortunate necessity, the Shanyue seek only to live in peace.",,,,雖然山越人不得不建起柵欄保護自己，但其實他們只想和平度日。,雖然山越人不得不建起柵欄保護自己，但其實他們只想和平度日。,Vanilla,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_wuhuan_01,短描述,True,wuhuan_01_short_description,,,,,短描述,PikaMan,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_wuhuan_02,短描述,True,wuhuan_02_short_description,,,,,短描述,PikaMan,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_xiongnu_01,短描述,True,xiongnu_01_short_description,,,,,短描述,PikaMan,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_xiongnu_02,短描述,True,xiongnu_02_short_description,,,,,短描述,PikaMan,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_yellow_turban_synad_01,短描述,False,short_description,,短描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_yellow_turban_synad_02,短描述,False,short_description,,短描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_short_description_texts_short_description_hv_subtown_yellow_turban_synad_03,短描述,False,short_description,,短描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_nanman,南蠻填地序列,False,Nanman Infill Development ,,南蠻填地序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_qiang,遊牧民族序列,True,Nomad,,,,,遊牧民族,Procrastinator,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_shanyue,宗部序列,True,Zong Bu,,宗部序列,,,宗布,MappedByText,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_bandit,劫盜序列,True,Banditry,,劫盜序列,,劫盜,,MappedByText,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_confucius,孔子學院序列,True,Confucius Institute,,孔子學院序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_han,填地開發序列,True,Infill Development ,,填地開發序列,,,附加發展,MappedByText,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_wuhuan,遊牧民族序列,True,Nomad,,,,,遊牧民族,Procrastinator,hv_TEXT_building.loc.tsv
building_ui_groups_onscreen_name_hv_ui_building_group_xiongnu,遊牧民族序列,True,Nomad,,,,,遊牧民族,Procrastinator,hv_TEXT_building.loc.tsv
campaign_effect_scopes_localised_text_character_to_force_own_when_commanding,[[col:scope_description]]（指揮時自軍隊）[[/col]],True,[[col:scope_description]](own army when commanding)[[/col]],,[[col:scope_description]]（指揮時自軍隊）[[/col]],,,,MappedByText,hv_TEXT_effect_scope.loc.tsv
campaign_effect_scopes_localised_text_hv_effect_scope_character_to_character_enemy_regionwide,[[col:scope_description]]（本{{tr:map_region}}內的敵軍）[[/col]],True,[[col:scope_description]](enemies in local {{tr:map_region}})[[/col]],,[[col:scope_description]]（本{{tr:map_region}}內的敵軍）[[/col]],,[[col:scope_description]]（所在{{tr:map_region}}內的敵人）[[/col]],,MappedByText,hv_TEXT_effect_scope.loc.tsv
campaign_effect_scopes_localised_text_hv_effect_scope_character_to_character_own_forcewide_when_commanding,[[col:scope_description]]（指揮時自軍隊）[[/col]],True,[[col:scope_description]](own army when commanding)[[/col]],,[[col:scope_description]]（指揮時自軍隊）[[/col]],,,,MappedByText,hv_TEXT_effect_scope.loc.tsv
campaign_effect_scopes_localised_text_hv_effect_scope_character_to_faction_leader,[[col:scope_description]]（勢力領袖）[[/col]],True,[[col:scope_description]](faction leader)[[/col]],,[[col:scope_description]]（勢力領袖）[[/col]],,,,MappedByText,hv_TEXT_effect_scope.loc.tsv
campaign_effect_scopes_localised_text_hv_effect_scope_region_to_character_own_in_adjacent_regions_all_owners,[[col:scope_description]]（相鄰各{{tr:map_provinces}}）[[/col]],True,[[col:scope_description]](adjacent {{tr:map_provinces}})[[/col]],,,,[[col:scope_description]]（相鄰各{{tr:map_provinces}}）[[/col]],,Vanilla,hv_TEXT_effect_scope.loc.tsv
campaign_effect_scopes_localised_text_hv_scope_dummy_character_unlock_units_rank_buqu,[[col:scope_description]]（此人等級1以上時）[[/col]],True,[[col:scope_description]](when this character's rank is 1 or higher)[[/col]],,[[col:scope_description]]（此人等級1以上時）[[/col]],,,,MappedByText,hv_TEXT_effect_scope.loc.tsv
campaign_effect_scopes_localised_text_hv_scope_dummy_character_unlock_units_rank_elite,[[col:scope_description]]（此人等級7以上時）[[/col]],True,[[col:scope_description]](when this character's rank is 7 or higher)[[/col]],,[[col:scope_description]]（此人等級7以上時）[[/col]],,,,MappedByText,hv_TEXT_effect_scope.loc.tsv
campaign_effect_scopes_localised_text_hv_scope_dummy_character_unlock_units_rank_militia,[[col:scope_description]]（此人等級1以上時）[[/col]],True,[[col:scope_description]](when this character's rank is 1 or higher)[[/col]],,[[col:scope_description]]（此人等級1以上時）[[/col]],,,,MappedByText,hv_TEXT_effect_scope.loc.tsv
campaign_effect_scopes_localised_text_hv_scope_dummy_character_unlock_units_rank_royal_guards,[[col:scope_description]]（此人等級11以上時）[[/col]],True,[[col:scope_description]](when this character's rank is 11 or higher)[[/col]],,[[col:scope_description]]（此人等級11以上時）[[/col]],,,,MappedByText,hv_TEXT_effect_scope.loc.tsv
campaign_effect_scopes_localised_text_region_to_force_own_in_adjacent_regions,[[col:scope_description]]（相鄰各{{tr:map_regions}}）[[/col]],True,[[col:scope_description]](adjacent all {{tr:map_regions}})[[/col]],,[[col:scope_description]]（相鄰各{{tr:map_regions}}）[[/col]],,,[[col:scope_description]]（相鄰各{{tr:map_regions}}）[[/col]],MappedByText,hv_TEXT_effects_building.loc.tsv
campaign_localised_strings_string_3k_dlc07_captains_armoury_whitewater_title,一條密計,True,A Secret Plan,,一條密計,,,,MappedByText,hv_TEXT_effects_skills.loc.tsv
campaign_localised_strings_string_3k_dlc07_tutorial_mode_imperial_hud_description,選取之後將會打開朝廷權謀面板，統管獻帝於公元195年成年後開放使用的所有機制，代表著新任皇權所面臨的政治角力。,False,"Selecting this will open the Imperial Intrigue panel, which governs all the mechanics which become active once Emperor Xian comes of age in 195 CE, introducing a struggle over the influence of the new imperial power.",,選取之後將會打開朝廷權謀面板，統管獻帝於公元195年成年後開放使用的所有機制，代表著新任皇權所面臨的政治角力。,,,,MappedByText,ifo_text_TWEAK.loc.tsv
campaign_localised_strings_string_dlc07_imperial_intrigue_panel_invalid_self_target,不能指向自己。,False,You can't target yourself. ,,不能指向自己。,,,,MappedByText,ifo_text_TWEAK.loc.tsv
campaign_localised_strings_string_military_force_morale_effect_bonus_value_animosity,過剩,False,Congestion,,過剩,,,,MappedByText,hv_TEXT_effect_faction.loc.tsv
campaign_localised_strings_string_unit_locked_ceo,您沒有所需的：%S。,False,You do not have the prerequisite: %S.,,您沒有所需的：%S。,,,,MappedByText,!hv_TEXT_system.loc.tsv
campaign_payload_ui_details_description_3k_dlc_07_child_emperor_banquet_dilemma_text,結果不明,False,Unknown result,,結果不明,,,,MappedByText,ifo_text_TWEAK.loc.tsv
campaign_payload_ui_details_description_3k_dlc_07_child_emperor_rites_dilemma_text,結果不明,False,Unknown result,,結果不明,,,,MappedByText,ifo_text_TWEAK.loc.tsv
