File,eng,zh-cn,zh-tw
[dummy]__MTU_dummy.loc.tsv,The Cataclysm,朝政混乱,朝政混亂
[dummy]__MTU_dummy.loc.tsv,The Last Gift,最后的礼物,最後的禮物
[dummy]__MTU_dummy.loc.tsv,The chaos caused by Li Jue and Guo Si is devastating the whole country.,李傕与郭汜把持朝政，天下大乱。,李傕與郭汜把持朝政，天下大亂。
[dummy]__MTU_dummy.loc.tsv,"Wang Yun went to them obediently and left these words.\\n\\n ""It was my wish to make the country peaceful. I didn't, so I sacrifice myself. The litte emperor has shown kindness to me, and I can't stand to live a miserable life.""",王允自行降于李郭。\\n\\n王允奏曰：“臣本为社稷计。事已至此，陛下不可惜臣，以误国家。臣请下见二贼。”,王允自行降於李郭。\\n\\n王允奏曰：“臣本為社稷計。事至此，陛下不惜已臣，以誤國家。臣請下見二賊。”
[dummy]__MTU_dummy.loc.tsv,"Xun Yu openly criticized you for seeking power, saying you should be focusing on the restoration of Han dynasty. He even had the gall to say that because of your pursuit of power, you will never see a good end. \\n\\n You were furious, but you could not openly express it, since he was an old friend and a loyal servant.",荀彧进言，指责你专权跋扈，不以辅佐汉室为重。\n\n你很愤怒，但又不能公开表达，因为你们结交已久，他是你一位心腹。,荀彧進言，指責你專權跋扈，不以輔佐漢室為重。\n\n您很憤怒，但又不能公開表達，因為你們結交已久，他是你一位心腹。
[dummy]__MTU_dummy.loc.tsv,"Xun Yu recognized the meaning of your ""gift"" and made the last choice. You regretted your choice when you heard that he was dead, but it was too late.",荀彧见到了空食盒，明白了你的意思，于是服毒自尽。你听到消息，懊悔不已，但为时已晚。,荀彧見到了空食盒，明白了你的意思，於是服毒自盡。你聽到消息，懊悔不已，但爲時已晚。
[dummy]__MTU_dummy.loc.tsv,Xun Yu's Opposition,荀彧诤谏,荀彧諍諫
[dummy]__MTU_dummy.loc.tsv,"Xun Yu, a renowned strategist, has come to you to offer you his service. Many lords have offered him to join their side, but he rejected all the offers and decided to be a part of your ambition. You were thrilled to accept that someone so talented had come to you.",荀彧年少即以王佐之才闻名。他曾从事于袁绍，但觉得袁绍不能成大事，于是投奔于你。你与他交谈后非常高兴，说他是你的子房。,荀彧年少即以王佐之才出名。他曾從事於袁紹，但覺得袁紹不能成大事，於是投奔於你。你和他交談後非常高興，說他是你的子房。
[dummy]__MTU_dummy.loc.tsv,"You are furious because you found out your old friend and trusted servant, Xun Yu, has turned his back against you. He does not oppose you publicly for the time being, but you are certain he will betray you the first chance he gets. \\n\\n It's time to choose. You can send him a ""gift."" when he receives your ""gift,"" he who shares a deep friendship with you will know the meaning of it...",你之所以愤怒，是因为你发现你的心腹荀彧有了异心。虽然他没有公开反对你，你相信他一有机会便会反叛。\\n\\n你可以送他一个空食盒。他看到后就会明白你的意思。,您之所以憤怒，是因為您發現您的心腹荀彧有了異心。雖然他沒有公開反對您，您相信他一有機會便会反叛。\\n\\n您可以送他一個空食盒。他看到後就會明白您的意思。
[dummy]__MTU_dummy.loc.tsv,"You refused to hand over Wang Yun and his family to them. Then the rebels are furious, and they're going through the whole country!",你拒绝交出王允。反贼大怒，纵兵四处劫掠。,你拒絕交出王允。反賊大怒，縱兵四處劫掠。
hv_TEXT_building.loc.tsv,A place to trade with the natives.,与南境蛮人交易的场所。,與南境蠻人交易的場所。
hv_TEXT_building.loc.tsv,A place where great teachers and passionate students gather.,贤师高徒汇聚之所。,賢師高徒匯聚之所。
hv_TEXT_building.loc.tsv,Banditry,匪患序列,劫盜序列
hv_TEXT_building.loc.tsv,Confucius Institute,孔子学院序列,孔子學院序列
hv_TEXT_building.loc.tsv,Danyang Troop Barrack,丹阳部队军营,丹陽部隊軍營
hv_TEXT_building.loc.tsv,Danyang Troop Post,丹阳军序列,丹陽軍序列
hv_TEXT_building.loc.tsv,Hunting Area,狩猎区序列,狩獵區序列
hv_TEXT_building.loc.tsv,Infill Development ,填地开发序列,填地開發序列
hv_TEXT_building.loc.tsv,Large Warehouse,大型仓库,大型倉庫
hv_TEXT_building.loc.tsv,Local Noble's Estate,士族庄园序列,士族莊園序列
hv_TEXT_building.loc.tsv,Manage local products more thoroughly and convert wasted materials into stockpiles.,完善管理本地货物，回收废弃物品。,完善管理本地貨物，回收廢棄物品。
hv_TEXT_building.loc.tsv,Nanman Infill Development ,南蛮填地序列,南蠻填地序列
hv_TEXT_building.loc.tsv,Nanman-Han Trading Post,南境市肆序列,南境市肆序列
hv_TEXT_building.loc.tsv,Stockpile Storage ,储备站,儲備站
hv_TEXT_building.loc.tsv,Supply Management,补给管理序列,補給管理序列
hv_TEXT_building.loc.tsv,The estates of powerful and wealthy families.,名门大家所拥有的庄园。,名門大家所擁有的莊園。
hv_TEXT_building.loc.tsv,The people of Danyang have a reputation for bravery. Tao Qian has turned them into a well-trained army.,丹阳人以奋勇著称。陶谦整备军队，训练有素。,丹陽人以奮勇著稱。陶謙整備軍隊，訓練有素。
hv_TEXT_building.loc.tsv,Tribal hunters can provide us with additional food.,部落猎人可为我们提供额外的食物。,部落獵人可爲我們提供額外的食物。
hv_TEXT_building.loc.tsv,Vigilantes patrol the region and harass enemy armies.,巡守卫队在此地域巡逻，骚扰敌军。,巡守衛隊在此地域巡邏，騷擾敵軍。
hv_TEXT_building.loc.tsv,Yellow Turban Cult,太平道序列,太平道序列
hv_TEXT_building.loc.tsv,Yellow Turban Hall,太平朝堂,太平朝堂
hv_TEXT_building.loc.tsv,Yellow Turban Lodge,太平小庙,太平小廟
hv_TEXT_building.loc.tsv,Yellow Turban Synod,太平圣殿,太平聖殿
hv_TEXT_building.loc.tsv,Zong Bu,宗部序列,宗部序列
hv_TEXT_building.loc.tsv,[[col:flavour]]Local Noble's Estate[[/col]],[[col:flavour]]士族庄园序列[[/col]],[[col:flavour]]士族莊園序列[[/col]]
hv_TEXT_building.loc.tsv,long_description,长描述,長描述
hv_TEXT_building.loc.tsv,short_description,短描述,短描述
hv_TEXT_cb_loadout.loc.tsv,DEBUG GUY,伯长,校尉
hv_TEXT_cb_loadout.loc.tsv,The Yellow Warlord,黄巾军将领,黃巾軍將領
hv_TEXT_cb_loadout.loc.tsv,Tiger of Jiangdong,江东之虎,江東之虎
hv_TEXT_ceo_career.loc.tsv,Bandit Slayer,荡寇将军,蕩寇將軍
hv_TEXT_ceo_career.loc.tsv,Devoted Mother,躬亲主母,躬親主母
hv_TEXT_ceo_career.loc.tsv,Guo Si's Armour,郭汜的护甲,郭汜的護甲
hv_TEXT_ceo_career.loc.tsv,He was also a bandit once.,「钦折节好学，以公灭私。」,「欽折節好學，以公滅私。」
hv_TEXT_ceo_career.loc.tsv,He was loved by everyone.,饱读诗书，人见人爱。,飽讀詩書，人見人愛。
hv_TEXT_ceo_career.loc.tsv,Man For All Seasons,日月精忠,日月精忠
hv_TEXT_ceo_career.loc.tsv,Scion,袁术之子,袁術之子
hv_TEXT_ceo_career.loc.tsv,The Lady of Jingzhou,荆州夫人,荊州夫人
hv_TEXT_ceo_career.loc.tsv,The house of Cai is the most famous noble family in Jingzhou. Lady Cai is willing to use the power.,蔡氏乃是荆州名门望族。蔡夫人亦甚有权势。,蔡氏乃是荊州名門望族。蔡夫人亦甚有權勢。
hv_TEXT_ceo_weapon.loc.tsv,A mysterious sword from the West. ,西域而来的神秘宝剑。,西域而來的神秘寶劍。
hv_TEXT_ceo_weapon.loc.tsv,Khanda,坎达直剑,坎達直劍
hv_TEXT_effect_faction.loc.tsv,Congestion,过剩,過剩
hv_TEXT_effect_faction.loc.tsv,Unstable Han dynasty,汉室式微,漢室式微
hv_TEXT_effect_scope.loc.tsv,[[col:scope_description]](enemies in local {{tr:map_region}})[[/col]],[[col:scope_description]]（本{{tr:map_region}}内的敌军）[[/col]],[[col:scope_description]]（本{{tr:map_region}}內的敵軍）[[/col]]
hv_TEXT_effect_scope.loc.tsv,[[col:scope_description]](faction leader)[[/col]],[[col:scope_description]]（派系领袖）[[/col]],[[col:scope_description]]（勢力領袖）[[/col]]
hv_TEXT_effect_scope.loc.tsv,[[col:scope_description]](own army when commanding)[[/col]],[[col:scope_description]]（指挥时自军队）[[/col]],[[col:scope_description]]（指揮時自軍隊）[[/col]]
hv_TEXT_effect_scope.loc.tsv,[[col:scope_description]](when this character's rank is 1 or higher)[[/col]],[[col:scope_description]]（此人等级1以上时）[[/col]],[[col:scope_description]]（此人等級1以上時）[[/col]]
hv_TEXT_effect_scope.loc.tsv,[[col:scope_description]](when this character's rank is 11 or higher)[[/col]],[[col:scope_description]]（此人等级11以上时）[[/col]],[[col:scope_description]]（此人等級11以上時）[[/col]]
hv_TEXT_effect_scope.loc.tsv,[[col:scope_description]](when this character's rank is 7 or higher)[[/col]],[[col:scope_description]]（此人等级7以上时）[[/col]],[[col:scope_description]]（此人等級7以上時）[[/col]]
hv_TEXT_effects_building.loc.tsv,"Every spring, characters gain additional experience.",每年春季，角色会获得额外经验。,每年春季，角色會獲得額外經驗。
hv_TEXT_effects_building.loc.tsv,Provides [[b]]Danyang Troop Captain[[/b]] recruitment charges,提供[[b]]丹阳部队伯长[[/b]]招募次数,提供[[b]]丹陽部隊校尉[[/b]]招募次數
hv_TEXT_effects_building.loc.tsv,[[col:scope_description]](adjacent all {{tr:map_regions}})[[/col]],[[col:scope_description]]（相邻各{{tr:map_regions}}）[[/col]],[[col:scope_description]]（相鄰各{{tr:map_regions}}）[[/col]]
hv_TEXT_effects_ceo.loc.tsv,Colonel of the Xiliang Army,西凉军伯长,西涼軍校尉
hv_TEXT_effects_ceo.loc.tsv,Danyang Troop Tally,丹阳虎符,丹陽虎符
hv_TEXT_effects_ceo.loc.tsv,Danyang Troops Officer,丹阳部队士官,丹陽部隊士官
hv_TEXT_effects_ceo.loc.tsv,Enforcer Troop Tally,捕掾队虎符,捕掾隊虎符
hv_TEXT_effects_ceo.loc.tsv,Hidden Snakes and Rapid Tigers Tally,隐蛇兵与虎捷军虎符,隱蛇兵與虎賁軍虎符
hv_TEXT_effects_ceo.loc.tsv,House Yuan's Officer,袁氏士官,袁氏士官
hv_TEXT_effects_ceo.loc.tsv,Jingchu Troop Tally,荆楚虎符,荊楚虎符
hv_TEXT_effects_ceo.loc.tsv,"Once equipped, this follower can't be unequipped until it is destroyed in 10 turns!",装备此随从后，须等到10回合后才能解除。之后此随从即会消失。,裝備此隨從後，須等到10回合後才能解除。之後此隨從即會消失。
hv_TEXT_effects_ceo.loc.tsv,"Once equipped, this item can't be unequipped",此饰物一旦装备便无法解除,此飾物一旦裝備便無法解除
hv_TEXT_effects_ceo.loc.tsv,"Once equipped, this item can't be unequipped until it is destroyed in 20 turns!",装备此饰物后，须等到20回合后才能解除。之后此饰物即会消失。,裝備此飾物後，須等到20回合後才能解除。之後此飾物即會消失。
hv_TEXT_effects_ceo.loc.tsv,Sogdian Officer,粟特士官,粟特士官
hv_TEXT_effects_ceo.loc.tsv,"The Xiliang Army is yours to command! Each colonel is loyal to whom they have been assigned, vowing never to leave their side!",西凉军为你效命！每一位伯长都忠于自己所属之人，誓死不离其侧！,西涼軍爲您效命！每一位校尉都忠於自己所屬之人，誓死不離其側！
hv_TEXT_effects_ceo.loc.tsv,The officer in charge of Danyang units.,指挥丹阳部队的士官。,指揮丹陽部隊的士官。
hv_TEXT_effects_ceo.loc.tsv,The officer in charge of Sogdian mercenary units.,指挥粟特部队的士官。,指揮粟特部隊的士官。
hv_TEXT_effects_ceo.loc.tsv,The officer in charge of White Horse units.,指挥白马部队的士官。,指揮白馬部隊的士官。
hv_TEXT_effects_ceo.loc.tsv,The officer in charge of house Yuan units.,指挥袁氏部队的士官。,指揮袁氏部隊的士官。
hv_TEXT_effects_ceo.loc.tsv,This authorisation tally is tradeable in diplomacy!,此兵符可在外交中用来交易！,此兵符可在外交中用來交易！
hv_TEXT_effects_ceo.loc.tsv,"When unequipped, the upkeep cost of the units unlocked by this follower will increase.",未装备时，该随从解锁的部队的维护费用会增加。,未裝備時，該隨從解鎖的單位的維護費用會增加。
hv_TEXT_effects_ceo.loc.tsv,White Horse Fellows Officer,白马义从士官,白馬義從士官
hv_TEXT_effects_events.loc.tsv,Lu Bu's Retinues,吕布的随从,呂布的隨從
hv_TEXT_effects_events.loc.tsv,Lu Bu's retinues want to join us quickly. We may  focus on military redeployment.,吕布的随从希望能迅速加入你麾下。我们可以考虑调兵的机会。,呂布的隨從希望能迅速加入您麾下。我們可以考慮調兵的機會。
hv_TEXT_effects_events.loc.tsv,"No one welcomes them, and everyone cast doubt to your decision.",没人欢迎他们，所有人都反而质疑你的决定。,沒人歡迎他們，所有人都反而質疑你的決定。
hv_TEXT_effects_events.loc.tsv,Powerful white tigers are with us. ,强大的白虎与我们同在。,强大的白虎與我們同在。
hv_TEXT_effects_events.loc.tsv,The Legacy of Lu Bu,吕布残党,呂布殘黨
hv_TEXT_effects_events.loc.tsv,The Legacy of Yuan Shu,袁术残党,袁術殘黨
hv_TEXT_effects_events.loc.tsv,Training White Tigers,训练白虎,訓練白虎
hv_TEXT_effects_events.loc.tsv,Unlocks unit for Yan Baihu: {{tr:hv_unit_white_tiger_warriors}},为严白虎解锁部队：{{tr:hv_unit_white_tiger_warriors}},為嚴白虎解鎖單位：{{tr:hv_unit_white_tiger_warriors}}
hv_TEXT_effects_pooled_resource.loc.tsv,%-n black mountain decay,黑山衰退%-n,黑山衰退%-n
hv_TEXT_effects_pooled_resource.loc.tsv,%-n horse breeding decay,养马衰退%-n,養馬衰退%-n
hv_TEXT_effects_pooled_resource.loc.tsv,%-n resurrection decay,复起衰退%-n,復起衰退%-n
hv_TEXT_effects_pooled_resource.loc.tsv,%-n stratocracy decay,军政衰退%-n,軍政衰退%-n
hv_TEXT_effects_pooled_resource.loc.tsv,A new regime is coming into power.,新政权开始建立。,新政權開始建立。
hv_TEXT_effects_pooled_resource.loc.tsv,A second wind has come.,焚风再起，野火重来,梵風再起，野火重來。
hv_TEXT_effects_pooled_resource.loc.tsv,Black Mountain: Few,黑山：量小力微,黑山：量小力微
hv_TEXT_effects_pooled_resource.loc.tsv,Black Mountain: Formidable,黑山：望而生畏,黑山：望而生畏
hv_TEXT_effects_pooled_resource.loc.tsv,Black Mountain: Organised,黑山：同心协力,黑山：同心協力
hv_TEXT_effects_pooled_resource.loc.tsv,Black Mountain: Overwhelming,黑山：势不可遏,黑山：勢不可遏
hv_TEXT_effects_pooled_resource.loc.tsv,Black Mountain: Scattered,黑山：四散而逃,黑山：四散而逃
hv_TEXT_effects_pooled_resource.loc.tsv,Garrisoned armies will support the administration of the local county.,驻防军队将会支持当地郡县的管理。,駐軍會協助縣內行政事宜。
hv_TEXT_effects_pooled_resource.loc.tsv,Horse Breeding: Abundant,养马：充裕,養馬：充裕
hv_TEXT_effects_pooled_resource.loc.tsv,Horse Breeding: Heavenly,养马：天助,養馬：天助
hv_TEXT_effects_pooled_resource.loc.tsv,Horse Breeding: Inadequate,养马：不足,養馬：不足
hv_TEXT_effects_pooled_resource.loc.tsv,Horse Breeding: Ordinary,养马：普通,養馬：普通
hv_TEXT_effects_pooled_resource.loc.tsv,Horse Breeding: Sufficient,养马：有余,養馬：有餘
hv_TEXT_effects_pooled_resource.loc.tsv,It will be different this time. Obviously...,苍天已死，黄天再立！,蒼天已死，黃天再立！
hv_TEXT_effects_pooled_resource.loc.tsv,It's getting harder to find anyone who isn't a Black Mountain bandit.,四海之内，莫非黑山。,四海之内，莫非黑山。
hv_TEXT_effects_pooled_resource.loc.tsv,Ready to colour the world once again.,野火燎原，不可向迩。,野火燎原，不可向邇。
hv_TEXT_effects_pooled_resource.loc.tsv,Resurrection: Ash,复起：灰烬,復起：灰燼
hv_TEXT_effects_pooled_resource.loc.tsv,Resurrection: Ember,复起：余焰,復起：余焰
hv_TEXT_effects_pooled_resource.loc.tsv,Resurrection: Great Fire,复起：烈火,復起：烈火
hv_TEXT_effects_pooled_resource.loc.tsv,Resurrection: Great Fire (Complelete),复起：烈火（已完成）,復起：烈火（已完成）
hv_TEXT_effects_pooled_resource.loc.tsv,Resurrection: Reignite,复起：复燃,復起：復燃
hv_TEXT_effects_pooled_resource.loc.tsv,Resurrection: Wild Fire,复起：野火,復起：野火
hv_TEXT_effects_pooled_resource.loc.tsv,Small but clear.,小火虽微，而不可轻。,小火雖微，而不可輕。
hv_TEXT_effects_pooled_resource.loc.tsv,Stratocracy: Empowered,军政：全权在握,軍政：全權在握
hv_TEXT_effects_pooled_resource.loc.tsv,Stratocracy: Great,军政：卓有成效,軍政：卓有成效
hv_TEXT_effects_pooled_resource.loc.tsv,Stratocracy: Insignificant,军政：尚未实行,軍政：尚未實行
hv_TEXT_effects_pooled_resource.loc.tsv,Stratocracy: Modest,军政：初试锋芒,軍政：初試鋒芒
hv_TEXT_effects_pooled_resource.loc.tsv,Stratocracy: Substantial,军政：不可小觑,軍政：不可小覷
hv_TEXT_effects_pooled_resource.loc.tsv,The Black Mountain bandits are scattered. ,黑山匪徒已作鸟兽散。,黑山匪徒已作鳥獸散。
hv_TEXT_effects_pooled_resource.loc.tsv,The fervour is now only left in the white ashes.,当日热情，只剩余烬。,當日熱情，只剩餘燼。
hv_TEXT_effects_pooled_resource.loc.tsv,The quantity and quality of your warhorses is unmatched!,战马的数量与质量皆无与伦比！,戰馬的數量與質量皆無與倫比！
hv_TEXT_effects_pooled_resource.loc.tsv,There's a sufficient number of horses.,有足够多的马匹。,有足夠多的馬匹。
hv_TEXT_effects_pooled_resource.loc.tsv,There's insufficient horses!,马匹数量不足！,馬匹數量不足！
hv_TEXT_effects_pooled_resource.loc.tsv,There's no shortage of good horses.,不缺好馬。,不缺好马。
hv_TEXT_effects_pooled_resource.loc.tsv,This is path of militarism.,以军治国，军国一体。,以軍治國，軍國一體。
hv_TEXT_effects_pooled_resource.loc.tsv,"Though you started with little, you will end with much.",起家微薄亦可立业有成。,起家微薄亦可立業有成。
hv_TEXT_effects_pooled_resource.loc.tsv,Unlocks a special ability for cavalry units,解锁骑兵部队一个特殊能力,解鎖騎兵單位一個特殊能力
hv_TEXT_effects_pooled_resource.loc.tsv,Unlocks special abilities for black mountain bandit units,解锁黑山匪徒部队特殊能力,解鎖黑山匪徒單位特殊能力
hv_TEXT_effects_pooled_resource.loc.tsv,We are reaping the benefits of military rule.,军事统治已成效斐然。,軍事統治已成效斐然。
hv_TEXT_effects_pooled_resource.loc.tsv,We're barely keeping our cavalry supplied. ,勉强能供应我们的骑兵。,勉强能供應我們的騎兵。
hv_TEXT_effects_pooled_resource.loc.tsv,"When your faction reached Enlightened, there will be Yellow Turban rebellion across China.",当你的派系达成启蒙，天下各方黄巾教徒便会起事。,儅您的勢力修爲達成，天下各方黃巾教徒便會起事。
hv_TEXT_effects_pooled_resource.loc.tsv,With these numbers you can accomplish great things.,兵多将广，可成大事。,兵多將廣，可成大事。
hv_TEXT_effects_pooled_resource.loc.tsv,You have barely any influence.,没有多少影响力。,沒有多少影響力。
hv_TEXT_effects_pooled_resource.loc.tsv,You rule your domain with military efficiency.,以军队的效率治理领地。,以軍隊的效率治理領地。
hv_TEXT_effects_pooled_resource.loc.tsv,Your followers are few.,跟随你的人寥寥无几。,跟隨您的人寥寥無幾。
hv_TEXT_effects_skills.loc.tsv,Enables: Explosive Shot (Trebuchet),可使用：爆裂弹（投石机）,可使用：爆裂彈（投石機）
hv_TEXT_effects_skills.loc.tsv,Enables: Flaming Shot (Trebuchet),可使用：燃烧弹（投石机）,可使用：燃燒彈（投石機）
hv_TEXT_effects_technology.loc.tsv,Economic and social upheaval casued by the minting of a new coin.,铸造新币引起了经济和社会的动荡。,鑄造新幣引起了經濟和社會的動蕩。
hv_TEXT_effects_technology.loc.tsv,The markets have been thrown into chaos as townsfolk and merchants scramble to adopt the new currency.,由于镇民和商人争相采用新货币，市场已陷入混乱。,由於鎮民和商人正向采用新貨幣，市場已陷入混亂。
hv_TEXT_effects_technology.loc.tsv,The next reform can be implemented without cooldown,下次改革可以马上执行，无需冷却,下次改革可以馬上執行，無需冷卻
hv_TEXT_etc.loc.tsv,Buddhism,佛教,佛教
hv_TEXT_etc.loc.tsv,Conquest Yellow Turbans,剿灭黄巾,剿滅黃巾
hv_TEXT_etc.loc.tsv,Duke or Grand Master,公或者相国,公或者相國
hv_TEXT_etc.loc.tsv,"Each character in Sun Ce's faction grants him shared expertise points once they reach rank 5. At ranks 9, 12 and 15 they generate one extra point respectively.",孙策派系中每位人物在达到5级后均会与他分享专长点。在9级、12级和15级时他们分别会产生一个额外的点数。,孫策勢力中每位人物在達到5級后均會與他分享專長點。在9級、12級和15級時他們分別會產生一個額外的點數。
hv_TEXT_etc.loc.tsv,Hit Bonus,命中率加成,命中率加成
hv_TEXT_etc.loc.tsv,Inflicts less damage and has reduced accuracy but suppresses targets.,造成伤害较低，准确率也降低，但可压制目标。,造成傷害較低，準確率也降低，但可壓制目標。
hv_TEXT_etc.loc.tsv,Legacy of Lu Bu,吕布余部,呂布餘部
hv_TEXT_etc.loc.tsv,Legacy of Tao Qian,陶谦余部,陶謙餘部
hv_TEXT_etc.loc.tsv,Legacy of Yuan Shu,袁术余部,袁術餘部
hv_TEXT_etc.loc.tsv,Lord of the Battlefield,战场之王,戰場之王
hv_TEXT_etc.loc.tsv,Marquis or Chancellor of State,伯或者太师,伯或者太師
hv_TEXT_etc.loc.tsv,Rapid Fire,速射,速射
hv_TEXT_etc.loc.tsv,The battlefield is your stage.,战场即是你的舞台。,戰場即是你的舞臺。
hv_TEXT_etc.loc.tsv,Win before [[b]][[{{CcoBattleDuel:FormatTime(TargetTimeRemaining)}}]][[/b]],在[[b]]{{CcoBattleDuel:FormatTime（TargetTimeRemaining）}}[[/b]]内获胜,在[[b]]{{CcoBattleDuel:FormatTime(TargetTimeRemaining)}}[[/b]]內獲勝
