Text,Mapped,Count,Override (manual),Override (pattern),C1,Unit type,Unit name,Unit key,Old,File,Duplicated
[[b]]%+n%[[/b]] battle running speed for cavalry units,騎兵戰場奔跑速度 [[b]]%+n%[[/b]],1,,騎兵戰場奔跑速度 [[b]]%+n%[[/b]],戰場奔跑速度,騎兵,騎兵,cavalry,戰場騎兵奔跑速度 [[b]]%+n%[[/b]],hv_TEXT_effects_skills.loc,FALSE
[[b]]%+n%[[/b]] battle running speed for heavy infantry units,重型步兵戰場奔跑速度 [[b]]%+n%[[/b]],1,,重型步兵戰場奔跑速度 [[b]]%+n%[[/b]],戰場奔跑速度,重型步兵,,heavy infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_skills.loc,FALSE
[[b]]%+n%[[/b]] battle running speed for light Infantry,輕型步兵戰場奔跑速度 [[b]]%+n%[[/b]],1,,輕型步兵戰場奔跑速度 [[b]]%+n%[[/b]],戰場奔跑速度,輕型步兵,,light Infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_skills_basic.loc,FALSE
[[b]]%+n%[[/b]] building conversion cost,建築改造花費 [[b]]%+n%[[/b]],1,,建築改造花費 [[b]]%+n%[[/b]],建築改造花費,,,,建造花費[[b]]%+n%[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] campaign sight,戰役地圖視野 [[b]]%+n%[[/b]],1,,戰役地圖視野 [[b]]%+n%[[/b]],戰役地圖視野,,,,戰役地圖視野 [[b]]%+n%[[/b]],hv_TEXT_skills_attributes.loc,FALSE
[[b]]%+n%[[/b]] character experience,人物經驗 [[b]]%+n%[[/b]],1,,人物經驗 [[b]]%+n%[[/b]],人物經驗,,,,人物經驗[[b]]%+n%[[/b]],hv_TEXT_skills_attributes.loc,FALSE
[[b]]%+n%[[/b]] character salary,人物薪餉 [[b]]%+n%[[/b]],1,,人物薪餉 [[b]]%+n%[[/b]],人物薪餉,,,,人物薪餉[[b]]%+n%[[/b]],hv_TEXT_events_rules.loc,FALSE
[[b]]%+n%[[/b]] charge bonus for black mountain bandit units,黑山匪徒單位衝鋒加成 [[b]]%+n%[[/b]],1,,黑山匪徒單位衝鋒加成 [[b]]%+n%[[/b]],單位衝鋒加成,黑山匪徒,,black mountain bandit,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_pooled_resource.loc,FALSE
[[b]]%+n%[[/b]] construction cost (other ethnic groups),建造花費（異民族建物） [[b]]%+n%[[/b]],1,,建造花費（異民族建物） [[b]]%+n%[[/b]],建造花費（異民族建物）,,,,建造花費（異民族建物）[[b]]%+n%[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] corruption,腐敗 [[b]]%+n%[[/b]],1,,腐敗 [[b]]%+n%[[/b]],腐敗,,,,腐敗[[b]]%+n%[[/b]],hv_TEXT_skills_attributes.loc,FALSE
[[b]]%+n%[[/b]] damage resistance for {{tr:hv_unit_xian_chen_ying}},陷陣營傷害抵抗力 [[b]]%+n%[[/b]],1,,陷陣營傷害抵抗力 [[b]]%+n%[[/b]],陷陣營傷害抵抗力,,,{{tr:hv_unit_xian_chen_ying}},陷陣營的傷害抵抗力  [[b]]%+n%[[/b]],hv_TEXT_effects_ceo.loc,FALSE
[[b]]%+n%[[/b]] food production,糧食生產 [[b]]%+n%[[/b]],2,,糧食生產 [[b]]%+n%[[/b]],糧食生產,,,,糧食生產[[b]]%+n%[[/b]],hv_TEXT_events_rules.loc,FALSE
[[b]]%+n%[[/b]] general's bodyguard size,將領貼身護衛規模 [[b]]%+n%[[/b]],1,,將領貼身護衛規模 [[b]]%+n%[[/b]],將領貼身護衛規模,,,,將領貼身護衛規模[[b]]%+n%[[/b]],hv_TEXT_skills_attributes.loc,FALSE
[[b]]%+n%[[/b]] health,生命值 [[b]]%+n%[[/b]],1,,生命值 [[b]]%+n%[[/b]],生命值,,,,人物生命值 [[b]]%+n%[[/b]],hv_TEXT_skills_attributes.loc,FALSE
[[b]]%+n%[[/b]] health recovery for characters,人物生命值回復 [[b]]%+n%[[/b]],1,,人物生命值回復 [[b]]%+n%[[/b]],生命值回復,人物,,characters,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_skills.loc,FALSE
[[b]]%+n%[[/b]] income from looting settlements and post-battle loot,戰鬥後擄掠收入 [[b]]%+n%[[/b]],1,,戰鬥後擄掠收入 [[b]]%+n%[[/b]],戰鬥後擄掠收入,,,,戰鬥後擄掠收入[[b]]%+n%[[/b]],hv_TEXT_events_rules.loc,FALSE
[[b]]%+n%[[/b]] mass for cavalry units,騎兵單位質量 [[b]]%+n%[[/b]],2,,騎兵單位質量 [[b]]%+n%[[/b]],單位質量,騎兵,騎兵,cavalry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_pooled_resource.loc,FALSE
[[b]]%+n%[[/b]] melee attack rate for black mountain bandit units,黑山匪徒近戰攻擊速率 [[b]]%+n%[[/b]],1,,黑山匪徒近戰攻擊速率 [[b]]%+n%[[/b]],近戰攻擊速率,黑山匪徒,,black mountain bandit,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_pooled_resource.loc,FALSE
[[b]]%+n%[[/b]] melee attack rate for melee infantry,近戰步兵近戰攻擊速率 [[b]]%+n%[[/b]],1,,近戰步兵近戰攻擊速率 [[b]]%+n%[[/b]],近戰攻擊速率,近戰步兵,,melee infantry,近戰步兵近戰攻擊速率 [[b]]%+n%[[/b]],hv_TEXT_skills_attributes.loc,FALSE
[[b]]%+n%[[/b]] missile block chance,遠程格擋機率 [[b]]%+n%[[/b]],1,,遠程格擋機率 [[b]]%+n%[[/b]],遠程格擋機率,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_skills.loc,FALSE
[[b]]%+n%[[/b]] missile range,遠程範圍 [[b]]%+n%[[/b]],1,,遠程範圍 [[b]]%+n%[[/b]],遠程範圍,,,,遠程範圍 [[b]]%+n%[[/b]],hv_TEXT_effects_skills.loc,FALSE
[[b]]%+n%[[/b]] missile resistance for cavalry,騎兵遠程阻擋機率 [[b]]%+n%[[/b]],1,,騎兵遠程阻擋機率 [[b]]%+n%[[/b]],遠程阻擋機率,騎兵,騎兵,cavalry,騎兵遠程阻擋機率 [[b]]%+n%[[/b]],hv_TEXT_skills_attributes.loc,FALSE
[[b]]%+n%[[/b]] missile resistance for cavalry units,騎兵遠程阻擋機率 [[b]]%+n%[[/b]],1,,騎兵遠程阻擋機率 [[b]]%+n%[[/b]],遠程阻擋機率,騎兵,騎兵,cavalry,騎兵單位遠程抵抗力 [[b]]%+n%[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] missile resistance for infantry units,步兵遠程阻擋機率 [[b]]%+n%[[/b]],1,,步兵遠程阻擋機率 [[b]]%+n%[[/b]],遠程阻擋機率,步兵,,infantry,步兵遠程阻擋機率 [[b]]%+n%[[/b]],hv_TEXT_effects_skills.loc,FALSE
[[b]]%+n%[[/b]] missile resistance for spear units,槍兵遠程阻擋機率 [[b]]%+n%[[/b]],1,,槍兵遠程阻擋機率 [[b]]%+n%[[/b]],遠程阻擋機率,槍兵,,spear,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_skills.loc,FALSE
[[b]]%+n%[[/b]] move speed for Buqu units,部曲部隊移動速度 [[b]]%+n%[[/b]],1,,部曲部隊移動速度 [[b]]%+n%[[/b]],部隊移動速度,部曲,,Buqu,正規軍和盜匪單位的戰場移動速度 [[b]]%+n%[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] move speed for Elite units,精銳部隊移動速度 [[b]]%+n%[[/b]],1,,精銳部隊移動速度 [[b]]%+n%[[/b]],部隊移動速度,精銳,,Elite,精銳單位的戰場移動速度[[b]]%+n%[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] ranged block chance for all cavalry,所有騎兵遠程格擋機率 [[b]]%+n%[[/b]],1,,所有騎兵遠程格擋機率 [[b]]%+n%[[/b]],遠程格擋機率,所有騎兵,,all cavalry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_skills_additional.loc,FALSE
[[b]]%+n%[[/b]] ranged block chance for melee infantry,近戰步兵遠程格擋機率 [[b]]%+n%[[/b]],1,,近戰步兵遠程格擋機率 [[b]]%+n%[[/b]],遠程格擋機率,近戰步兵,,melee infantry,近戰步兵遠程阻擋機率[[b]]%+n%[[/b]],hv_TEXT_skills_additional.loc,FALSE
[[b]]%+n%[[/b]] ranged block chance for shock cavalry,突擊騎兵遠程格擋機率 [[b]]%+n%[[/b]],1,,突擊騎兵遠程格擋機率 [[b]]%+n%[[/b]],遠程格擋機率,突擊騎兵,,shock cavalry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_skills_additional.loc,FALSE
[[b]]%+n%[[/b]] recruitment cost for Buqu units,部曲單位招募費用 [[b]]%+n%[[/b]],2,,部曲單位招募費用 [[b]]%+n%[[/b]],單位招募費用,部曲,,Buqu,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_progression.loc,FALSE
[[b]]%+n%[[/b]] recruitment cost for captain retinues,校尉部曲單位招募費用 [[b]]%+n%[[/b]],1,,校尉部曲單位招募費用 [[b]]%+n%[[/b]],單位招募費用,校尉部曲,,captain retinues,校尉部曲招募成本[[b]]%+n%[[/b]],hv_TEXT_effects_ceo.loc,FALSE
[[b]]%+n%[[/b]] recruitment cost for Elite units,精銳單位招募費用 [[b]]%+n%[[/b]],2,,精銳單位招募費用 [[b]]%+n%[[/b]],單位招募費用,精銳,,Elite,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_progression.loc,FALSE
[[b]]%+n%[[/b]] recruitment cost for Nomad units,游牧單位招募費用 [[b]]%+n%[[/b]],1,,游牧單位招募費用 [[b]]%+n%[[/b]],單位招募費用,游牧,,Nomad,游牧單位的招募費用 [[b]]%+n%[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] recruitment cost for Royal Guard units,禁衛單位招募費用 [[b]]%+n%[[/b]],1,,禁衛單位招募費用 [[b]]%+n%[[/b]],單位招募費用,禁衛,,Royal Guard,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_progression.loc,FALSE
[[b]]%+n%[[/b]] recruitment cost for Yue units,越族單位招募費用 [[b]]%+n%[[/b]],1,,越族單位招募費用 [[b]]%+n%[[/b]],單位招募費用,越族,,Yue,越族單位的招募位費用 [[b]]%+n%[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] redeployment cost,重新部署成本 [[b]]%+n%[[/b]],2,,重新部署成本 [[b]]%+n%[[/b]],重新部署成本,,,,重新部署成本[[b]]%+n%[[/b]],hv_TEXT_events_rules.loc,FALSE
[[b]]%+n%[[/b]] replenishment for black mountain bandit units,黑山匪徒單位補員速率 [[b]]%+n%[[/b]],1,,黑山匪徒單位補員速率 [[b]]%+n%[[/b]],單位補員速率,黑山匪徒,,black mountain bandit,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_pooled_resource.loc,FALSE
[[b]]%+n%[[/b]] replenishment for Buqu units,部曲單位補員速率 [[b]]%+n%[[/b]],1,,部曲單位補員速率 [[b]]%+n%[[/b]],單位補員速率,部曲,,Buqu,正規軍和盜匪單位的補員速率 [[b]]%+n%[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] replenishment for cavalry units,騎兵單位補員速率 [[b]]%+n%[[/b]],1,,騎兵單位補員速率 [[b]]%+n%[[/b]],單位補員速率,騎兵,騎兵,cavalry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_pooled_resource.loc,FALSE
[[b]]%+n%[[/b]] replenishment for characters,人物單位補員速率 [[b]]%+n%[[/b]],1,,人物單位補員速率 [[b]]%+n%[[/b]],單位補員速率,人物,,characters,英雄單位補員速率[[b]]%+n%[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] replenishment for Danyang units,丹陽單位補員速率 [[b]]%+n%[[/b]],2,,丹陽單位補員速率 [[b]]%+n%[[/b]],單位補員速率,丹陽,,Danyang,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_building.loc,FALSE
[[b]]%+n%[[/b]] replenishment for Elite units,精銳單位補員速率 [[b]]%+n%[[/b]],1,,精銳單位補員速率 [[b]]%+n%[[/b]],單位補員速率,精銳,,Elite,精銳單位補員速率 [[b]]%+n%[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] replenishment for Ironfist Cavalry,鐵拳騎兵單位補員速率 [[b]]%+n%[[/b]],1,,鐵拳騎兵單位補員速率 [[b]]%+n%[[/b]],單位補員速率,鐵拳騎兵,,Ironfist Cavalry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_region_army.loc,FALSE
[[b]]%+n%[[/b]] replenishment for Jingchu units,荊楚單位補員速率 [[b]]%+n%[[/b]],1,,荊楚單位補員速率 [[b]]%+n%[[/b]],單位補員速率,荊楚,,Jingchu,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_region_army.loc,FALSE
[[b]]%+n%[[/b]] replenishment for Militia units,義勇單位補員速率 [[b]]%+n%[[/b]],1,,義勇單位補員速率 [[b]]%+n%[[/b]],單位補員速率,義勇,,Militia,農民兵、民兵和流民單位的補員速率 [[b]]%+n%[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] replenishment for Nomad units,游牧單位補員速率 [[b]]%+n%[[/b]],1,,游牧單位補員速率 [[b]]%+n%[[/b]],單位補員速率,游牧,,Nomad,游牧單位補員速率[[b]]%+n%[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] replenishment for Royal Guard units,禁衛單位補員速率 [[b]]%+n%[[/b]],2,,禁衛單位補員速率 [[b]]%+n%[[/b]],單位補員速率,禁衛,,Royal Guard,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effect_faction.loc,FALSE
[[b]]%+n%[[/b]] replenishment for the northern army units,北軍單位補員速率 [[b]]%+n%[[/b]],1,,北軍單位補員速率 [[b]]%+n%[[/b]],單位補員速率,北軍,,the northern army,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effect_faction.loc,FALSE
[[b]]%+n%[[/b]] replenishment for Xiliang units,西涼單位補員速率 [[b]]%+n%[[/b]],1,,西涼單位補員速率 [[b]]%+n%[[/b]],單位補員速率,西涼,,Xiliang,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_region_army.loc,FALSE
[[b]]%+n%[[/b]] replenishment for Yue units,越族單位補員速率 [[b]]%+n%[[/b]],1,,越族單位補員速率 [[b]]%+n%[[/b]],單位補員速率,越族,,Yue,越族單位補員速率[[b]]%+n%[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] speed for melee cavalry,近戰騎兵速度 [[b]]%+n%[[/b]],1,,近戰騎兵速度 [[b]]%+n%[[/b]],速度,近戰騎兵,,melee cavalry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_skills_additional.loc,FALSE
[[b]]%+n%[[/b]] speed for ranged units,遠程速度 [[b]]%+n%[[/b]],1,,遠程速度 [[b]]%+n%[[/b]],速度,遠程,,ranged,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_skills_additional.loc,FALSE
[[b]]%+n%[[/b]] trade influence,貿易影響力 [[b]]%+n%[[/b]],1,,貿易影響力 [[b]]%+n%[[/b]],貿易影響力,,,,貿易影響力[[b]]%+n%[[/b]],hv_TEXT_events_rules.loc,FALSE
[[b]]%+n%[[/b]] upkeep cost for captain retinues,校尉部曲單位維持費 [[b]]%+n%[[/b]],1,,校尉部曲單位維持費 [[b]]%+n%[[/b]],單位維持費,校尉部曲,,captain retinues,校尉部曲維持費 [[b]]%+n%[[/b]],hv_TEXT_effects_ceo.loc,FALSE
[[b]]%+n%[[/b]] upkeep for {{tr:hv_unit_xian_chen_ying}},陷陣營單位維持費 [[b]]%+n%[[/b]],1,,陷陣營單位維持費 [[b]]%+n%[[/b]],單位維持費,陷陣營,,{{tr:hv_unit_xian_chen_ying}},陷陣營的維持費 [[b]]%+n%[[/b]],hv_TEXT_effects_ceo.loc,FALSE
[[b]]%+n%[[/b]] upkeep for black mountain bandit units,黑山匪徒單位維持費 [[b]]%+n%[[/b]],1,,黑山匪徒單位維持費 [[b]]%+n%[[/b]],單位維持費,黑山匪徒,,black mountain bandit,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_pooled_resource.loc,FALSE
[[b]]%+n%[[/b]] upkeep for Buqu units,部曲單位維持費 [[b]]%+n%[[/b]],1,,部曲單位維持費 [[b]]%+n%[[/b]],單位維持費,部曲,,Buqu,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_progression.loc,FALSE
[[b]]%+n%[[/b]] upkeep for Danyang units,丹陽單位維持費 [[b]]%+n%[[/b]],1,,丹陽單位維持費 [[b]]%+n%[[/b]],單位維持費,丹陽,,Danyang,丹陽兵單位維持費 [[b]]%+n%[[/b]],hv_TEXT_effects_ceo.loc,FALSE
[[b]]%+n%[[/b]] upkeep for Elite units,精銳單位維持費 [[b]]%+n%[[/b]],1,,精銳單位維持費 [[b]]%+n%[[/b]],單位維持費,精銳,,Elite,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_progression.loc,FALSE
[[b]]%+n%[[/b]] upkeep for House Servant and Local Noble units,家僕及豪族單位維持費 [[b]]%+n%[[/b]],1,,家僕及豪族單位維持費 [[b]]%+n%[[/b]],單位維持費,家僕及豪族,,House Servant and Local Noble,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_building.loc,FALSE
[[b]]%+n%[[/b]] upkeep for Nomad units,游牧單位維持費 [[b]]%+n%[[/b]],1,,游牧單位維持費 [[b]]%+n%[[/b]],單位維持費,游牧,,Nomad,游牧單位維持費[[b]]%+n%[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] upkeep for Royal Guard units,禁衛單位維持費 [[b]]%+n%[[/b]],1,,禁衛單位維持費 [[b]]%+n%[[/b]],單位維持費,禁衛,,Royal Guard,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_progression.loc,FALSE
[[b]]%+n%[[/b]] upkeep for Yue units,越族單位維持費 [[b]]%+n%[[/b]],1,,越族單位維持費 [[b]]%+n%[[/b]],單位維持費,越族,,Yue,越族單位維持費[[b]]%+n%[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] weapon damage for polearm infantry,持戟步兵武器傷害 [[b]]%+n%[[/b]],1,,持戟步兵武器傷害 [[b]]%+n%[[/b]],武器傷害,持戟步兵,,polearm infantry,持戟步兵近戰傷害 [[b]]%+n%[[/b]],hv_TEXT_skills_attributes.loc,FALSE
